N	2gram	Vygotskiy__2	EvropaiE
1	и в	32	37
2	в отношении	3	32
3	точки зрения	17	23
4	что в	20	21
5	не только	12	18
6	с точки	10	17
7	в то	5	16
8	то же	13	15
9	хотя бы	3	15
10	отношении к	3	15
11	но в	3	14
12	же время	2	14
13	в качестве	1	14
14	но и	10	14
15	и не	10	14
16	в этом	13	12
17	в их	3	11
18	в области	1	11
19	в том	37	11
20	с и	12	10
21	так и	3	10
22	отнюдь не	5	9
23	в себе	2	9
24	только в	7	9
25	прежде всего	1	9
26	все более	2	9
27	не может	17	9
28	так же	18	9
29	в смысле	3	9
30	в ее	2	8
31	думать что	3	8
32	было бы	11	8
33	в своей	3	8
34	к тому	7	8
35	между тем	4	8
36	с одной	1	8
37	одной стороны	1	8
38	также и	2	7
39	того что	8	7
40	так как	12	7
41	с другой	3	7
42	как и	10	7
43	по своему	3	7
44	может быть	18	6
45	и на	5	6
46	во всех	3	6
47	на то	11	6
48	то есть	21	6
49	том что	21	6
50	того чтобы	14	6
51	вслед за	5	6
52	вовсе не	2	6
53	для того	13	6
54	и даже	5	6
55	как бы	6	6
56	с этой	4	6
57	то что	21	6
58	же как	4	5
59	столь же	4	5
60	но не	2	5
61	не в	8	5
62	в россии	1	5
63	и по	4	5
64	к которым	3	5
65	но если	1	5
66	тем самым	1	5
67	как мы	1	5
68	в виде	1	5
69	со стороны	1	5
70	в частности	3	5
71	в той	1	5
72	этой точки	2	5
73	то в	1	4
74	мы не	3	4
75	но даже	2	4
76	в ней	5	4
77	независимо от	1	4
78	в самом	12	4
79	то ни	2	4
80	того или	3	4
81	несмотря на	4	4
82	чем в	1	4
83	не имеет	4	4
84	в процессе	2	4
85	к ней	1	4
86	бы то	2	4
87	по себе	12	4
88	можно сказать	1	4
89	тем более	2	4
90	именно в	1	4
91	на всем	1	4
92	ни было	1	4
93	само по	3	4
94	не на	2	4
95	как это	4	4
96	для нас	2	4
97	сказать что	7	4
98	или иного	2	4
99	в каком	3	4
100	в сфере	1	3
101	идет о	1	3
102	из всех	2	3
103	бы и	3	3
104	и народов	1	3
105	и со	1	3
106	того же	2	3
107	время в	1	3
108	моря и	1	3
109	россии и	1	3
110	в общем	3	3
111	как в	9	3
112	когда он	10	3
113	и к	3	3
114	себе не	1	3
115	вообще не	1	3
116	мы можем	3	3
117	не будет	1	3
118	не дает	1	3
119	и мы	6	3
120	этом смысле	1	3
121	и тем	4	3
122	в них	2	3
123	с тем	11	3
124	мы видели	1	3
125	в которых	3	3
126	дело в	1	3
127	никогда не	9	3
128	потому что	21	3
129	заключает в	2	3
130	уже и	1	3
131	ли это	2	3
132	с другом	1	3
133	во все	1	3
134	тем в	1	3
135	можно было	7	3
136	приближается к	1	3
137	о том	6	3
138	место в	2	3
139	что и	17	3
140	и только	2	3
141	всяком случае	2	3
142	из них	4	3
143	очевидно что	2	3
144	к ним	2	3
145	тем что	9	3
146	этом отношении	5	3
147	и прежде	1	3
148	в свою	3	3
149	говорит о	2	3
150	связано с	1	3
151	там где	2	3
152	ни на	3	3
153	в данном	4	3
154	друг с	1	3
155	и для	4	3
156	и от	2	3
157	в результате	1	3
158	мира и	1	3
159	не более	1	3
160	в психологии	7	3
161	как на	5	3
162	в таком	2	3
163	во всяком	2	3
164	для этих	1	2
165	и то	3	2
166	по преимуществу	1	2
167	и этот	2	2
168	с в	2	2
169	есть не	4	2
170	что если	6	2
171	именно к	1	2
172	из того	2	2
173	которое в	1	2
174	он сам	1	2
175	к нулю	2	2
176	совершенно прав	1	2
177	но как	3	2
178	точка зрения	2	2
179	друг от	1	2
180	которые они	2	2
181	в истории	1	2
182	более чем	1	2
183	его на	1	2
184	поскольку они	1	2
185	с этим	4	2
186	целый ряд	6	2
187	тому или	2	2
188	и как	7	2
189	что это	8	2
190	чем на	1	2
191	в этой	6	2
192	этот процесс	1	2
193	и если	1	2
194	как оно	1	2
195	главным образом	3	2
196	но именно	1	2
197	он не	6	2
198	на одну	2	2
199	или иному	2	2
200	в силу	1	2
201	проблемы и	1	2
202	таким образом	21	2
203	это значит	3	2
204	и с	4	2
205	заключается в	12	2
206	с другими	2	2
207	к природе	2	2
208	далеко не	5	2
209	дело идет	1	2
210	в своих	9	2
211	одна и	1	2
212	духовной жизни	1	2
213	иначе говоря	4	2
214	такой же	7	2
215	и того	1	2
216	в эту	1	2
217	в этих	2	2
218	и сейчас	3	2
219	в котором	1	2
220	представление о	3	2
221	не к	3	2
222	бы о	1	2
223	и более	4	2
224	к такой	1	2
225	она не	2	2
