N	3gram	Trubetskoy_1	Mirosoze
1	не может быть	3	8
2	друг к другу	2	5
3	для того чтобы	7	4
4	никогда не было	1	3
5	до сих пор	8	3
6	к тому что	1	3
7	так же как	3	3
8	в высшей степени	1	3
9	для этого необходимо	1	3
10	а не в	1	2
11	и той же	1	2
12	но для этого	1	2
13	может быть и	4	2
14	и самого себя	1	2
15	о том что	4	2
16	одной и той	1	2
17	по отношению к	9	2
18	как и в	2	2
19	в том что	15	2
20	моих мыслей и	1	1
21	а между тем	8	1
22	а следовательно и	1	1
23	и в нашем	1	1
24	том что он	2	1
25	только тогда когда	1	1
26	тот путь который	1	1
27	все та же	1	1
28	народом в мире	1	1
29	никогда не будет	3	1
30	с точки зрения	8	1
31	как и все	2	1
32	то я не	1	1
33	друг на друга	1	1
34	хотя бы это	1	1
35	в народе в	1	1
36	между тем как	1	1
37	а может быть	1	1
38	в себе и	1	1
39	на классы и	1	1
40	на то что	7	1
41	и социальной среды	1	1
42	в мире не	1	1
43	не будет уже	1	1
44	смысле этого слова	1	1
45	связи с культурой	1	1
46	лишь те которые	1	1
47	по сравнению с	5	1
48	они должны быть	2	1
49	что он сам	1	1
50	но и его	1	1
51	для этого нужно	1	1
52	вопрос можно ли	1	1
53	что у него	1	1
54	я не могу	1	1
55	может быть оправдан	1	1
56	но так как	2	1
57	и сам он	1	1
58	сих пор не	2	1
59	та или иная	1	1
60	между тем в	1	1
61	хотя бы в	1	1
62	к которой он	1	1
63	в его собственной	1	1
64	народ в мире	1	1
65	и потому они	1	1
66	только в этом	1	1
67	на самом деле	7	1
68	и в нем	1	1
69	может не быть	1	1
70	в конце концов	4	1
71	том что все	2	1
72	именно потому что	2	1
