N	2gram	Voloshinov_1	VerxiiNi
1	и в	3	26
2	точки зрения	1	13
3	из этих	1	10
4	не только	1	10
5	может быть	1	10
6	связи с	1	9
7	но и	1	9
8	и не	1	8
9	с точки	1	6
10	к тому	1	6
11	несмотря на	1	6
12	в его	1	5
13	а не	1	5
14	то же	1	4
15	с другими	1	4
16	в то	1	4
17	не может	4	4
18	если в	2	3
19	от связи	1	3
20	если бы	1	3
21	не менее	1	3
22	на нее	1	3
23	для него	1	3
24	и больше	1	2
25	и заставляет	1	2
26	и на	1	2
27	ни один	1	2
28	он в	1	2
29	его от	1	2
30	русской почве	1	2
31	с самых	1	2
32	же время	1	2
33	один из	2	2
34	по своим	1	2
35	и все	1	2
36	на русской	1	2
37	можно назвать	1	2
38	и взаимное	1	1
39	в ней	1	1
40	и должно	1	1
41	может не	1	1
42	мы видим	1	1
43	языка как	1	1
44	так называемая	1	1
45	ничего кроме	1	1
46	бы в	1	1
47	может и	1	1
