N	3gram	Losev_Vesc_1	Formalny
1	с точки зрения	3	13
2	в то же	1	8
3	и т д	19	8
4	более или менее	1	6
5	до сих пор	1	6
6	в свою очередь	4	6
7	не может быть	6	5
8	одной стороны и	1	4
9	с одной стороны	3	4
10	во всяком случае	2	4
11	было бы нелепо	1	3
12	бы то ни	4	3
13	как бы ни	2	3
14	только и может	1	2
15	и не в	1	2
16	в зависимости от	1	2
17	сами по себе	3	2
18	и в частности	1	2
19	в применении к	1	2
20	в том чтобы	1	2
21	мы не можем	1	2
22	не только не	2	2
23	сама по себе	3	2
24	как она есть	3	1
25	в социальной действительности	1	1
26	все эти теории	1	1
27	или хотя бы	1	1
28	чего не может	1	1
29	в чем же	3	1
30	т е она	1	1
31	между прочим и	1	1
32	со всей полнотой	1	1
33	как и во	1	1
34	как раз и	1	1
35	не может не	1	1
36	что как бы	1	1
37	и во всех	1	1
38	тот или иной	1	1
39	можно говорить о	2	1
40	в том что	4	1
41	таким образом чтобы	1	1
42	на самом же	1	1
43	в этом отношении	1	1
44	резко отличается от	1	1
45	если оно не	1	1
46	с этой точки	1	1
47	вместе с тем	1	1
48	она должна быть	1	1
49	мы видим что	1	1
50	т е в	7	1
51	в данном случае	2	1
52	то ни было	4	1
53	действительности и ее	2	1
54	они вовсе не	1	1
55	по сравнению с	6	1
56	и как бы	1	1
57	так или иначе	4	1
58	социальной действительности в	1	1
59	в новое время	1	1
60	с другой стороны	2	1
61	так же как	1	1
62	самом же деле	1	1
63	все то что	1	1
64	самом деле в	1	1
65	этой точки зрения	1	1
66	в той же	1	1
67	вовсе не есть	6	1
68	от того что	1	1
69	в самом начале	1	1
70	в науке это	1	1
71	реальности так и	1	1
72	хотя бы в	2	1
73	это значит что	19	1
74	нужно сказать что	1	1
75	с этой стороны	1	1
76	но даже и	2	1
77	как мы знаем	1	1
78	к действительности и	1	1
79	заключается в том	1	1
80	каждой из них	1	1
81	что оно не	1	1
82	к тому что	2	1
83	мы замечаем что	1	1
84	тех или иных	1	1
85	тем не менее	3	1
86	на то чтобы	1	1
87	что между ними	1	1
88	что и в	1	1
89	в отрыве от	2	1
90	по своей природе	1	1
91	в отдельности и	2	1
92	понимания т е	1	1
