N	2gram	Berdyaev_O_1	Hudozhes
1	том что	2	16
2	и в	19	14
3	так и	2	13
4	не только	11	12
5	о том	3	12
6	в том	5	12
7	а не	11	12
8	в себе	3	11
9	в этом	12	11
10	прежде всего	9	11
11	в своей	2	10
12	для него	5	10
13	как и	6	9
14	что он	3	9
15	у него	22	9
16	в этой	5	8
17	как в	1	8
18	то что	5	8
19	ничего не	2	8
20	в его	7	8
21	еще не	3	7
22	это не	3	7
23	не в	11	7
24	быть может	3	7
25	уже не	1	7
26	не случайно	1	7
27	не может	4	7
28	как бы	3	7
29	а в	5	7
30	человека в	11	6
31	в глазах	1	6
32	было бы	3	6
33	никогда не	9	6
34	жизни в	2	6
35	что в	4	6
36	самом деле	1	5
37	с его	4	5
38	человеческих отношений	4	5
39	но в	2	5
40	и его	4	5
41	потому что	9	5
42	и он	8	5
43	можно было	1	5
44	может быть	11	5
45	но и	13	5
46	в частности	1	5
47	интерес к	1	5
48	в этих	3	5
49	жизни и	1	5
50	к другому	1	4
51	и о	2	4
52	в ней	1	4
53	в центре	1	4
54	в своем	2	4
55	и к	2	4
56	то в	1	4
57	в самом	5	4
58	та же	1	4
59	на то	1	4
60	что она	1	4
61	он не	7	4
62	и с	2	4
63	с ним	3	4
64	она не	1	4
65	в русской	3	4
66	по своей	1	4
67	как будто	1	4
68	и это	1	4
69	того что	3	4
70	один из	1	4
71	из них	1	4
72	в конце	1	4
73	не было	9	4
74	и все	10	4
75	т е	4	4
76	и от	3	4
77	не имеют	1	3
78	в мире	1	3
79	и на	2	3
80	в ее	2	3
81	как к	2	3
82	все же	2	3
83	но он	7	3
84	в нем	10	3
85	лишь в	7	3
86	его в	2	3
87	в своих	3	3
88	все эти	4	3
89	о природе	3	3
90	тем что	2	3
91	этом отношении	1	3
92	того чтобы	4	3
93	и когда	1	3
94	что у	2	3
95	том как	1	3
96	если бы	1	3
97	о нем	1	3
98	но не	1	3
99	будто бы	1	3
100	и даже	1	3
101	со стороны	1	3
102	в творчестве	5	3
103	и для	2	3
104	от него	7	3
105	к этой	2	3
106	например в	1	2
107	на самом	1	2
108	мы не	1	2
109	вопрос о	10	2
110	вместо того	2	2
111	жизни как	1	2
112	к творчеству	1	2
113	себе и	1	2
114	человека его	3	2
115	в одной	1	2
116	хотя и	2	2
117	сострадания к	1	2
118	счастья и	1	2
119	ключ к	1	2
120	они в	1	2
121	заключает в	1	2
122	в другом	2	2
123	особенно в	1	2
124	приходит в	1	2
125	по себе	2	2
126	его героев	2	2
127	должно быть	2	2
128	в первый	1	2
129	все это	6	2
130	как от	1	2
131	не имеет	2	2
132	одна из	1	2
133	действующие лица	1	2
134	внутренней жизни	1	2
135	все еще	2	2
136	характер и	1	2
137	и каждый	1	2
138	и что	1	2
139	его жизни	1	2
140	с того	1	2
141	в форме	1	2
142	людей а	1	2
143	с ними	1	2
144	и потому	2	2
145	так что	2	2
146	не стал	1	2
147	у нее	1	2
148	с той	1	2
149	действующих лиц	1	2
150	а с	1	2
151	что не	4	2
152	до конца	7	2
153	у его	1	2
154	человек в	1	2
155	ближе к	1	2
156	и ему	1	2
157	в человеке	9	2
158	этих словах	1	2
159	что же	2	2
160	о человеке	29	2
161	да и	1	2
162	в это	1	2
163	и не	13	2
164	своей жизни	2	2
165	видно что	1	2
