N	3gram	Nazirov_Vr_1	Dialekti
1	с точки зрения	2	14
2	тем не менее	1	10
3	не только не	1	7
4	не может быть	2	6
5	по крайней мере	1	5
6	о том что	1	5
7	на первый план	1	4
8	в то время	1	4
9	имеется в виду	1	3
10	в том что	2	3
11	на то что	1	3
12	точно так же	1	2
13	с тех пор	1	2
14	одно и то	1	2
15	так же как	1	2
16	и то же	1	2
17	и в этом	1	2
18	с другой стороны	1	2
19	во всяком случае	1	2
20	это и есть	1	2
21	а следовательно и	1	1
22	к нему с	1	1
23	до сих пор	1	1
24	и не может	1	1
25	и в то	1	1
26	он и не	1	1
27	в этом отношении	1	1
28	говорит о себе	1	1
29	– это и	1	1
30	в другой раз	1	1
31	нам не помогут	1	1
32	и что в	2	1
33	и что он	1	1
34	что для нас	1	1
35	или по крайней	1	1
36	каждый из них	1	1
37	и в котором	1	1
38	то же время	4	1
39	что в ней	1	1
40	связи с этим	1	1
41	не забудем что	1	1
42	и никогда не	1	1
43	что у него	1	1
44	речь идет о	1	1
45	в то же	4	1
46	в связи с	3	1
47	в глубине души	1	1
48	это не просто	1	1
