N	3gram	Propp_Morf_1	Vladivir
1	в том что	3	9
2	в связи с	8	8
3	во всяком случае	2	6
4	в то время	3	6
5	тем не менее	4	6
6	что же касается	1	5
7	более или менее	2	3
8	с точки зрения	2	3
9	точно так же	1	3
10	то что он	1	3
11	о том что	1	3
12	хотя и не	1	2
13	между прочим и	1	2
14	на то что	2	2
15	в настоящее время	3	2
16	это нисколько не	1	2
17	том что он	1	2
18	в данном случае	1	2
19	на обратном пути	1	2
20	мы будем говорить	1	2
21	после того как	1	2
22	но кроме того	1	1
23	а для того	1	1
24	во что бы	1	1
25	ни к чему	2	1
26	то ни стало	1	1
27	потому что в	1	1
28	оно может быть	2	1
29	но то что	1	1
30	и по существу	1	1
31	что несмотря на	1	1
32	в этом случае	8	1
33	до сих пор	1	1
34	наряду с этим	3	1
35	бы то ни	3	1
36	в этом отношении	1	1
37	то что в	2	1
38	в собственном смысле	3	1
39	с этим в	1	1
40	и тем не	1	1
41	может быть и	2	1
42	что бы то	1	1
43	большей частью в	1	1
44	до известной степени	1	1
45	можно сказать о	1	1
46	в высшей степени	1	1
47	и другие материалы	1	1
48	а в с	1	1
49	а также и	3	1
50	то время как	3	1
51	но как бы	1	1
52	собственном смысле слова	3	1
53	из них не	1	1
54	не может быть	9	1
55	может быть названа	1	1
56	но это нисколько	1	1
57	здесь перед нами	1	1
58	далеко не все	3	1
59	сих пор не	1	1
60	но и она	1	1
61	в тех же	4	1
62	к чему не	2	1
63	здесь как и	1	1
64	связи с этим	4	1
65	мы увидим ниже	5	1
66	мы прежде всего	1	1
67	с самого начала	1	1
68	это значит что	1	1
69	то же с	1	1
70	самого начала в	1	1
71	но все же	3	1
72	можно сказать что	1	1
73	но это не	1	1
74	или вовсе не	1	1
75	для того чтобы	2	1
76	и т д	39	1
