N	4gram	Tiupa_Hudo_1	Hudozhes
1	в то же время	8	6
2	состоит в том что	1	3
3	в том и состоит	1	2
4	и в то же	1	2
5	приводит к тому что	1	2
6	специфически человеческий способ существования	1	1
7	том и состоит что	1	1
8	дамы с собачкой и	1	1
9	в том случае если	1	1
10	с этой точки зрения	1	1
11	предстают перед нами не	1	1
12	в том что он	1	1
13	как субъекты этического выбора	1	1
14	раз в том что	1	1
15	но как субъекты этического	1	1
16	состоит как раз в	1	1
17	и несет в себе	1	1
18	как раз в том	1	1
19	еще и потому что	1	1
20	и состоит что он	1	1
21	себя в другом и	1	1
22	нами не как объекты	1	1
23	и по отношению к	1	1
24	перед нами не как	1	1
25	том что он не	1	1
