N	3gram	Tiupa_Vved_1	Psycholo
1	в том что	3	17
2	не может быть	3	8
3	на то что	1	6
4	то же самое	1	6
5	на самом деле	3	5
6	в этом отношении	4	5
7	в сущности говоря	1	4
8	можно было бы	2	4
9	в данном случае	6	4
10	тем не менее	3	4
11	о том что	4	4
12	и в самом	1	4
13	сами по себе	1	3
14	в том чтобы	2	3
15	само по себе	1	3
16	в конечном счете	1	3
17	это то что	1	2
18	состоит в том	2	2
19	подобно тому как	2	2
20	те же самые	1	2
21	той же самой	1	2
22	как и в	2	2
23	не в том	1	2
24	тому или иному	1	2
25	которая не может	2	2
26	потому что она	1	2
27	во всяком случае	1	2
28	то же время	3	2
29	в свою очередь	4	2
30	с другой стороны	1	2
31	в то же	4	2
32	заключает в себе	1	2
33	и того же	1	1
34	что иное как	1	1
35	на целый ряд	1	1
36	в этом смысле	1	1
37	один и тот	1	1
38	свидетельствует о том	1	1
39	о том как	1	1
40	в этом случае	1	1
41	а не к	1	1
42	в таком случае	1	1
43	в зависимости от	1	1
44	в отличие от	2	1
45	в первой главе	1	1
46	но и в	2	1
47	и та же	1	1
48	не было бы	1	1
49	при этом становится	1	1
50	а с другой	2	1
51	в романе в	1	1
52	в основе своей	1	1
53	в противном случае	1	1
54	ли это что	1	1
55	по крайней мере	1	1
56	как если бы	1	1
57	по аналогии с	1	1
58	едва ли не	2	1
59	а не только	1	1
60	здесь мы имеем	1	1
61	может быть не	3	1
62	с одной стороны	5	1
63	и тот же	1	1
64	объясняется тем что	1	1
65	при этом он	1	1
66	не зависит от	1	1
67	но при этом	2	1
68	в том как	1	1
69	как будто бы	3	1
70	имеем дело с	2	1
71	благодаря тому что	1	1
72	все же не	1	1
73	в связи с	1	1
74	а не как	1	1
75	одна и та	1	1
76	в основе всякого	1	1
77	вместо того чтобы	1	1
78	более или менее	2	1
79	то есть с	1	1
80	не само по	1	1
81	к тому или	1	1
82	то что мы	1	1
83	в этом и	1	1
84	бесконечное число раз	1	1
85	дело не с	1	1
86	с того что	1	1
87	и тем самым	2	1
88	и так же	1	1
89	можно сказать что	1	1
90	одного и того	1	1
91	друг от друга	1	1
92	не что иное	1	1
93	в первом случае	1	1
94	мы никак не	1	1
95	в высшей степени	2	1
