N	2gram	Ircho_Kome_2	VelikijI
1	и не	14	20
2	и в	26	16
3	так как	4	9
4	то что	6	9
5	еще не	6	8
6	в истории	5	8
7	а не	1	7
8	на себя	7	5
9	но и	10	5
10	хотя и	4	5
11	в мире	2	5
12	все это	3	5
13	как бы	2	5
14	и есть	2	4
15	в образе	3	4
16	говорить о	2	4
17	мира сего	1	4
18	в его	4	4
19	и я	2	4
20	в этом	10	4
21	что он	5	4
22	потому что	6	4
23	в нем	6	4
24	так и	12	4
25	что не	1	4
26	как и	4	4
27	в котором	3	4
28	в ней	3	4
29	и все	2	4
30	все что	1	4
31	от этого	2	3
32	и что	2	3
33	за то	4	3
34	хотя бы	2	3
35	то это	2	3
36	как не	2	3
37	в чем	1	3
38	с его	5	3
39	во всех	3	3
40	что и	7	3
41	и будет	1	3
42	в том	11	3
43	тот же	2	3
44	но в	3	3
45	бы и	2	3
46	по этому	1	3
47	все эти	1	3
48	и они	1	3
49	за ним	1	3
50	в конце	2	3
51	их в	1	3
52	в своей	3	3
53	и мы	1	3
54	в жизни	1	3
55	ни в	5	3
56	в них	4	3
57	не было	3	3
58	если не	2	3
59	в этих	4	3
60	нет ничего	1	3
61	не в	2	3
62	любовь к	1	3
63	тому что	4	3
64	не имеет	3	3
65	никогда не	1	3
66	и для	4	3
67	к тому	12	3
68	жизни и	3	3
69	что в	9	3
70	и это	2	2
71	того чтобы	6	2
72	но мы	1	2
73	по которым	2	2
74	и сам	3	2
75	и т	2	2
76	можно было	4	2
77	и за	2	2
78	его не	1	2
79	мы не	2	2
80	когда в	2	2
81	в последнем	1	2
82	с ним	1	2
83	вместо того	1	2
84	ее и	1	2
85	и во	2	2
86	между тем	4	2
87	я думаю	1	2
88	нет и	2	2
89	вслед за	2	2
90	не с	1	2
91	государства и	1	2
92	на нас	1	2
93	только в	4	2
94	в себя	1	2
95	конечно не	1	2
96	не только	7	2
97	все тот	1	2
98	не так	1	2
99	для него	1	2
100	земли и	1	2
101	не могли	1	2
102	тем что	3	2
103	мы слышим	1	2
104	в число	1	2
105	это не	2	2
106	а с	1	2
107	прежде всего	4	2
108	люди не	1	2
109	соединение в	1	2
110	с тем	5	2
111	один из	5	2
112	от государства	1	2
113	для их	2	2
114	и тогда	1	2
115	мира в	4	2
116	эти люди	2	2
117	более чем	4	2
118	является в	1	2
119	ли ты	1	2
120	которой они	1	2
121	да и	3	2
122	это дело	1	2
123	одна из	2	2
124	что их	2	2
