N	2gram	Vinokur_St_1	EvropaiC
1	таким образом	7	32
2	в том	36	31
3	и в	44	24
4	том что	29	20
5	все эти	5	19
6	не может	8	18
7	то что	18	17
8	может быть	15	15
9	все же	8	15
10	точки зрения	11	13
11	самом деле	11	12
12	в своем	2	12
13	до сих	7	12
14	в этом	21	12
15	сих пор	7	12
16	с этим	3	11
17	между тем	3	11
18	все это	5	11
19	во всех	8	10
20	по отношению	3	10
21	так и	9	10
22	как бы	4	10
23	отношению к	3	10
24	культуры в	3	10
25	того же	3	9
26	на то	4	9
27	при этом	2	9
28	как и	9	9
29	в результате	3	9
30	что в	30	9
31	в самом	7	8
32	чем у	2	8
33	с точки	8	8
34	не в	12	8
35	ясно что	10	8
36	если бы	9	8
37	так же	5	8
38	и все	2	8
39	а между	1	7
40	на самом	6	7
41	из этих	6	7
42	о которых	1	7
43	не менее	5	7
44	по существу	2	7
45	того чтобы	11	7
46	по своей	2	7
47	к тому	1	7
48	для этого	2	7
49	о том	17	7
50	и что	4	7
51	что он	10	7
52	для того	10	7
53	но и	10	7
54	и не	16	7
55	о котором	2	7
56	из этого	1	7
57	должна быть	3	6
58	в каждый	1	6
59	еще не	3	6
60	и на	1	6
61	что касается	3	6
62	в этой	11	6
63	в сознании	2	6
64	несмотря на	2	6
65	и при	1	6
66	от друга	1	6
67	что и	6	6
68	при чем	6	6
69	того что	9	6
70	только в	10	6
71	так что	6	6
72	так как	5	6
73	друг от	1	6
74	с другой	9	6
75	вместе с	1	6
76	отличается от	1	6
77	у них	1	6
78	как на	1	6
79	столь же	4	5
80	как к	3	5
81	и к	1	5
82	но в	10	5
83	в которой	4	5
84	что это	4	5
85	в целом	5	5
86	в себе	2	5
87	не только	18	5
88	но все	4	5
89	что все	2	5
90	и с	3	5
91	на все	1	5
92	лишь в	3	5
93	его в	2	5
94	и без	3	5
95	так называемого	1	5
96	что с	2	5
97	в то	9	5
98	как будто	4	5
99	что при	2	5
100	в пользу	2	5
101	в его	9	5
102	потому что	6	5
103	и их	2	5
104	у него	2	5
105	именно в	6	5
106	далеко не	1	5
107	другой стороны	7	5
108	быть и	2	5
109	и для	3	5
110	и от	1	5
111	к этому	1	5
112	в такой	2	4
113	и то	5	4
114	то же	5	4
115	из того	2	4
116	между собой	1	4
117	что его	1	4
118	отношение к	2	4
119	что как	2	4
120	хотя и	1	4
121	ни один	2	4
122	он не	2	4
123	всех этих	2	4
124	об эволюции	2	4
125	в одну	1	4
126	факт что	1	4
127	том случае	1	4
128	из них	8	4
129	иначе говоря	1	4
130	оказывается что	1	4
131	тем не	2	4
132	том же	1	4
133	этой области	5	4
134	из которых	1	4
135	что эта	2	4
136	и сейчас	4	4
137	никогда не	5	4
138	лишь при	1	4
139	на вопрос	4	4
140	пор не	1	4
141	и у	2	4
142	если мы	1	4
143	в виде	3	4
144	не так	1	4
145	а потому	2	4
146	в конце	3	4
147	без того	1	4
148	в области	14	4
149	а с	3	4
150	которых мы	1	4
151	конце концов	1	4
152	его собственной	2	4
153	тот факт	1	4
154	не могут	1	4
155	в течение	1	4
156	этом случае	2	4
157	хотя бы	6	4
158	состоит из	1	4
159	совершенно не	5	4
160	в таком	3	4
161	как известно	1	3
162	же как	3	3
163	вопрос о	4	3
164	но даже	1	3
165	то очевидно	2	3
166	в данном	14	3
167	очевидно что	1	3
168	в истории	3	3
169	целый ряд	2	3
170	что по	1	3
171	так или	2	3
172	в нашем	1	3
173	в тех	3	3
174	в нем	5	3
175	и по	5	3
176	заключается в	4	3
177	это не	8	3
178	с тем	1	3
179	чем в	3	3
180	в этих	2	3
181	представление о	4	3
182	даже в	3	3
183	что их	1	3
184	образом в	1	3
185	для нас	7	3
186	в разных	1	3
187	уже и	1	3
188	от того	1	3
189	у нас	11	3
190	должны быть	3	3
191	что оно	3	3
192	ничего общего	3	3
193	и это	2	3
194	то ни	1	3
195	данном случае	6	3
196	и вообще	3	3
197	с одной	3	3
198	настоящее время	1	3
199	может не	2	3
200	сомнению что	1	3
201	тот же	1	3
202	конечно не	2	3
203	в начале	3	3
204	при помощи	2	3
205	и других	1	3
206	каждый из	1	3
207	или иначе	2	3
208	прежде всего	7	3
209	и потому	2	3
210	целом ряде	1	3
211	случаях когда	1	3
212	не подлежит	1	3
213	в настоящее	1	3
214	что только	1	3
215	бы в	1	3
216	тем более	4	3
217	а в	17	3
218	гораздо больше	2	3
219	что мы	5	3
220	можно назвать	2	3
221	тех же	1	2
222	этого последнего	1	2
223	в котором	5	2
224	и до	1	2
225	что эти	1	2
226	по его	2	2
227	также и	9	2
228	в сущности	2	2
229	так чтобы	1	2
230	один общий	1	2
231	в ней	3	2
232	что оба	1	2
233	двух или	1	2
234	от себя	1	2
235	бы то	1	2
236	во всяком	6	2
237	но как	1	2
238	в сторону	2	2
239	что они	7	2
240	из таких	1	2
241	общего с	3	2
242	есть в	2	2
243	не очень	1	2
244	то в	3	2
245	и там	1	2
246	и те	2	2
247	если он	1	2
248	но на	2	2
249	что она	4	2
250	о которой	3	2
251	он должен	2	2
252	том чтобы	1	2
253	же касается	3	2
254	то есть	2	2
255	и общей	1	2
256	в глазах	1	2
257	нечего и	1	2
258	смотреть на	1	2
259	выше на	1	2
260	только одно	1	2
261	в них	1	2
262	и уже	2	2
263	такой же	5	2
264	в один	1	2
265	это отсутствие	1	2
266	которую он	1	2
267	но если	4	2
268	никто не	4	2
269	представить себе	1	2
270	можно ли	4	2
271	что до	2	2
272	в которых	5	2
273	точку зрения	3	2
274	и более	2	2
275	том и	1	2
276	тому что	3	2
277	она не	2	2
278	тем самым	2	2
279	тогда когда	1	2
280	одна из	1	2
281	на него	2	2
282	в процессе	1	2
283	в основе	3	2
284	говорить о	2	2
285	этих двух	3	2
286	очень мало	3	2
287	ему и	1	2
288	что на	2	2
289	всех прочих	1	2
290	о них	2	2
291	должен быть	3	2
292	как мы	1	2
293	только при	1	2
294	свои силы	2	2
295	на том	1	2
296	и сам	2	2
297	что у	4	2
298	все его	1	2
299	в виду	1	2
300	в другом	3	2
301	же время	4	2
302	все в	2	2
303	к нему	2	2
304	во втором	4	2
305	них в	1	2
306	если это	3	2
307	было бы	17	2
308	лишь о	1	2
309	но с	3	2
310	этот вопрос	4	2
311	пришлось бы	1	2
312	в вопросе	1	2
313	и так	3	2
314	жизни и	5	2
315	одно из	2	2
316	для него	6	2
317	всяком случае	6	2
318	вовсе не	19	2
319	к ним	1	2
320	при отсутствии	1	2
321	на долю	1	2
322	которые могут	1	2
323	и только	3	2
324	не было	4	2
325	с общим	1	2
326	и из	1	2
327	которые по	1	2
328	представляет собою	2	2
329	что для	3	2
330	по тем	1	2
331	что таким	1	2
332	одной стороны	2	2
333	вопросе о	1	2
334	во внимание	1	2
335	ближе к	1	2
336	в одно	1	2
337	для этой	1	2
338	в частности	4	2
339	него в	1	2
340	такой форме	1	2
341	но не	3	2
342	эти примеры	1	2
343	что же	6	2
344	этого слова	2	2
345	только то	1	2
346	с этой	3	2
347	и некоторые	1	2
348	при условии	1	2
349	между прочим	2	2
350	ни для	1	2
351	но для	2	2
352	говорить что	1	2
353	при таком	2	2
354	в отдельных	1	2
355	это может	1	2
356	на более	1	2
357	и говорить	1	2
358	работы и	1	2
359	не знает	2	2
360	быть признана	1	2
361	они не	1	2
362	гораздо более	4	2
363	например в	8	1
364	по адресу	1	1
365	открытий а	1	1
366	многих отношениях	1	1
367	показаться что	1	1
368	это и	4	1
369	на деле	1	1
370	в первом	2	1
371	из его	1	1
372	исходит из	1	1
373	ведь и	3	1
374	в зависимости	1	1
375	той же	5	1
376	отношения к	2	1
377	а как	2	1
378	мы не	2	1
379	только все	1	1
380	этом не	1	1
381	время как	2	1
382	на себя	1	1
383	ему самому	1	1
384	я не	7	1
385	письма по	1	1
386	vi как	1	1
387	очень давно	1	1
388	зависимости от	1	1
389	из перечисленных	1	1
390	большей частью	1	1
391	к своему	1	1
392	и самого	1	1
393	на них	1	1
394	это действительно	1	1
395	всю свою	1	1
396	с его	1	1
397	бы не	2	1
398	но тогда	1	1
399	и другие	1	1
400	а только	1	1
401	во первых	1	1
402	если в	2	1
403	а вместо	1	1
404	трудно видеть	1	1
405	со стороны	6	1
406	нет и	1	1
407	к сожалению	3	1
408	правильно и	1	1
409	что во	2	1
410	как в	13	1
411	что именно	1	1
412	перед нами	1	1
413	кроме того	1	1
414	не отметить	1	1
415	каждого своя	1	1
416	тем же	3	1
417	для ее	1	1
418	и кто	1	1
419	себе как	1	1
420	не приходится	1	1
421	ряде случаев	1	1
422	а во-вторых	1	1
423	бы с	1	1
424	возможно что	3	1
425	он в	1	1
426	у каждого	1	1
427	является лишь	1	1
428	то обстоятельство	2	1
429	во многих	3	1
430	не могла	2	1
431	задний план	3	1
432	но именно	2	1
433	встать на	1	1
434	раз когда	1	1
435	от которого	1	1
436	являются лишь	1	1
437	области не	1	1
438	на одну	1	1
439	одно целое	1	1
440	забывают что	1	1
441	в узком	1	1
442	и вот	1	1
443	вникнуть в	1	1
