N	2gram	Nazirov_Vr_1	Dialekti
1	не есть	1	47
2	и не	5	30
3	т е	3	30
4	может быть	4	20
5	не только	9	19
6	и в	8	19
7	в себе	2	15
8	потому что	1	14
9	то что	7	14
10	в том	3	14
11	и даже	6	14
12	как бы	4	14
13	то же	5	12
14	точки зрения	2	12
15	не просто	1	12
16	но и	7	12
17	и все	7	12
18	и как	3	10
19	что это	1	10
20	в нем	6	10
21	как и	6	10
22	том что	3	10
23	так и	1	10
24	это не	4	10
25	по крайней	1	9
26	никогда не	2	9
27	крайней мере	1	9
28	не может	2	9
29	– не	1	9
30	в этом	8	8
31	в своей	2	8
32	с точки	2	8
33	прежде всего	1	8
34	и то	2	7
35	в душе	1	7
36	но это	2	7
37	что в	7	7
38	я не	3	6
39	но не	1	6
40	что они	1	6
41	отнюдь не	2	6
42	в то	5	6
43	и вообще	1	6
44	что он	4	6
45	– это	6	6
46	того что	1	6
47	да и	1	6
48	он –	1	6
49	жизни и	1	6
50	и это	2	5
51	говорить о	1	5
52	в силу	1	5
53	в одну	2	5
54	все равно	1	5
55	жизнь и	1	5
56	же время	5	5
57	и его	3	5
58	и с	6	5
59	в виду	4	5
60	о том	4	5
61	и что	8	5
62	но как	2	5
63	с другой	1	5
64	что поэзия	1	5
65	по своему	1	5
66	как раз	2	5
67	только что	1	5
68	в самом	1	5
69	и есть	1	4
70	еще не	2	4
71	тут же	1	4
72	независимо от	1	4
73	в своем	3	4
74	все же	6	4
75	как он	1	4
76	при этом	4	4
77	он не	3	4
78	же это	1	4
79	одно и	1	4
80	таким образом	2	4
81	заключается в	1	4
82	в одном	1	4
83	но он	3	4
84	все это	4	4
85	с ним	4	4
86	по своей	1	4
87	связи с	3	4
88	в таком	1	4
89	в каком	1	4
90	это конечно	1	4
91	в ее	1	4
92	ясно что	1	4
93	к нему	1	4
94	уже в	4	4
95	ни с	1	4
96	то время	1	4
97	от того	1	4
98	в связи	3	4
99	могут быть	1	4
100	быть и	1	4
101	а в	2	4
102	другой стороны	1	4
103	же как	2	3
104	это и	1	3
105	это время	1	3
106	в чем	3	3
107	в этой	2	3
108	с этим	1	3
109	это за	1	3
110	после этого	2	3
111	всех этих	1	3
112	же не	2	3
113	об этом	5	3
114	его в	3	3
115	это было	1	3
116	было бы	1	3
117	и уже	3	3
118	но я	1	3
119	в этих	1	3
120	или вообще	1	3
121	что этот	1	3
122	времени а	1	3
123	не менее	2	3
124	ничего не	1	3
125	хочет быть	1	3
126	уже не	2	3
127	тех пор	1	3
128	сразу же	1	3
129	с нею	2	3
130	из них	2	3
131	мы находим	1	3
132	и из	1	3
133	о котором	1	3
134	как же	2	3
