N	2gram	Voloshinov_1	Vvedenie
1	и в	12	32
2	в том	6	31
3	в этом	4	30
4	том что	5	26
5	может быть	14	26
6	не только	4	22
7	того чтобы	1	20
8	таким образом	12	19
9	то что	5	16
10	так как	9	15
11	не может	16	14
12	в самом	4	13
13	в нем	6	13
14	о том	3	13
15	в общем	1	12
16	в его	2	12
17	того что	3	12
18	только в	6	12
19	и не	10	12
20	как на	2	12
21	как мы	1	11
22	в ее	1	11
23	ясно что	3	11
24	в данном	2	11
25	что в	2	10
26	то же	5	9
27	в истории	1	9
28	но в	5	9
29	по себе	3	9
30	между тем	3	9
31	этом смысле	1	9
32	это не	2	8
33	не в	4	8
34	тем не	3	8
35	не менее	3	8
36	с другой	4	8
37	именно в	1	8
38	самом деле	3	7
39	но не	2	7
40	все же	4	7
41	было бы	1	7
42	точки зрения	14	7
43	уже и	1	7
44	можно было	1	7
45	дело с	2	7
46	как нечто	1	7
47	прежде всего	8	7
48	только как	1	7
49	и это	1	6
50	его в	4	6
51	как и	5	6
52	вовсе не	1	6
53	в то	2	6
54	в качестве	1	6
55	же время	1	6
56	не могут	1	6
57	и его	13	6
58	до сих	3	6
59	но и	3	6
60	сих пор	3	6
61	все это	3	6
62	хотя бы	5	6
63	в целом	1	5
64	и тем	1	5
65	данном случае	2	5
66	в них	3	5
67	но если	1	5
68	сказать что	7	5
69	могут быть	2	5
70	имеет дело	1	5
71	как например	1	5
72	уже в	2	5
73	не есть	2	5
74	что не	4	5
75	а не	5	5
76	как бы	13	5
77	другой стороны	2	5
78	в какой	2	5
79	вместе с	2	5
80	и то	2	4
81	как это	2	4
82	мы имеем	2	4
83	по отношению	11	4
84	независимо от	2	4
85	как уже	2	4
86	уже не	4	4
87	в себе	3	4
88	в своей	3	4
89	в котором	3	4
90	по крайней	1	4
91	как о	1	4
92	это только	1	4
93	и что	2	4
94	крайней мере	1	4
95	еще не	3	4
96	к делу	1	4
97	и ее	3	4
98	с одной	2	4
99	в виде	1	4
100	одно из	1	4
101	всяком случае	1	4
102	этом отношении	1	4
103	даже и	1	4
104	в особенности	2	4
105	одной стороны	2	4
106	и обратно	1	4
107	по мере	1	4
108	о чем	1	4
109	с этой	2	4
110	и для	3	4
111	особого рода	1	4
112	отношению к	11	4
113	во всяком	1	4
114	что уже	1	3
115	не вполне	1	3
116	в виду	5	3
117	и на	4	3
118	в чем	2	3
119	сама по	1	3
120	стороны и	2	3
121	хотя и	1	3
122	и к	4	3
123	сливается с	2	3
124	что это	1	3
125	все эти	3	3
126	что она	1	3
127	при этом	6	3
128	если бы	9	3
129	не как	1	3
130	на этом	1	3
131	и уже	3	3
132	мы видели	1	3
133	со всей	1	3
134	в этих	2	3
135	историк литературы	1	3
136	и вот	1	3
137	тогда когда	2	3
138	дело в	4	3
139	связи с	1	3
140	как будто	1	3
141	в области	1	3
142	в каком	3	3
143	языка в	1	3
144	но все	2	3
145	в ней	6	3
146	и вообще	3	3
147	истории литературы	2	3
148	можно сказать	5	3
149	в конечном	1	3
150	к нему	4	3
151	знания и	1	3
152	при помощи	1	3
153	в одном	1	3
154	что и	2	3
155	отношение к	4	3
156	но что	2	3
157	свое выражение	4	3
158	до конца	2	3
159	говорит о	1	3
160	зависит от	2	3
161	так называемой	3	3
162	так же	3	3
163	да и	3	3
164	в изучении	1	3
165	материал для	1	3
166	в своем	2	3
167	к тому	1	3
168	в результате	1	3
169	культуры в	1	3
170	к этому	2	3
171	в частности	1	3
172	же как	1	2
173	это делает	1	2
174	из его	1	2
175	должна быть	5	2
176	что мы	5	2
177	мы уже	1	2
178	на вещи	1	2
179	мы не	3	2
180	что можно	1	2
181	так называемые	1	2
182	литературы и	4	2
183	и всего	1	2
184	значение и	1	2
185	себе и	1	2
186	так называемая	1	2
187	его к	2	2
188	выражение в	2	2
189	и те	2	2
190	находящееся в	1	2
191	и совершенно	2	2
192	не к	3	2
193	какой бы	1	2
194	подобно тому	1	2
195	не бывает	1	2
196	в другом	1	2
197	и с	3	2
198	входит в	1	2
199	на протяжении	1	2
200	для них	1	2
201	но уже	1	2
202	несмотря на	1	2
203	должно быть	1	2
204	и тогда	1	2
205	что собственно	1	2
206	и сейчас	1	2
207	с точки	2	2
208	действительности к	1	2
209	том же	1	2
210	произведения и	3	2
211	в отношении	2	2
212	нашего времени	1	2
213	понять ее	1	2
214	никогда не	5	2
215	ничего не	2	2
216	от того	4	2
217	у нас	1	2
218	когда мы	1	2
219	есть только	1	2
220	как только	2	2
221	рядом с	1	2
222	свое значение	1	2
223	если же	2	2
224	то она	1	2
225	идет речь	1	2
226	из двух	1	2
227	так и	4	2
228	так называемую	1	2
229	не нужно	1	2
230	для этого	1	2
231	же самое	2	2
232	в содержании	1	2
233	и здесь	2	2
234	искусства и	2	2
235	с соответствующими	1	2
236	в значительной	1	2
237	вопросу о	1	2
238	во всех	1	2
239	нуждается в	3	2
240	в форме	2	2
241	тем более	1	2
242	все время	6	2
243	быть и	3	2
244	здесь не	3	2
245	и так	2	2
246	для нее	1	2
247	обращенная к	1	2
248	литературы с	2	2
249	литературы в	1	2
250	только на	3	2
251	мы можем	2	2
252	само собой	1	2
253	и др	5	2
254	них и	1	2
255	не было	1	2
256	с помощью	6	2
257	все более	1	2
258	с чисто	2	2
