N	3gram	Nazirov_Vr_1	Marksizm
1	с точки зрения	2	20
2	не может быть	2	13
3	и не может	1	9
4	до сих пор	1	8
5	в связи с	3	7
6	с другой стороны	1	5
7	в этом отношении	1	3
8	может быть и	1	3
9	в высшей степени	1	3
10	в конце концов	1	3
11	то же время	4	3
12	связи с этим	1	3
13	в то же	4	3
14	в том что	2	3
15	но при этом	1	2
16	на первый план	1	2
17	– это и	1	2
18	лишнего человека в	2	2
19	так же как	1	2
20	но в то	2	2
21	во всяком случае	1	2
22	в свою очередь	1	2
23	это и есть	1	2
24	быть и речи	1	2
25	в этом смысле	1	2
26	тем не менее	1	2
27	а следовательно и	1	1
28	между прочим и	1	1
29	равно как и	1	1
30	но в известном	1	1
31	а между тем	1	1
32	не было бы	1	1
33	независимо от того	1	1
34	но и это	1	1
35	все же не	1	1
36	– одна из	1	1
37	нет ничего общего	1	1
38	от того как	1	1
39	и в самом	1	1
40	не только не	1	1
41	имеется в виду	1	1
