N	2gram	Tiupa_Teor_1	Problema
1	то что	3	42
2	вовсе не	3	35
3	то есть	12	33
4	и в	18	32
5	и не	13	31
6	в этом	8	19
7	не менее	4	19
8	тем не	3	18
9	не только	16	17
10	потому что	3	16
11	в себе	9	15
12	по себе	1	15
13	а не	9	15
14	но в	9	14
15	у нас	2	14
16	указывает на	1	14
17	может быть	17	14
18	как бы	5	14
19	в нем	4	13
20	и тем	3	13
21	как раз	2	13
22	сказать что	3	13
23	том что	9	12
24	что в	9	12
25	так и	10	12
26	а именно	2	12
27	также и	1	11
28	так как	1	11
29	о том	1	11
30	и даже	2	11
31	если мы	2	11
32	то же	7	10
33	отнюдь не	3	10
34	в этой	3	10
35	об этом	2	10
36	прежде всего	2	10
37	еще не	4	9
38	но не	9	9
39	художественный образ	1	9
40	то с	1	9
41	того чтобы	1	9
42	же самое	1	9
43	и это	2	9
44	и что	3	9
45	но и	9	9
46	по своему	2	9
47	в данном	8	9
48	в том	16	9
49	так же	2	9
50	и о	4	8
51	и ее	3	8
52	и на	1	8
53	все эти	2	8
54	на то	1	8
55	для того	1	8
56	было бы	1	8
57	в своей	6	8
58	данном случае	5	8
59	не может	4	8
60	во всех	1	7
61	содержит в	1	7
62	ни в	2	7
63	в них	2	7
64	и является	2	7
65	как мы	1	7
66	здесь не	1	7
67	никогда не	4	7
68	того что	4	7
69	что он	1	7
70	только в	6	7
71	тем что	1	7
72	такого рода	8	7
73	все это	2	7
74	и то	2	6
75	есть не	1	6
76	говорить о	3	6
77	но как	1	6
78	за пределы	2	6
79	и как	2	6
80	в самом	4	6
81	при этом	12	6
82	его в	2	6
83	это не	2	6
84	в то	6	6
85	таким образом	3	6
86	в виду	5	6
87	разного рода	1	6
88	и здесь	2	6
89	в его	6	6
90	этом смысле	2	6
91	так что	1	6
92	в конце	2	6
93	о чем	1	6
94	как это	8	6
95	не существует	1	6
96	хотя и	3	6
97	совершенно не	1	6
98	действительности и	1	5
99	а только	3	5
100	в своем	4	5
101	перед нами	2	5
102	то в	2	5
103	что она	2	5
104	далеко не	2	5
105	с тем	1	5
106	некоторого рода	1	5
107	связи с	1	5
108	той или	1	5
109	можно сказать	3	5
110	есть в	2	5
111	или иной	4	5
112	еще и	1	5
113	не является	4	5
114	тем более	1	5
115	в их	2	4
116	этого термина	1	4
117	совсем не	1	4
118	с которыми	1	4
119	сама по	1	4
120	как в	5	4
121	их в	3	4
122	входит в	1	4
123	вещи в	1	4
124	не в	7	4
125	тому что	2	4
126	тем самым	4	4
127	мышления и	2	4
128	и притом	2	4
129	иметь в	1	4
130	казалось бы	2	4
131	а в	13	4
132	точно так	1	4
133	только то	1	4
134	не всякий	1	4
135	если бы	3	4
136	никак не	1	4
137	а также	6	4
138	и только	1	4
139	в литературе	2	4
140	один из	2	4
141	д и	1	4
142	даже если	1	4
143	только на	1	4
144	вещи или	1	4
145	именно в	3	4
146	не было	1	4
147	в одно	2	4
148	если не	1	4
149	для обозначения	1	4
150	и для	2	4
151	в связи	1	4
152	или в	3	4
153	по поводу	1	4
154	но она	2	3
155	того же	3	3
156	в чем	1	3
157	в ее	5	3
158	что они	1	3
159	более или	2	3
160	в действительности	1	3
161	вещи но	1	3
162	что это	1	3
163	но он	3	3
164	в случае	1	3
165	но именно	1	3
166	он не	3	3
167	что все	1	3
168	в жизни	2	3
169	как и	4	3
170	или менее	2	3
171	в этих	3	3
172	точки зрения	9	3
173	с точки	3	3
174	для которого	1	3
175	в отношении	3	3
176	дело в	2	3
177	только не	2	3
178	в самой	2	3
179	тех или	3	3
180	и его	8	3
181	как будто	2	3
182	и делает	1	3
183	в каком	1	3
184	однако это	1	3
185	к тому	2	3
186	для себя	1	3
187	говорит и	2	3
188	определенным образом	2	3
189	можно было	1	3
190	мы в	2	3
191	для этого	1	3
192	не на	2	3
193	только и	1	3
194	искусства и	1	3
195	что его	1	3
196	к нему	1	3
197	тем или	1	3
198	во всей	1	3
199	оно и	1	3
200	знак но	1	3
201	всякий знак	1	3
202	по этому	1	3
203	уже не	4	3
204	свидетельствует о	1	3
205	вишневый сад	1	3
206	из них	1	3
207	говорит о	1	3
208	бы никакого	1	3
209	случае не	2	3
210	с другой	7	3
211	не обязательно	1	3
212	оно не	1	3
213	что не	1	3
214	однако и	1	3
215	этих случаях	1	3
216	теории литературы	1	3
217	быть и	2	3
218	от всего	1	3
219	мы говорим	1	3
220	другой стороны	5	3
221	в искусстве	6	3
222	я и	2	2
223	он стоит	1	2
224	например в	1	2
225	для построения	1	2
226	же как	1	2
227	к нашему	2	2
228	и потому	2	2
229	вещей но	1	2
230	в первом	2	2
231	по преимуществу	4	2
232	и до	1	2
233	мы имеем	7	2
234	в сущности	1	2
235	что иное	1	2
236	на себя	2	2
237	иное как	1	2
238	с его	5	2
239	в комедии	1	2
240	то или	1	2
241	это тоже	2	2
242	в которой	2	2
243	таковы например	1	2
244	так или	4	2
245	он в	1	2
246	из этих	3	2
247	говорят о	1	2
248	во многих	1	2
249	на его	1	2
250	он должен	2	2
251	ним на	1	2
252	или иных	3	2
253	с такими	1	2
254	и заключается	1	2
255	не будет	2	2
256	это было	2	2
257	с другими	5	2
258	делает его	2	2
259	должно быть	1	2
260	и того	3	2
261	одного и	3	2
262	на первый	1	2
263	образом и	1	2
264	которые в	1	2
265	друг другу	1	2
266	по крайней	1	2
267	однако в	7	2
268	таких случаях	2	2
269	в таких	1	2
270	она не	1	2
271	чтобы оно	1	2
272	пушкина что	2	2
273	и сама	1	2
274	не ее	1	2
275	в области	4	2
276	не могут	2	2
277	могут быть	4	2
278	для такого	1	2
279	и другим	1	2
280	и своя	1	2
281	подобно тому	1	2
282	как знак	1	2
283	не содержит	1	2
284	что может	2	2
285	с собой	1	2
286	особенно в	1	2
287	является в	1	2
288	из других	1	2
289	то во	1	2
290	все прочие	3	2
291	и который	2	2
292	того или	3	2
293	между тем	5	2
294	стоит и	1	2
295	крайней мере	1	2
296	мы видим	1	2
297	или его	1	2
298	в качестве	24	2
299	является не	1	2
300	для него	2	2
301	ведь это	1	2
302	с этими	1	2
303	момент в	1	2
304	говорим о	1	2
305	или иначе	5	2
306	являются только	1	2
307	действующих лиц	1	2
308	данного художественного	1	2
309	что для	1	2
310	вместе с	2	2
311	и особенно	2	2
312	тому как	1	2
313	есть как	2	2
314	по существу	1	2
315	в это	1	2
316	о его	1	2
317	известной степени	3	2
318	тем и	1	2
319	сколько бы	1	2
320	в результате	1	2
321	тот кто	2	2
322	особого рода	2	2
323	собственно говоря	1	2
324	о своем	2	2
325	от всех	1	2
326	к его	2	2
327	или иного	3	2
328	не что	1	2
329	ее в	2	2
330	художественном произведении	1	1
331	а между	1	1
332	кто его	1	1
333	ту же	1	1
334	одним из	2	1
335	чтобы не	1	1
336	художественного произведения	4	1
337	начинается с	1	1
338	ивана карамазова	1	1
339	даже сказать	1	1
340	вещей в	1	1
341	и больше	2	1
342	отношения к	2	1
343	в году	1	1
344	которыми он	1	1
345	той же	1	1
346	говоря и	2	1
347	именно к	1	1
348	этом не	1	1
349	требует от	1	1
350	к смыслу	2	1
351	я не	2	1
352	имеет дело	1	1
353	имеют место	1	1
354	которое в	1	1
355	своему смыслу	1	1
356	как смысл	1	1
357	на их	1	1
358	бы то	1	1
359	проникновение в	1	1
360	особенно если	1	1
361	ценность которой	1	1
362	выделены в	1	1
363	или иное	1	1
364	и я	1	1
365	и поэтому	1	1
366	первый взгляд	1	1
367	субъекта и	2	1
368	в акте	2	1
369	данный момент	2	1
370	и объекта	1	1
371	зрения логики	1	1
372	чего нет	1	1
373	говорит что	2	1
374	тем же	1	1
375	духа и	1	1
376	самом начале	2	1
377	к числу	1	1
378	здесь и	1	1
379	сливается с	1	1
380	именно эта	1	1
381	еще на	1	1
382	не знает	3	1
383	за это	1	1
384	ее как	1	1
385	еще один	1	1
386	в известном	1	1
387	знаков так	1	1
388	и те	1	1
389	на смену	4	1
390	если он	1	1
391	но на	1	1
392	в наших	1	1
393	всей его	1	1
394	отношений между	1	1
395	в силу	1	1
396	действительности которая	1	1
397	ни были	1	1
398	можно даже	1	1
399	на этом	1	1
400	его можно	1	1
401	встречаются в	1	1
402	точно и	1	1
403	одно и	1	1
404	равнодушна к	1	1
405	в каждом	1	1
406	то ни	1	1
407	если нет	1	1
408	существующая в	1	1
409	тем оно	1	1
410	лишь в	6	1
411	в художественном	3	1
412	заключается в	2	1
413	отчет в	1	1
414	на почве	4	1
415	но их	3	1
416	закономерно и	1	1
417	даже в	3	1
418	мог бы	3	1
419	внутреннее и	1	1
420	нет в	1	1
421	как об	1	1
422	и вся	1	1
423	этим и	1	1
424	с лизой	1	1
425	и некоторые	2	1
426	и становится	1	1
427	на первом	1	1
428	себя внимание	1	1
429	другим и	1	1
430	ее внутренней	1	1
431	или точнее	1	1
432	в такой	1	1
433	мы конечно	1	1
434	и без	1	1
435	место в	5	1
436	в известной	1	1
437	до последнего	1	1
438	вопрос о	1	1
439	не путем	1	1
440	на первой	1	1
441	я есть	5	1
442	жизни является	1	1
443	ни было	1	1
444	значимость в	1	1
445	чем собственно	1	1
446	том же	1	1
447	случае мы	1	1
448	и одной	2	1
449	между людьми	1	1
450	речь пойдет	1	1
451	смысл всегда	1	1
452	же самую	1	1
453	дело не	2	1
454	на котором	1	1
455	если в	2	1
456	в основе	3	1
457	и внутренней	1	1
458	эта внутренняя	1	1
459	та или	1	1
460	тем однако	1	1
461	на язык	1	1
462	имеем дело	2	1
463	этих двух	2	1
464	с одним	1	1
465	внутренней и	2	1
466	словом или	1	1
467	зрение и	1	1
468	ему не	1	1
469	не мыслится	1	1
470	настоящего времени	1	1
471	очень часто	1	1
472	в момент	2	1
473	образом что	1	1
474	сравнении с	1	1
475	окружающей нас	1	1
476	является одним	1	1
477	в стихотворении	4	1
478	его с	1	1
479	жизни всегда	1	1
480	того и	1	1
481	всегда так	1	1
482	о каком	1	1
483	отказаться от	1	1
484	должен быть	1	1
485	вещами и	1	1
486	у себя	1	1
487	но по	1	1
488	с ее	3	1
489	не субъективно	1	1
490	самим собою	2	1
491	для читателя	2	1
492	еще два	1	1
493	или для	1	1
494	то время	1	1
495	всей своей	1	1
496	в пределах	5	1
497	не возникает	1	1
498	вопрос что	1	1
499	человека с	2	1
500	и сам	1	1
501	в условиях	1	1
502	на нее	1	1
503	проблем и	1	1
504	не с	3	1
505	здесь как	1	1
506	с самим	1	1
507	начала и	1	1
508	нам уже	1	1
509	наше внимание	1	1
510	остановимся на	1	1
511	мира а	1	1
512	и внешней	3	1
513	не случайна	1	1
514	весьма существенно	2	1
515	сводится к	5	1
516	это происходит	1	1
517	в другом	3	1
518	одного из	1	1
519	основе своей	1	1
520	до известной	2	1
521	говорят это	1	1
522	во втором	3	1
523	эти два	1	1
524	чем и	1	1
525	не более	1	1
526	не сводится	4	1
527	в художественной	1	1
528	ни к	3	1
529	по собственному	1	1
530	известном смысле	1	1
531	по своей	3	1
532	не случайно	5	1
533	но с	1	1
534	знаков в	2	1
535	что даже	1	1
536	может оказаться	2	1
537	который в	2	1
538	сложности и	1	1
539	тот или	2	1
540	смыслу и	1	1
541	себя в	6	1
542	от одной	1	1
543	оно стало	1	1
544	для всех	1	1
545	момент для	1	1
546	раз в	1	1
547	этом что	1	1
548	чем с	1	1
549	но самое	1	1
550	в душе	8	1
551	ту или	1	1
552	к каким	1	1
553	и их	1	1
554	в прошлом	1	1
555	ее не	1	1
556	при всей	1	1
557	в систему	1	1
558	не говорит	1	1
559	имеет значение	1	1
560	для таких	1	1
561	со стороны	2	1
562	в данный	2	1
563	на примере	1	1
564	на ее	1	1
565	знаковая природа	1	1
566	такого понимания	1	1
567	было и	1	1
568	времени в	2	1
569	и внешнее	1	1
570	который от	1	1
571	больше и	1	1
572	и жизни	1	1
573	означало бы	1	1
574	со мной	1	1
575	с которым	1	1
576	была бы	3	1
577	что из	1	1
578	и слово	1	1
579	мира в	1	1
580	ближе к	1	1
581	среди прочих	1	1
582	нет никаких	1	1
583	является его	1	1
584	этого я	1	1
585	но кто	1	1
586	в одной	1	1
587	человека к	3	1
588	литературы но	1	1
589	некий общий	1	1
590	к бытию	1	1
591	к своему	1	1
592	и к	3	1
593	быть это	1	1
594	для искусства	2	1
595	покоя как	1	1
596	для возникновения	3	1
597	вокруг себя	1	1
598	для понимания	2	1
599	евгении онегине	1	1
600	многих других	1	1
601	слова и	1	1
602	художественное произведение	1	1
603	развернута в	1	1
604	если ее	1	1
605	самое существенное	1	1
606	остается в	1	1
607	и конца	1	1
608	чтобы этот	1	1
609	несет в	2	1
610	и от	1	1
611	о котором	1	1
612	которая в	1	1
613	это энергия	1	1
614	не представляет	1	1
615	на свою	1	1
616	в третьем	1	1
617	не будучи	1	1
618	и существенно	1	1
619	именно знаком	1	1
620	бы они	1	1
621	между внутренней	2	1
622	решает не	1	1
623	не объективно	1	1
624	все они	1	1
625	как этого	1	1
626	тот же	1	1
627	он оказывается	1	1
628	в системе	1	1
629	себе никакого	1	1
630	в романе	3	1
631	из тех	2	1
632	природой и	1	1
633	имеет место	2	1
634	одновременно и	1	1
635	в сравнении	1	1
636	ее художник	1	1
637	в противоположность	2	1
