N	2gram	Berdyaev_V_1	Otkroven
1	со злом	1	3
2	от него	2	2
3	для него	2	2
4	и злом	1	2
5	в этом	4	2
6	зла в	1	2
7	те которые	2	2
8	он всегда	1	2
9	а не	7	2
10	отношение к	1	1
11	зло должно	1	1
12	у него	1	1
13	с богом	4	1
14	как и	4	1
15	ивана карамазова	2	1
16	человека и	6	1
17	любви к	1	1
18	о которой	1	1
19	из сторон	1	1
20	природу человека	1	1
21	него в	1	1
22	говорит о	1	1
23	его и	2	1
24	и эта	1	1
25	должно быть	3	1
26	в божественном	1	1
27	духа и	2	1
28	есть не	1	1
29	и в	16	1
30	это не	2	1
31	в бездну	1	1
32	он был	1	1
33	к человеку	1	1
34	не есть	6	1
35	но и	5	1
36	влагает в	1	1
37	не только	2	1
38	эту истину	1	1
39	и вот	1	1
40	одна из	2	1
41	никогда не	3	1
42	было для	1	1
