1	с точки зрения	3	5
2	не может быть	1	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	что иное как	1	2
6	с самого начала	1	2
7	не что иное	1	2
8	ничего общего с	1	2
9	в том что	9	2
10	и наконец в	1	2
11	в данном случае	2	2
12	в самом деле	1	2
13	то что в	1	1
14	и в его	2	1
15	течение всей своей	1	1
16	само собой разумеется	3	1
17	оказывается с точки	1	1
18	а также и	1	1
19	в последнее время	2	1
20	но это конечно	1	1
21	что он называет	1	1
22	собственном смысле слова	1	1
23	все равно не	1	1
24	и как бы	1	1
25	в отличие от	3	1
26	которая уже была	1	1
27	тем не менее	6	1
28	может быть и	1	1
29	в связи с	8	1
30	но тем не	1	1
31	в сознании и	1	1
32	можно было бы	2	1
33	это конечно не	1	1
34	тот же самый	1	1
35	для того чтобы	1	1
36	в течение всего	1	1
37	в этом отношении	1	1
38	нам кажется что	2	1
39	само по себе	2	1
40	только и может	2	1
41	в течение всей	2	1
42	несмотря на все	2	1
43	более или менее	3	1
44	в собственном смысле	1	1
45	равно как и	1	1
46	почти никогда не	1	1
47	в то же	3	1
48	собой разумеется что	2	1
49	что в этом	1	1
50	и в области	1	1
51	то же время	3	1
52	нужно сказать что	1	1
53	не было бы	1	1
54	на то что	2	1
55	чуть ли не	1	1
56	но в то	1	1
57	и особенно его	1	1
58	только то что	1	1
