N	3gram	Tiupa_Lite_3	Psycholo
1	для того чтобы	1	19
2	в том что	4	12
3	о том что	4	10
4	в самом деле	2	7
5	на то что	2	6
6	то же самое	2	6
7	к тому что	1	5
8	на самом деле	1	5
9	с точки зрения	3	4
10	как раз в	1	4
11	с одной стороны	4	3
12	это и есть	1	3
13	и т п	1	3
14	сама по себе	1	3
15	то что в	1	3
16	в том чтобы	2	3
17	до самого конца	1	2
18	о том как	1	2
19	и в частности	2	2
20	не только не	1	2
21	так как мы	1	2
22	с другой стороны	2	2
23	к тому же	5	2
24	мы все время	1	2
25	и в самом	2	2
26	то что ему	2	2
27	вместе с тем	1	2
28	во всей ее	1	2
29	подобно тому как	2	1
30	к такого рода	1	1
31	так или иначе	2	1
32	может быть в	1	1
33	что ему нужно	1	1
34	место в этом	1	1
35	мы находимся в	1	1
36	из того что	2	1
37	потому что не	2	1
38	не в одном	2	1
39	в целом ряде	1	1
40	именно то что	1	1
41	в глубине души	1	1
42	ничего общего с	1	1
43	на первый взгляд	1	1
44	этой точки зрения	1	1
45	как бы в	1	1
46	и к тому	1	1
47	по отношению к	4	1
48	которое должно быть	1	1
49	может быть определена	1	1
50	не что иное	1	1
51	не только в	2	1
52	в то же	7	1
53	органической связи с	1	1
54	в конечном счете	1	1
55	выразить то что	1	1
56	том что они	1	1
57	что иное как	1	1
58	то же время	7	1
59	и вместе с	2	1
60	бы то ни	2	1
61	при этом как	1	1
62	самого по себе	1	1
63	быть не может	1	1
64	раз в том	1	1
65	с этой точки	1	1
66	а не только	1	1
67	я не могу	1	1
68	это как бы	1	1
69	быть определена как	1	1
70	в свою очередь	1	1
71	у него не	1	1
72	то ни было	2	1
73	не может быть	3	1
