N	2gram	Losev_Vesc_1	Retstnzi
1	не может	17	4
2	и в	21	3
3	если в	1	2
4	общения и	2	2
5	один из	3	2
6	и можно	1	1
7	себя от	2	1
8	и больше	9	1
9	то же	6	1
10	с другими	8	1
11	можно назвать	1	1
12	не из	2	1
13	в ней	12	1
14	и истории	1	1
15	его от	1	1
16	может быть	16	1
17	и заставляет	2	1
18	из этих	1	1
19	и не	29	1
20	в его	2	1
21	может и	1	1
22	конечно и	1	1
23	этого общения	1	1
24	бы на	1	1
25	не только	36	1
26	с точки	3	1
27	не менее	3	1
28	для него	4	1
29	и тому	1	1
30	если бы	5	1
31	тому что	2	1
32	и социальной	1	1
33	нет и	1	1
34	можно и	2	1
35	к тому	3	1
36	и событий	1	1
37	в особенности	1	1
38	несмотря на	1	1
39	смысл и	9	1
40	и все	5	1
41	в то	3	1
42	вещей и	4	1
43	бы в	5	1
44	языка как	2	1
45	но и	18	1
46	точки зрения	5	1
47	может не	2	1
48	мы видим	2	1
49	увидеть в	1	1
50	в языке	1	1
51	больше ничего	8	1
52	а не	19	1
