N	3gram	Nazirov_Tr_1	Analitik
1	не может быть	1	16
2	в том что	2	9
3	в то же	5	8
4	в отличие от	2	6
5	то же время	5	6
6	и не может	1	4
7	о том что	2	3
8	и т п	1	3
9	в самом деле	1	2
10	в данном случае	2	2
11	но в то	2	2
12	не могут быть	1	2
13	по природе своей	1	2
14	и все же	1	2
15	том что он	1	2
16	как и его	1	1
17	и сам автор	1	1
18	в виду не	1	1
19	же время он	1	1
20	сам по себе	1	1
21	может быть понят	1	1
22	и в частности	2	1
23	в этой связи	1	1
24	смысле этого слова	1	1
25	в xx веке	1	1
26	и должно быть	1	1
27	и при этом	1	1
28	и как бы	2	1
29	все же не	1	1
30	во всяком случае	1	1
31	на вопрос о	1	1
32	в той же	1	1
33	еще в году	1	1
34	и вместе с	1	1
35	и в самом	2	1
36	мысль о том	1	1
37	в связи с	1	1
38	к тому что	1	1
39	ведет к тому	1	1
40	как и в	1	1
