N	2gram	Losev_Prob_5	TeoriaLi
1	не только	18	18
2	в качестве	4	17
3	и не	12	16
4	я в	1	16
5	а в	6	14
6	и в	30	13
7	в частности	4	13
8	состоит в	1	13
9	так и	7	12
10	то есть	21	12
11	может быть	7	12
12	при этом	4	11
13	в этом	17	11
14	в том	12	11
15	но не	7	10
16	и его	6	10
17	а не	5	10
18	то же	2	9
19	в его	12	9
20	в душе	1	8
21	отношению к	2	8
22	сводится к	1	8
23	своего рода	1	8
24	что в	5	8
25	но и	13	8
26	такого рода	2	8
27	по отношению	2	8
28	в себе	4	7
29	точки зрения	10	7
30	по своей	2	7
31	как это	1	7
32	в то	4	7
33	только в	9	7
34	том что	17	7
35	в данном	2	7
36	еще не	3	6
37	же время	1	6
38	с его	1	6
39	в первой	2	6
40	но в	9	6
41	в русской	3	6
42	как бы	6	6
43	данном случае	2	5
44	как и	7	5
45	в нем	6	5
46	не в	7	5
47	тем самым	1	5
48	того или	1	5
49	в искусстве	1	5
50	в ее	3	5
51	между тем	2	5
52	героя и	1	5
53	я с	1	5
54	уже не	6	5
55	в самом	5	5
56	он не	3	5
57	с другой	6	5
58	однако в	3	5
59	а также	3	5
60	как в	2	5
61	или иной	1	5
62	мы имеем	2	5
63	жизни как	1	5
64	в своем	11	5
65	в форме	1	4
66	и а	1	4
67	можно сказать	6	4
68	но он	5	4
69	по пути	1	4
70	не менее	5	4
71	в своей	22	4
72	в их	1	4
73	отношение к	2	4
74	хотя и	8	4
75	то что	18	4
76	мира и	2	4
77	ни в	4	4
78	сказать что	9	4
79	не столько	1	4
80	не может	5	4
81	в стихотворении	14	4
82	личности и	1	4
83	и ее	1	4
84	в свою	2	4
85	все эти	2	3
86	все прочие	1	3
87	с ее	1	3
88	не все	2	3
89	и вот	1	3
90	в другом	3	3
91	в противоположность	3	3
92	или в	4	3
93	прежде всего	6	3
94	являет собой	1	3
95	таким образом	13	3
96	в этой	10	3
97	как раз	5	3
98	а только	1	3
99	в нашем	1	3
100	его в	6	3
101	по мысли	2	3
102	этом смысле	3	3
103	того что	3	3
104	потому что	13	3
105	входит в	1	3
106	и сам	4	3
107	и к	4	3
108	мог бы	1	3
109	художественного творчества	8	3
110	нового времени	4	3
111	в отношении	3	3
112	во времени	1	3
113	и потому	1	3
114	тем не	5	3
115	я на	1	3
116	а с	4	3
117	другой стороны	6	3
118	именно в	3	3
119	и что	6	3
120	никогда не	7	3
121	в финале	1	3
122	он должен	1	3
123	и др	1	3
124	и то	5	3
125	мира в	3	3
126	перед нами	1	3
