N	3gram	Tiupa_Hudo_1	slovoVRo
1	и т п	8	33
2	не может быть	2	15
3	в отличие от	1	12
4	в значительной степени	2	6
5	с одной стороны	1	5
6	по отношению к	8	4
7	то же время	8	4
8	но все же	1	4
9	в то же	8	4
10	в узком смысле	1	4
11	в том что	6	4
12	и там где	1	3
13	с точки зрения	3	3
14	в этом отношении	3	3
15	т п все	1	3
16	но в то	3	3
17	так и в	1	3
18	одной стороны и	1	3
19	в чем не	1	2
20	в свою очередь	1	2
21	а также и	1	2
22	более или менее	1	2
23	до сих пор	2	2
24	же время это	1	2
25	не только в	2	2
26	во всяком случае	1	2
27	уходит своими корнями	1	2
28	своими корнями в	1	2
29	ни в чем	1	2
30	в связи с	3	2
31	и т д	3	2
32	соединяется с его	1	1
33	о нем и	1	1
34	интеллигенции х годов	1	1
35	том что в	2	1
36	том что он	1	1
37	не может не	1	1
38	и в то	1	1
39	до известной степени	1	1
40	сами по себе	1	1
41	анализа и интерпретации	1	1
42	перед нами не	1	1
43	на то что	2	1
44	может быть только	1	1
45	по себе а	1	1
46	на них и	1	1
47	в две реплики	1	1
48	а также в	1	1
49	что он не	2	1
50	что среди всех	1	1
51	не до конца	1	1
52	в нем не	1	1
53	мы уже говорили	1	1
54	так и от	2	1
55	слова никогда не	1	1
56	тем не менее	3	1
57	время это и	1	1
58	о том что	9	1
59	того или иного	2	1
60	а в том	1	1
61	между этими двумя	1	1
62	историческом так и	1	1
63	как и в	3	1
64	с самого начала	1	1
65	не только не	1	1
66	но в этом	1	1
67	речь идет о	2	1
68	также в значительной	1	1
69	мы не знаем	1	1
70	жизни перед нами	1	1
71	так и по	1	1
72	широты и глубины	1	1
73	она не может	1	1
74	своей и чужой	1	1
