N	3gram	Tiupa_Anal_1	Vvedenie
1	для того чтобы	3	20
2	в том что	9	12
3	о том что	3	12
4	в этом смысле	1	8
5	не может быть	16	8
6	до сих пор	1	6
7	в самом деле	2	6
8	то же время	6	6
9	в то же	8	6
10	и т п	3	5
11	в той мере	2	5
12	в том чтобы	7	5
13	той мере в	2	5
14	с другой стороны	2	5
15	мере в какой	2	5
16	в широком смысле	2	5
17	что иное как	5	4
18	по отношению к	5	4
19	в этом отношении	2	4
20	по крайней мере	1	4
21	в данном случае	2	4
22	не только в	1	4
23	во всяком случае	1	4
24	не что иное	4	4
25	с одной стороны	3	4
26	в том виде	1	3
27	также и в	1	3
28	в собственном смысле	1	3
29	именно в этом	2	3
30	вместе с тем	1	3
31	но в то	2	3
32	в известном смысле	1	3
33	большей или меньшей	4	3
34	и в самом	1	3
35	в свое время	2	3
36	состоит в том	3	2
37	и той же	1	2
38	по меньшей мере	1	2
39	не говоря уже	1	2
40	подобно тому как	3	2
41	в соответствии с	1	2
42	то же самое	2	2
43	что же касается	1	2
44	как будто бы	1	2
45	с точки зрения	4	2
46	имеет дело с	1	2
47	дело не с	1	2
48	смысле этого слова	1	2
49	и не могут	1	2
50	не могут быть	2	2
51	самом деле как	1	2
52	не в том	3	2
53	в связи с	1	2
54	на вопрос о	1	2
55	есть не что	3	2
56	одной и той	1	2
57	той или иной	6	2
58	и того же	2	1
59	тех пор пока	1	1
60	в той или	3	1
61	как уже говорилось	1	1
62	того что в	2	1
63	мы имеем дело	4	1
64	прежде всего в	1	1
65	этого слова как	1	1
66	более или менее	1	1
67	имеем в виду	1	1
68	в принципе не	3	1
69	в том же	1	1
70	тогда когда оно	1	1
71	том виде в	1	1
72	но и как	1	1
73	дело не только	1	1
74	то или иное	1	1
75	говоря уже о	1	1
76	в таком случае	3	1
77	сам по себе	1	1
78	в отличие от	6	1
79	но и в	2	1
80	так как если	1	1
81	только в том	1	1
82	виде в каком	1	1
83	не сам по	1	1
84	том или ином	3	1
85	принципе не может	1	1
86	имеем дело с	3	1
87	она может быть	1	1
88	собой не что	1	1
89	единого и цельного	1	1
90	с этой точки	1	1
91	как если бы	1	1
92	и не в	4	1
93	в зависимости от	1	1
94	одно и то	1	1
95	внешнего по отношению	1	1
96	уже потому что	1	1
97	и тогда когда	1	1
98	в достаточной мере	1	1
99	в том или	2	1
100	а только с	1	1
101	в обоих этих	1	1
102	в первом случае	2	1
103	и т.д в	1	1
104	то ни было	3	1
105	природе того что	1	1
106	мы имеем в	1	1
107	и то же	1	1
108	в большей или	1	1
109	или меньшей степени	1	1
110	какой бы то	2	1
111	не остается ничего	2	1
112	бы то ни	3	1
113	собственном смысле слова	1	1
114	лишь в том	3	1
115	случае не есть	1	1
116	он в то	1	1
117	остается ничего иного	2	1
118	подлинного искусства в	1	1
119	речь идет об	1	1
120	этой точки зрения	1	1
121	в целом но	1	1
122	но не может	1	1
123	ничего иного как	2	1
124	до тех пор	1	1
125	два различных аспекта	1	1
126	значение только в	1	1
127	в новейшее время	1	1
128	в свою очередь	1	1
129	может быть определено	1	1
130	того или иного	3	1
131	широком смысле этого	1	1
132	заключенное в нем	1	1
133	было бы именовать	1	1
134	только тогда когда	1	1
135	ответом на вопрос	1	1
136	одного и того	2	1
137	но в принципе	1	1
138	к тому что	1	1
139	того чтобы быть	1	1
140	из того что	3	1
141	совершенно иного рода	1	1
