N	2gram	Berdyaev_M_2	NovoeSre
1	а не	13	17
2	и в	46	16
3	не может	15	16
4	во имя	16	15
5	совсем не	5	12
6	и не	18	11
7	и есть	8	10
8	в эпоху	1	9
9	что в	4	9
10	как не	1	8
11	в том	3	8
12	жизни и	6	8
13	он не	10	8
14	культуры и	1	7
15	в этом	20	7
16	может быть	21	7
17	не будет	3	7
18	как и	13	7
19	это есть	2	7
20	высшей степени	3	6
21	с его	4	6
22	не в	9	6
23	ни в	3	6
24	в высшей	3	6
25	никогда не	18	6
26	лишь в	2	6
27	но это	8	6
28	не знает	9	6
29	кризис культуры	1	6
30	воля к	1	6
31	должен быть	4	5
32	в ней	11	5
33	культуры в	1	5
34	и к	7	5
35	не только	18	5
36	в жизни	4	5
37	xix века	1	5
38	все это	1	5
39	в нем	22	5
40	большую роль	1	4
41	быть может	2	4
42	о том	3	4
43	государства и	1	4
44	в час	1	4
45	перестает быть	1	4
46	в них	3	4
47	то что	5	4
48	это не	5	4
49	прежде всего	12	4
50	не было	11	4
51	должно быть	2	4
52	есть лишь	17	4
53	и потому	7	4
54	по своему	1	4
55	и для	7	4
56	не имеет	4	4
57	и все	5	4
58	потому что	12	4
59	с другой	1	3
60	смысле слова	3	3
61	в ее	1	3
62	волю к	1	3
63	должна быть	1	3
64	вопрос о	6	3
65	человека и	7	3
66	во всех	2	3
67	разлагается и	2	3
68	за пределы	1	3
69	как в	7	3
70	духа и	3	3
71	царства божьего	1	3
72	подобно тому	2	3
73	французской революции	1	3
74	имя свободы	1	3
75	в мире	7	3
76	но и	15	3
77	не есть	13	3
78	не означает	2	3
79	с тем	1	3
80	старого мира	1	3
81	бога и	5	3
82	в своей	5	3
83	тому как	2	3
84	в россии	3	3
85	в прошлом	1	3
86	она не	8	3
87	лишь символы	1	3
88	что такое	1	3
89	революции и	6	3
90	не существует	3	3
91	жизни не	2	3
92	в основе	2	3
93	жизни в	3	3
94	в духе	5	3
95	истории не	1	3
96	к тому	5	3
97	сказать что	3	3
98	которых не	1	2
99	и это	5	2
100	к революции	5	2
101	нем нет	2	2
102	же как	3	2
103	связана с	7	2
104	не человек	1	2
105	это и	3	2
106	на путях	1	2
107	роль в	1	2
108	переживает кризис	1	2
109	не имеют	2	2
110	ведь и	1	2
111	можно было	2	2
112	так и	4	2
113	мы не	1	2
114	мира и	1	2
115	и с	3	2
116	для этого	4	2
117	еще до	1	2
118	она порождает	2	2
119	будет уже	1	2
120	но она	2	2
121	я не	5	2
