N	3gram	Voloshinov_2	OGranits
1	с точки зрения	13	5
2	не может быть	10	4
3	по отношению к	8	3
4	есть прежде всего	1	3
5	вполне понятно что	1	3
6	одно и то	3	3
7	что иное как	1	2
8	истории языка и	1	2
9	в самом деле	5	2
10	в зависимости от	2	2
11	языка как системы	2	2
12	в жизненной речи	3	2
13	изолированное монологическое высказывание	3	2
14	не только его	1	2
15	с одной стороны	3	2
16	и то же	3	2
17	с другой стороны	1	2
18	то же слово	2	2
19	того или иного	2	2
20	с самого начала	5	2
21	не что иное	1	2
22	в том что	6	2
23	и не является	1	2
24	в другом месте	1	1
25	от своего идеологического	1	1
26	фигурирует в двух	1	1
27	а вовсе не	1	1
28	и его аудиторией	1	1
29	более или менее	2	1
30	с одним из	1	1
31	лишь в процессе	1	1
32	на самом деле	4	1
33	материале внутренней речи	1	1
34	может овладеть только	1	1
35	то же самое	5	1
36	нам кажется что	1	1
37	законченное монологическое высказывание	1	1
38	нет никакого идеологического	1	1
39	и не может	3	1
40	еще тем что	1	1
41	тесно связана с	1	1
42	в отличие от	3	1
43	не было бы	2	1
44	в этом отношении	1	1
45	в собственном смысле	2	1
46	и т.д и	1	1
47	монологическое высказывание и	1	1
48	может быть и	5	1
49	в системе языка	2	1
50	то или иное	1	1
51	по себе а	1	1
52	его proton pseudos	1	1
53	в последнее время	1	1
54	конечно мы не	1	1
55	в узком смысле	2	1
56	мы полагаем что	1	1
57	для того чтобы	6	1
58	нормативная тождественность языковой	1	1
59	лингвистике но и	1	1
60	данной социальной группы	3	1
61	мы все же	1	1
62	интонации в жизненной	1	1
63	быть и речи	2	1
64	тем не менее	1	1
65	может быть объяснено	1	1
66	и сложнее его	1	1
67	в связи с	7	1
68	чуть ли не	1	1
69	само по себе	1	1
70	собственном смысле слова	2	1
71	себе а лишь	1	1
72	лишь с точки	1	1
73	интонация может быть	1	1
74	философия языка и	2	1
75	что же такое	1	1
76	на изолированное монологическое	2	1
77	мы должны различать	1	1
78	в данную эпоху	2	1
79	то же время	8	1
80	сознания и его	1	1
81	но тем не	1	1
82	несобственная прямая речь	3	1
83	хотя бы в	2	1
84	грамматики и стилистики	1	1
85	но в то	5	1
86	в конечном счете	1	1
87	свое идеологическое выражение	1	1
88	но что же	1	1
89	на то что	2	1
90	точки зрения своего	2	1
91	в то же	8	1
92	единству языка как	1	1
93	к единству языка	1	1
94	превращения его в	1	1
95	к тому что	3	1
96	теперь мы можем	1	1
97	интонация не может	1	1
98	как и в	1	1
99	является таким образом	1	1
100	только с помощью	1	1
101	же самое слово	1	1
102	которого только и	1	1
