N	3gram	Tiupa_Narr_1	Tragedij
1	то же время	4	5
2	в то же	4	5
3	в отличие от	2	2
4	точно так же	1	2
5	в данном случае	8	2
6	и как бы	1	2
7	бросается в глаза	1	2
8	о том что	2	2
9	и в самом	1	2
10	но все же	1	2
11	в том что	5	2
12	а на другой	1	1
13	сменяющие друг друга	1	1
14	об этом свидетельствует	1	1
15	у него нет	1	1
16	и не может	1	1
17	сам по себе	1	1
18	но и на	2	1
19	в той же	1	1
20	и то что	1	1
21	может быть не	2	1
22	не исключено что	1	1
23	а стало быть	1	1
24	в этой связи	1	1
25	об этом прямо	1	1
26	во всяком случае	2	1
27	в себе ее	1	1
28	но при этом	1	1
29	тем не менее	3	1
30	связаны между собой	1	1
31	в связи с	2	1
32	не может быть	4	1
33	и все же	2	1
34	как и все	1	1
35	еще в году	1	1
36	в самом деле	2	1
37	него нет своего	1	1
38	к тому что	1	1
39	как и в	1	1
