N	2gram	Voloshinov_1	Otkroven
1	у него	2	22
2	и в	16	19
3	но и	4	13
4	и не	4	13
5	в этом	9	12
6	человека в	1	11
7	не только	7	11
8	может быть	17	11
9	а не	1	11
10	человека и	1	10
11	вопрос о	1	10
12	в нем	4	10
13	и все	4	10
14	прежде всего	9	9
15	в человеке	1	9
16	никогда не	2	9
17	он был	1	8
18	в его	4	7
19	человек не	1	7
20	он не	2	7
21	в глубине	1	7
22	лишь в	1	7
23	нет ничего	1	7
24	как и	2	6
25	все это	4	6
26	отношение к	5	5
27	в том	3	5
28	в самом	2	5
29	в этой	4	5
30	для него	6	5
31	нужно искать	1	5
32	о его	1	5
33	а в	3	5
34	то что	3	5
35	с его	7	4
36	все эти	5	4
37	его мысли	1	4
38	в самую	1	4
39	что не	2	4
40	не может	8	4
41	того чтобы	1	4
42	и его	8	4
43	что в	3	4
44	только и	2	4
45	нем нет	2	3
46	и есть	3	3
47	различие между	1	3
48	быть может	2	3
49	о том	2	3
50	еще не	5	3
51	к нему	1	3
52	человек был	1	3
53	было бы	2	3
54	когда он	1	3
55	что он	2	3
56	и ее	4	3
57	и вот	3	3
58	не могут	2	3
59	для того	1	3
60	это было	1	3
61	чем на	1	3
62	мысли и	4	3
63	могут быть	3	3
64	как бы	5	3
65	с ним	2	3
66	в этих	3	3
67	хотя бы	4	3
68	в своих	1	3
69	влечет к	2	3
70	все что	4	3
71	он прежде	1	2
72	и с	8	2
73	из всего	1	2
74	и то	1	2
75	так и	4	2
76	его не	1	2
77	и о	2	2
78	с чего	1	2
79	и на	4	2
80	совсем не	2	2
81	что и	2	2
82	что они	1	2
83	все же	1	2
84	и к	6	2
85	в этот	2	2
86	и потому	3	2
87	и этим	2	2
88	человека все	1	2
89	учение о	3	2
90	уже в	1	2
91	с чем	1	2
92	в душе	2	2
93	что для	1	2
94	ведь это	1	2
95	так как	4	2
96	даже и	1	2
97	момент в	2	2
98	в другом	1	2
99	его в	4	2
100	сказать что	7	2
101	с тем	1	2
102	но никогда	1	2
103	для человека	1	2
104	том что	3	2
105	что есть	1	2
106	к этому	2	2
107	что же	1	2
108	в человеческом	1	2
109	можно ли	1	2
110	своей жизни	2	2
111	не имеет	1	2
112	любовь к	1	2
113	и для	2	2
114	вовлекающее в	1	2
115	ничего не	1	2
116	всего и	1	2
117	себе даже	1	2
118	и ни	1	2
119	ничто не	1	2
120	не есть	2	2
121	жизни в	1	2
122	в глубину	2	2
123	в своей	2	2
124	хотя и	1	2
125	ее в	2	2
126	но в	4	2
127	и это	6	1
128	отношения к	3	1
129	и действительно	2	1
130	и через	2	1
131	в виду	1	1
132	на самом	4	1
133	науки о	1	1
134	характер и	1	1
135	когда человек	1	1
136	не имеют	1	1
137	свое так	1	1
138	можно было	1	1
139	к чему	1	1
140	всей ее	1	1
141	которая была	1	1
142	мы не	2	1
143	ту же	2	1
144	по сравнению	3	1
145	если бы	1	1
146	в эпоху	1	1
147	все и	2	1
148	в сущности	1	1
149	находится в	2	1
150	о нем	1	1
151	ли так	1	1
152	но к	1	1
153	в ней	1	1
154	вражда к	1	1
155	было до	1	1
156	и что	1	1
157	и острота	1	1
158	его жизни	1	1
159	необходим для	1	1
160	жизни ни	1	1
161	любви к	1	1
162	во внешнем	1	1
163	одним словом	1	1
164	самом деле	6	1
165	в которую	1	1
166	свой метод	1	1
167	но не	1	1
168	сравнению с	3	1
169	но нет	1	1
170	нуждается в	5	1
171	с духом	1	1
172	иногда и	1	1
173	отметить что	1	1
174	и можно	1	1
175	все время	1	1
176	человека как	1	1
177	в центре	1	1
178	и мир	1	1
179	в частности	2	1
180	он что	1	1
181	один из	2	1
182	что только	1	1
183	и как	3	1
184	с ними	4	1
185	и ницше	2	1
186	от этого	1	1
187	чего же	1	1
188	психологии и	1	1
189	может привести	1	1
190	что это	2	1
191	не оставляет	1	1
192	со всеми	2	1
193	же и	1	1
194	с их	3	1
195	чувств и	3	1
196	уже не	1	1
197	бы ни	1	1
198	что она	1	1
199	на этих	2	1
200	и других	2	1
201	у самого	1	1
202	растворяется в	1	1
203	его и	1	1
204	единство в	1	1
205	мир в	1	1
206	есть та	1	1
207	него что	1	1
208	цели и	2	1
209	в корне	1	1
210	в одном	3	1
211	месте и	1	1
212	ничего но	1	1
213	вовсе не	1	1
214	и сам	1	1
215	из него	1	1
216	этом отношении	1	1
217	вещей и	1	1
218	от того	1	1
219	идеологических построениях	1	1
220	и даже	4	1
221	со стороны	1	1
222	интерес к	1	1
223	где оно	1	1
224	и прежде	1	1
225	у многих	1	1
226	а это	1	1
227	в свой	1	1
228	истории и	1	1
229	в жизни	2	1
230	кажется что	2	1
231	него из	1	1
232	говорит о	1	1
233	жизни человека	4	1
234	и пр	12	1
235	в них	2	1
236	а с	1	1
237	на этот	1	1
238	и самый	1	1
239	всю жизнь	2	1
240	а ведь	1	1
241	в мире	1	1
242	в одно	2	1
243	связь с	1	1
244	художественного творчества	4	1
245	как это	3	1
246	все позволено	4	1
247	ним может	1	1
248	остается и	2	1
249	любовь и	1	1
250	страха и	1	1
251	который всегда	1	1
252	в мир	2	1
253	что было	1	1
254	всяком случае	3	1
255	в конце	1	1
256	друг с	1	1
257	человеческой психики	1	1
258	а потому	4	1
259	быть не	1	1
260	и здесь	1	1
261	но это	2	1
262	их во	1	1
263	на своем	1	1
264	а иногда	1	1
265	отличается от	1	1
266	она не	1	1
267	дело в	1	1
268	одна из	1	1
269	на два	2	1
270	в науке	2	1
271	не случайно	1	1
272	связанная с	1	1
273	не существует	2	1
274	есть метод	1	1
275	в отношениях	1	1
276	новой науки	1	1
277	в разных	1	1
278	тянется к	1	1
279	особого рода	1	1
280	это часто	1	1
281	в форму	1	1
282	и лишь	2	1
283	еще более	1	1
284	для его	1	1
285	в русском	1	1
286	во всем	1	1
287	в сознании	1	1
288	нужно отметить	1	1
289	но всегда	1	1
290	и начинается	1	1
291	с другом	1	1
292	у нас	1	1
293	и эта	1	1
294	противоречий и	1	1
295	среди них	1	1
296	от всех	1	1
297	совершенно не	8	1
298	страсть и	1	1
299	для нашего	1	1
300	ко всему	1	1
301	но оно	3	1
302	и всех	2	1
303	одно только	1	1
304	та же	1	1
305	в свое	2	1
306	в голову	2	1
307	жизни и	3	1
308	бы он	1	1
309	во всяком	3	1
