N	3gram	Vinokur_Ku_1	Analitik
1	в том что	15	7
2	по отношению к	8	7
3	так и не	1	5
4	с другой стороны	6	5
5	о том что	5	5
6	по крайней мере	5	4
7	в свою очередь	3	4
8	и того же	2	3
9	в сочетании с	1	3
10	то же время	2	3
11	а всего лишь	1	3
12	той или иной	1	3
13	в то же	2	3
14	одного и того	2	3
15	в этом отношении	5	3
16	крайней мере в	1	2
17	том что он	4	2
18	с точки зрения	9	2
19	в отличие от	1	2
20	тот или иной	1	2
21	едва ли не	1	2
22	с одной стороны	1	2
23	тем не менее	4	2
24	во всяком случае	5	2
25	в свое время	2	2
26	что несмотря на	1	2
27	а в том	2	2
28	если бы он	1	1
29	должны были бы	1	1
30	и может быть	1	1
31	это уже не	1	1
32	что иное как	1	1
33	не говоря уже	1	1
34	на самом деле	2	1
35	одно из самых	1	1
36	в самом деле	7	1
37	и в особенности	1	1
38	в этом смысле	3	1
39	в этом случае	2	1
40	до сих пор	4	1
41	могли бы служить	1	1
42	в зависимости от	5	1
43	хотя бы и	2	1
44	при этом что	1	1
45	между тем как	1	1
46	таким образом в	1	1
47	но они не	1	1
48	в сущности говоря	1	1
49	все той же	1	1
50	на этот вопрос	1	1
51	после чего следует	1	1
52	позицию по отношению	1	1
53	тогда как в	1	1
54	в году но	1	1
55	однако с другой	1	1
56	одна из наиболее	1	1
57	в том чтобы	8	1
58	далеко не всегда	1	1
59	его как и	1	1
60	дело не с	1	1
61	не только в	1	1
62	так и в	2	1
63	в применении к	1	1
64	во втором случае	1	1
65	которые могли бы	1	1
66	а с другой	3	1
67	так или иначе	2	1
68	не в том	4	1
69	это все же	1	1
70	в связи с	3	1
71	не для того	1	1
72	лишь в том	1	1
73	лицом к лицу	1	1
74	для того чтобы	15	1
75	в тех случаях	2	1
76	того или иного	3	1
77	и все же	1	1
78	не может быть	3	1
79	но с другой	1	1
80	отнюдь не является	1	1
81	в первом случае	1	1
82	само по себе	1	1
83	о чем свидетельствует	1	1
84	и в слове	1	1
85	каждом из этих	1	1
86	состоит не в	1	1
87	речь идет о	2	1
88	было бы ошибочно	1	1
89	друг от друга	1	1
90	тем более что	1	1
91	заключается в том	2	1
92	тех случаях когда	2	1
93	в большинстве случаев	1	1
94	было бы сказать	1	1
95	в каждом из	2	1
96	не что иное	1	1
97	то что они	1	1
98	дело не в	1	1
99	что и в	1	1
100	обратить внимание на	2	1
101	но еще и	1	1
