N	2gram	Tiupa_Teor_1	DiskursI
1	в качестве	24	34
2	не только	16	28
3	в том	16	23
4	а не	9	22
5	то есть	12	20
6	тогда как	15	19
7	том что	9	19
8	представляет собой	9	17
9	может быть	17	17
10	как и	4	16
11	и в	18	16
12	в этом	8	15
13	еще не	4	14
14	коммуникативного события	1	14
15	но и	9	14
16	при этом	12	13
17	и т.п	4	12
18	по своей	3	11
19	но не	9	11
20	прежде всего	2	11
21	и не	13	11
22	как в	5	10
23	далеко не	2	10
24	с другой	7	10
25	по отношению	4	9
26	в нем	4	9
27	не может	4	9
28	состоит в	17	9
29	с одной	2	9
30	одной стороны	2	9
31	в частности	16	9
32	отношению к	4	9
33	отнюдь не	3	8
34	но в	9	8
35	своего рода	7	8
36	о том	1	8
37	так и	10	8
38	а также	6	8
39	не было	1	7
40	в себе	9	7
41	то же	7	7
42	не в	7	7
43	в основе	3	7
44	роль в	2	7
45	со стороны	2	7
46	в его	6	7
47	только в	6	7
48	высказывания в	3	6
49	в своем	4	6
50	литературные жанры	1	6
51	и как	2	6
52	ни к	3	6
53	в составе	1	5
54	и на	1	5
55	во всех	1	5
56	отличие от	6	5
57	в рамках	7	5
58	в силу	1	5
59	в их	2	5
60	в отличие	6	5
61	в себя	3	5
62	сводится к	5	5
63	или иной	4	5
64	можно сказать	3	5
65	а с	3	5
66	в данном	8	5
67	как бы	5	5
68	к тому	2	5
69	а в	13	5
70	то что	3	5
71	в своей	6	5
72	и о	4	4
73	с его	5	4
74	в сторону	1	4
75	отношение к	5	4
76	и к	3	4
77	уже не	4	4
78	в целом	3	4
79	на его	1	4
80	лишь в	6	4
81	в них	2	4
82	потому что	3	4
83	могут быть	4	4
84	для себя	1	4
85	по сути	2	4
86	и т.д	3	4
87	же время	5	4
88	между тем	5	4
89	во втором	3	4
90	как правило	4	4
91	одной из	2	4
92	что он	1	4
93	жанровая форма	1	4
94	для него	2	4
95	в особенности	1	4
96	не обязательно	1	4
97	что не	1	4
98	связи с	1	4
99	такого рода	8	4
100	не является	4	4
101	не предполагает	1	4
102	что в	9	4
103	также и	1	3
104	того же	3	3
105	и потому	2	3
106	значении этого	3	3
107	в первом	2	3
108	эстетическая деятельность	6	3
109	в каждой	1	3
110	во мне	2	3
111	столь же	2	3
112	той или	1	3
113	в одной	1	3
114	перед нами	2	3
115	в самом	4	3
116	из жизни	1	3
117	всех литературных	1	3
118	вследствие этого	1	3
119	заключается в	2	3
120	это не	2	3
121	по мысли	1	3
122	ведет к	1	3
123	и того	3	3
124	точки зрения	9	3
125	в ходе	4	3
126	в своих	1	3
127	однако в	7	3
128	бы быть	1	3
129	по себе	1	3
130	в то	6	3
131	он мог	1	3
132	таким образом	3	3
133	свою очередь	2	3
134	в ее	5	3
135	в произведении	3	3
136	времени и	2	3
137	не с	3	3
138	и даже	2	3
139	по слову	1	3
140	имея в	1	3
141	что и	2	3
142	не сводится	4	3
143	являет собой	2	3
144	различного рода	1	3
145	из них	1	3
146	к ним	1	3
147	тем что	1	3
148	именно в	3	3
149	очевидным образом	1	3
150	при всей	1	3
151	имеет место	2	3
152	и составляет	3	3
153	понятие о	2	3
154	мира в	1	3
155	целого высказывания	1	3
156	в акте	2	3
157	по своему	2	3
158	для обозначения	1	3
159	тому как	1	3
160	того что	4	3
161	один из	2	3
162	литературного произведения	7	3
163	эстетической деятельности	1	3
164	как уже	1	3
165	в свою	3	3
166	на смену	4	3
167	сказать что	3	3
168	другой стороны	5	3
169	в действительности	1	3
170	отношения к	2	2
171	одним из	2	2
172	например в	1	2
173	к другому	1	2
174	в году	1	2
175	мы имеем	7	2
176	первом значении	1	2
177	в сущности	1	2
178	совпадает с	3	2
179	на себя	2	2
180	этого термина	1	2
181	в виду	5	2
182	между собой	3	2
183	служит для	1	2
184	но как	1	2
185	высказывания с	1	2
186	за пределы	2	2
187	себя в	6	2
188	писателя в	1	2
189	как к	2	2
190	с некоторыми	1	2
191	хотя и	3	2
192	сознания в	1	2
193	целый ряд	1	2
194	однако на	1	2
195	адресата в	1	2
196	более или	2	2
197	в противоположность	2	2
198	текста не	1	2
199	в этой	3	2
200	высказывания не	1	2
201	всей его	1	2
202	к искусству	1	2
203	не следует	4	2
204	он ни	1	2
205	что представляет	1	2
206	в принципе	4	2
207	силу своей	1	2
208	подобно тому	1	2
209	и по	2	2
210	на этом	1	2
211	в каждом	1	2
212	могла бы	2	2
213	различие между	1	2
214	с позиций	1	2
215	об этом	2	2
216	для становления	1	2
217	того или	3	2
218	прибавить ни	1	2
219	и тем	3	2
220	на сцене	1	2
221	к области	2	2
222	соответствии с	2	2
223	с человеком	1	2
224	иначе говоря	4	2
225	одного и	3	2
