N	2gram	Propp_Isto_4	Poddanst
1	не только	15	17
2	и в	26	14
3	и не	9	12
4	в области	2	11
5	в этом	7	10
6	в качестве	7	9
7	но в	5	9
8	то же	8	9
9	в том	3	9
10	в пределах	1	8
11	хотя бы	2	8
12	только в	3	7
13	в то	1	7
14	в ней	1	6
15	было бы	2	6
16	но и	12	6
17	в которых	4	5
18	с другой	4	5
19	может быть	14	5
20	и пр	11	5
21	а я	1	5
22	не в	5	5
23	если бы	2	4
24	а также	3	4
25	в своем	2	4
26	и к	1	4
27	как бы	3	4
28	и если	3	4
29	том что	3	4
30	не может	6	4
31	в котором	1	4
32	по себе	2	4
33	на пути	1	4
34	в русской	3	4
35	что в	14	4
36	мы должны	5	4
37	же в	3	4
38	а в	8	4
39	то что	16	4
40	и т	27	3
41	мы не	1	3
42	это не	5	3
43	хотя и	2	3
44	и как	5	3
45	тот же	1	3
46	с ними	5	3
47	северной америке	1	3
48	в себе	2	3
49	в нем	2	3
50	прежде всего	1	3
51	с тем	2	3
52	что мы	3	3
53	но не	5	3
54	наряду с	3	3
55	могут быть	6	3
56	т е	18	3
57	тем самым	1	3
58	потому что	6	3
59	точки зрения	1	3
60	и это	1	2
61	например в	3	2
62	переход от	1	2
63	и есть	2	2
64	есть не	1	2
65	по сравнению	3	2
66	является в	1	2
67	есть нечто	1	2
68	только это	2	2
69	сомнения что	2	2
70	во всех	1	2
71	если в	1	2
72	со стороны	1	2
73	в русском	1	2
74	с этим	2	2
75	того что	2	2
76	духа и	1	2
77	к чему	1	2
78	и и	3	2
79	думать что	1	2
80	есть в	2	2
81	в начале	1	2
82	главным образом	2	2
83	и других	3	2
84	в его	5	2
85	из них	2	2
86	в виде	2	2
87	не к	2	2
88	в силу	5	2
89	и вот	2	2
90	как раз	1	2
91	и с	5	2
92	именно в	1	2
93	и мы	1	2
94	и тем	2	2
95	в них	1	2
96	не было	1	2
97	а не	6	2
98	в европе	1	2
99	образом на	1	2
100	не будем	1	2
101	друг другу	1	2
102	не менее	2	2
103	все это	2	2
104	между прочим	2	2
105	одна из	2	2
106	современной европейской	1	2
107	сколько бы	1	2
108	еще более	1	2
109	тем более	1	2
110	для нас	3	2
111	исключительно в	1	2
112	в частности	2	2
113	так называемые	1	2
114	как на	1	2
115	в северной	2	2
116	том числе	1	2
117	глубоко в	1	1
118	в русских	2	1
119	же как	13	1
120	связана с	2	1
121	и то	6	1
122	на основе	1	1
123	в иных	1	1
124	и этим	2	1
125	к жизни	1	1
126	выражается в	1	1
127	должна быть	2	1
128	был и	1	1
129	чтобы дать	1	1
130	на нее	1	1
131	на заре	1	1
132	за то	1	1
133	те же	3	1
134	особенно в	1	1
135	в борьбе	1	1
136	при существовании	2	1
137	к первому	1	1
138	что дело	1	1
139	в эпоху	1	1
140	для этого	1	1
141	не вполне	1	1
142	на себя	4	1
143	с ее	1	1
144	в некотором	2	1
145	мы и	1	1
146	и здесь	5	1
147	характер этого	1	1
148	пр есть	1	1
