N	2gram	Tiupa_Vved_1	StatiiOP
1	и в	13	25
2	в этом	21	24
3	в том	10	20
4	что в	3	19
5	тем что	2	19
6	может быть	18	19
7	что он	1	19
8	что это	1	16
9	том что	7	15
10	в этой	1	14
11	пушкина как	1	13
12	в его	4	12
13	то что	6	12
14	не только	20	12
15	так что	1	11
16	в этих	3	11
17	прежде всего	7	10
18	таким образом	4	10
19	и не	12	10
20	но и	19	9
21	у него	1	9
22	все это	1	8
23	в своих	2	8
24	о том	5	8
25	не может	7	7
26	точки зрения	1	7
27	в то	4	7
28	что касается	5	7
29	что такое	18	7
30	это не	6	7
31	было бы	4	7
32	место в	2	6
33	как бы	4	6
34	не в	6	6
35	а в	6	6
36	между тем	1	6
37	в конце	1	6
38	как в	4	6
39	из этих	3	6
40	и на	3	6
41	только в	6	6
42	в области	3	6
43	так и	8	5
44	на то	1	5
45	об этом	4	5
46	ответ на	1	5
47	он говорил	1	5
48	того что	6	5
49	потому что	5	5
50	то же	5	5
51	связано с	3	5
52	такого рода	16	5
53	мы имеем	5	5
54	в них	2	5
55	другой стороны	2	5
56	в котором	8	5
57	он не	3	5
58	с другой	5	5
59	но в	6	5
60	а не	15	5
61	можно назвать	1	4
62	на его	1	4
63	все же	6	4
64	во всяком	1	4
65	как и	11	4
66	можно сказать	4	4
67	и для	3	4
68	в жизни	4	4
69	связь с	1	4
70	к нему	1	4
71	действующих лиц	2	4
72	в центре	2	4
73	и с	2	4
74	в ней	4	4
75	то в	1	4
76	у нас	1	4
77	не было	2	4
78	этом смысле	1	4
79	в течение	1	4
80	отношение к	2	4
81	например в	2	4
82	в начале	3	4
83	из которых	1	4
84	и к	2	4
85	а как	1	4
86	из этого	1	4
87	в целом	3	4
88	лишь в	2	4
89	в своей	5	4
90	сказать что	1	4
91	относится к	1	4
92	всяком случае	1	4
93	если бы	7	4
94	в особенности	1	4
95	и др	1	4
96	и тем	2	4
97	по крайней	1	4
98	а также	8	4
99	этом отношении	4	4
100	мы видим	1	4
101	с тем	1	4
102	в качестве	8	4
