N	2gram	Medvedev_U_1	KFilosof
1	может быть	6	43
2	в его	2	39
3	в нем	1	31
4	не может	7	27
5	и не	8	26
6	и в	14	22
7	в себе	2	21
8	в котором	1	21
9	не есть	2	19
10	а не	10	17
11	только в	2	16
12	в этом	7	13
13	и это	1	12
14	но не	2	12
15	для него	3	12
16	в своей	3	11
17	не в	2	11
18	в своем	1	10
19	это не	3	10
20	все это	5	10
21	в их	4	9
22	но и	4	9
23	и для	2	9
24	и все	1	9
25	было бы	3	8
26	если бы	2	8
27	не было	1	8
28	то что	7	7
29	что и	2	7
30	конечно не	4	7
31	отнюдь не	1	6
32	он не	1	6
33	не значит	1	6
34	и только	5	6
35	и действительно	1	6
36	уже не	1	6
37	но это	2	6
38	поступка в	1	6
39	в том	2	6
40	мы имеем	1	5
41	все же	3	5
42	но в	3	5
43	не только	10	5
44	то же	5	5
45	как и	3	5
46	должно быть	1	5
47	никогда не	1	5
48	для себя	1	5
49	и содержание	1	5
50	его как	1	5
51	хотя бы	5	5
52	быть в	1	4
53	не как	3	4
54	входит в	1	4
55	о нем	1	4
56	и т.д	3	4
57	между тем	2	4
58	ни было	3	4
59	том что	2	4
60	только как	1	4
61	что в	1	4
62	самом деле	2	3
63	должна быть	2	3
64	мы не	2	3
65	в ней	1	3
66	во мне	1	3
67	но конечно	2	3
68	нет и	1	3
69	независимо от	1	3
70	бы и	2	3
71	теории и	1	3
72	всех этих	2	3
73	этом смысле	2	3
74	что этот	1	3
75	тогда когда	1	3
76	ничего не	2	3
77	и делает	1	3
78	могут быть	2	3
79	отсюда и	1	3
80	в виду	1	3
81	о том	1	3
82	того что	1	3
83	тем что	2	3
84	до конца	1	3
85	поскольку он	1	3
86	в то	3	3
87	на своем	1	3
88	и то	3	2
89	он может	1	2
90	а как	2	2
91	дан в	1	2
92	а для	1	2
93	с его	2	2
94	в данном	1	2
95	к которой	1	2
96	в этой	4	2
97	имеем в	1	2
98	в виде	1	2
99	так и	1	2
100	то ни	3	2
101	с тем	1	2
102	место и	1	2
103	по себе	2	2
104	в процессе	1	2
105	же время	3	2
106	в области	3	2
107	отказаться от	1	2
108	пройти мимо	1	2
109	сводится к	2	2
110	бы то	3	2
111	единства и	1	2
112	которой все	1	2
113	научного мышления	1	2
114	что только	1	2
115	тот же	1	2
116	что он	2	2
117	и отчетливо	1	2
118	значимость и	1	2
119	в качестве	1	2
120	а это	1	2
121	его и	2	2
122	содержания и	1	2
123	содержание и	1	2
124	не о	3	2
125	для этого	3	2
126	было и	1	2
127	прежде всего	8	2
128	своем месте	1	2
129	он и	1	2
130	если не	2	2
131	и потому	1	2
132	его на	1	2
133	быть не	1	2
134	но для	1	2
135	это уже	2	2
136	они находятся	1	2
137	и эта	1	2
138	к этому	1	2
139	единицы и	1	1
140	человека и	1	1
141	и через	2	1
142	по методу	1	1
143	и историческая	1	1
144	и индивидуального	1	1
145	той же	1	1
146	их и	2	1
147	смысле можно	1	1
148	не делает	1	1
149	содержания в	1	1
150	именно к	1	1
151	вся система	1	1
152	бы ни	1	1
153	выхода в	1	1
154	в различных	1	1
155	конечно это	1	1
156	как таковая	1	1
157	не случайной	1	1
158	определяется не	1	1
159	более чем	2	1
160	относятся к	1	1
161	и методических	1	1
162	в этот	1	1
163	в самом	2	1
164	в которой	1	1
165	в известном	1	1
166	как основной	1	1
167	бы только	1	1
168	теоретические и	1	1
169	ее как	1	1
170	на то	1	1
171	этот процесс	1	1
172	на его	1	1
173	что она	2	1
174	не следует	3	1
175	перестает быть	5	1
176	весь и	1	1
177	но прежде	1	1
178	в понятии	1	1
179	нем но	1	1
180	быть обоснованы	1	1
181	их в	1	1
182	правда может	1	1
183	же не	2	1
184	но понятие	1	1
185	об этом	1	1
186	связанных с	1	1
187	и с	2	1
188	отвлеченное от	1	1
189	то есть	1	1
190	это было	2	1
191	форму и	2	1
192	это много	1	1
193	и теоретической	1	1
194	этого не	1	1
195	в не	1	1
196	художественного творчества	5	1
197	она в	1	1
198	все и	1	1
199	признать что	1	1
200	является только	1	1
201	философское мышление	1	1
202	но он	1	1
203	принципов и	1	1
204	она не	1	1
205	что ему	1	1
206	смысле и	1	1
207	этого конечно	1	1
208	он пытается	1	1
209	находятся в	1	1
210	закон и	1	1
211	впрочем в	1	1
212	представляется нам	2	1
213	исходить из	1	1
214	она эта	1	1
215	не принцип	1	1
216	всего что	1	1
217	это содержание	1	1
218	правда не	1	1
219	как таковым	1	1
220	что все	2	1
221	приводит к	1	1
222	не предмет	1	1
223	архитектоники в	1	1
224	и всякого	1	1
225	и даже	1	1
226	содержания на	1	1
227	можно сказать	1	1
228	в значительной	1	1
229	в конечном	4	1
230	все в	1	1
231	переходит в	1	1
232	какого-нибудь произведения	1	1
233	которой и	1	1
234	и так	1	1
235	и разнообразие	1	1
236	только при	1	1
237	построения и	1	1
238	конечном счете	4	1
239	только к	3	1
240	одно из	1	1
241	ценность в	1	1
242	не для	1	1
243	смысле этого	2	1
244	может служить	1	1
245	мы можем	1	1
246	само по	1	1
247	как раз	2	1
248	содержательны и	1	1
249	именно как	2	1
250	никогда и	1	1
251	или просто	1	1
252	и др	1	1
253	противном случае	2	1
254	превращается в	2	1
255	он становится	1	1
256	что мы	2	1
257	его эстетической	1	1
258	стороны в	1	1
259	не исключительно	1	1
260	но такое	1	1
261	из которых	1	1
262	где же	1	1
263	он будет	1	1
264	его теоретической	1	1
265	и всей	1	1
266	это значит	1	1
267	к следующему	1	1
268	только для	1	1
269	как таковой	2	1
270	же самое	2	1
271	в противном	2	1
272	остается в	1	1
273	вне его	1	1
274	она должна	1	1
275	и единого	1	1
276	при таком	2	1
277	не существует	1	1
278	все они	2	1
279	же в	1	1
280	приходится признать	2	1
281	месте в	1	1
282	равно как	1	1
283	религии и	1	1
284	философии это	1	1
285	науки они	1	1
286	самое что	1	1
287	ее в	1	1
288	в искусстве	6	1
289	это в	1	1
290	все что	1	1
