N	3gram	Vygotskiy__5	Poddanst
1	не только в	2	4
2	в том что	14	4
3	с точки зрения	2	3
4	сами по себе	2	3
5	с одной стороны	12	3
6	одной стороны и	1	2
7	заключает в себе	4	2
8	в значительной мере	1	2
9	в полной мере	1	2
10	имеет не только	1	2
11	заключается в том	6	2
12	не только это	1	2
13	сводится к следующему	1	1
14	том что в	1	1
15	в том виде	1	1
16	мы видим в	2	1
17	что в этом	6	1
18	о котором говорит	2	1
19	чуть ли не	1	1
20	более или менее	1	1
21	каждый в отдельности	1	1
22	в этом смысле	1	1
23	и в этом	1	1
24	что с точки	1	1
25	в отличие от	2	1
26	и именно в	1	1
27	в собственном смысле	1	1
28	совершенно ясно что	5	1
29	тех пор пока	2	1
30	мы можем представить	1	1
31	вместе с тем	3	1
32	и то что	3	1
33	и в частности	1	1
34	в применении к	1	1
35	так же как	2	1
36	если бы мы	2	1
37	можем представить себе	1	1
38	мы все же	3	1
39	как возможность не	1	1
40	по сравнению с	4	1
41	думается что в	1	1
42	с другой стороны	5	1
43	не может быть	2	1
44	и есть с	1	1
45	до тех пор	2	1
46	само по себе	2	1
47	и тем более	1	1
48	именно потому что	2	1
49	мы знаем что	2	1
50	в частности в	1	1
51	друг с другом	3	1
52	во многих случаях	1	1
53	для того чтобы	19	1
54	и т д	3	1
