1	в то же	3	5
2	то же время	3	5
3	так и в	3	3
4	между этими двумя	1	2
5	и как бы	3	2
6	но все же	1	2
7	в том что	13	2
8	точно так же	1	2
9	о том что	1	2
10	потому что сам	2	1
11	к тому что	2	1
12	это должно быть	1	1
13	на деле же	1	1
14	с самого начала	3	1
15	что в таком	2	1
16	после того как	1	1
17	смысле этого слова	1	1
18	не имеет своих	1	1
19	не могут быть	2	1
20	не только к	1	1
21	в применении к	2	1
22	и т п	2	1
23	но при этом	1	1
24	в связи с	1	1
25	может быть понят	1	1
26	и в этом	6	1
27	друг друга и	1	1
28	а между тем	3	1
29	в одном из	1	1
30	сам по себе	1	1
31	во всяком случае	1	1
32	на все усилия	1	1
33	не может быть	9	1
34	несмотря на все	1	1
35	и даже отчасти	1	1
36	таком виде что	1	1
37	тем не менее	6	1
38	может быть не	1	1
39	в таком виде	2	1
40	с тем и	1	1
41	как и в	2	1
42	в голову что	1	1
43	и все же	1	1
44	сменяющие друг друга	1	1
45	и при этом	2	1
46	не только не	2	1
47	и в истории	1	1
48	что при таком	2	1
