N	2gram	Bakhtin_Pr_1	Sotsiolo
1	все это	7	7
2	в том	11	5
3	в этом	25	5
4	и только	1	3
5	как же	3	3
6	для нас	3	3
7	не только	13	3
8	и в	23	3
9	но ведь	1	3
10	не в	6	3
11	в его	24	3
12	за пределы	6	2
13	как только	1	2
14	но и	11	2
15	конце концов	4	2
16	было бы	6	2
17	к которому	1	2
18	в смысле	2	2
19	она может	1	2
20	должна быть	2	2
21	только в	8	2
22	по природе	1	2
23	далеко не	1	2
24	в результате	4	2
25	тем более	1	2
26	том что	9	2
27	в частности	1	2
28	как будто	3	2
29	то что	18	2
30	или даже	2	2
31	и что	1	2
32	еще не	5	2
33	только как	1	2
34	ведь это	2	2
35	таким образом	11	2
36	это и	9	2
37	отношению к	11	2
38	в конце	5	2
39	что в	8	2
40	может быть	21	2
41	как бы	28	2
42	по отношению	11	2
43	и заключается	1	2
44	по существу	4	2
45	то же	10	2
46	не из	2	1
47	крайней мере	2	1
48	в свои	1	1
49	тотчас же	1	1
50	что все	3	1
51	же не	1	1
52	противном случае	1	1
53	наконец в	2	1
54	по себе	7	1
55	даже в	2	1
56	в мире	7	1
57	коренная ошибка	1	1
58	в этой	4	1
59	тому что	2	1
60	выходит за	2	1
61	даже не	1	1
62	с другой	2	1
63	ни одно	1	1
64	его в	4	1
65	с ним	6	1
66	лучшем случае	2	1
67	это не	10	1
68	новые и	1	1
69	на этот	2	1
70	именно в	6	1
71	в чем	1	1
72	они ни	1	1
73	построение не	1	1
74	же по	2	1
75	все же	5	1
76	в противном	1	1
77	один из	2	1
78	и есть	5	1
79	перед нами	4	1
80	в то	10	1
81	мысли в	2	1
82	тем же	1	1
83	и наконец	5	1
84	только то	3	1
85	а с	1	1
86	тем что	3	1
87	и как	8	1
88	в процессе	4	1
89	на ней	1	1
90	что он	10	1
91	прежде всего	7	1
92	бы он	1	1
93	слова но	2	1
94	в них	3	1
95	так и	10	1
96	не было	3	1
97	те же	1	1
98	но только	1	1
99	и не	34	1
100	на тех	1	1
101	никогда не	5	1
102	наше время	1	1
103	он по	1	1
104	мы не	2	1
105	же время	7	1
106	ничего не	6	1
107	между собою	1	1
108	и о	3	1
109	все эти	8	1
110	все построение	1	1
111	именно на	2	1
112	как и	8	1
113	бы в	3	1
114	для этого	1	1
115	писателя не	1	1
116	этом не	1	1
117	стр и	1	1
118	мы должны	2	1
119	первый план	1	1
120	остается в	2	1
121	их на	1	1
122	в сущности	5	1
123	вот в	1	1
124	конечно не	1	1
125	на первый	1	1
126	и его	13	1
127	в этих	2	1
128	место в	1	1
129	автор не	1	1
130	в лучшем	2	1
131	хотя бы	2	1
132	вступает в	1	1
133	в целом	4	1
134	не может	11	1
135	в своей	11	1
136	своих мыслей	1	1
137	не от	1	1
138	а в	7	1
139	тех кто	1	1
140	как совокупность	1	1
141	и куда	1	1
142	благодаря этому	2	1
143	него и	1	1
144	что она	2	1
145	о том	2	1
146	не дает	3	1
147	именно и	2	1
148	в области	3	1
149	и потому	3	1
150	же это	1	1
151	он ни	1	1
152	но именно	4	1
153	мы думаем	1	1
154	в котором	2	1
155	никак не	2	1
156	между ними	2	1
157	и благодаря	2	1
158	точке зрения	2	1
159	из тех	2	1
160	исторической поэтики	1	1
161	положения в	1	1
162	представляется нам	2	1
163	все то	4	1
164	поставить и	1	1
165	всяком случае	3	1
166	слишком много	1	1
167	он говорит	2	1
168	ни на	2	1
169	его построения	1	1
170	что это	1	1
171	вовсе не	8	1
172	ни были	1	1
173	стр далее	2	1
174	же самое	1	1
175	что без	1	1
176	может служить	1	1
177	литературе о	3	1
178	но не	8	1
179	у него	6	1
180	в данном	2	1
181	между тем	5	1
182	но как	3	1
183	и по	2	1
184	и разрешить	2	1
185	по крайней	2	1
186	героя который	1	1
187	единство не	1	1
188	и более	1	1
189	том и	1	1
190	во всяком	4	1
191	перейти к	1	1
192	в каждом	8	1
193	они не	3	1
