N	2gram	Ircho_Kome_2	Myshleni
1	и в	26	28
2	в том	11	28
3	то что	6	28
4	в этом	10	27
5	в развитии	2	24
6	потому что	6	22
7	том что	9	19
8	не может	3	19
9	таким образом	6	18
10	что он	5	18
11	только в	4	18
12	в силу	2	17
13	что в	9	17
14	не только	7	16
15	по сравнению	1	15
16	так же	1	15
17	сравнению с	1	14
18	точки зрения	4	13
19	может быть	11	13
20	с помощью	1	13
21	сказать что	1	13
22	тому что	4	11
23	и не	14	11
24	как бы	2	11
25	но не	3	10
26	по отношению	3	10
27	с точки	1	10
28	того чтобы	6	10
29	к тому	12	10
30	как мы	4	10
31	так как	4	10
32	от того	2	10
33	но и	10	10
34	отношению к	3	10
35	было бы	8	9
36	мы можем	3	9
37	между собой	1	9
38	в самом	4	8
39	мы видели	1	8
40	тем самым	1	8
41	никогда не	1	8
42	тем что	3	8
43	для того	5	8
44	еще не	6	8
45	как известно	2	7
46	того же	3	7
47	то же	3	7
48	в сущности	1	7
49	отношение к	2	7
50	в своем	6	7
51	в которой	5	7
52	с самого	2	7
53	он не	2	7
54	в нем	6	7
55	самого начала	1	7
56	можно было	4	7
57	если бы	9	7
58	мы видим	1	7
59	там где	1	7
60	вместе с	9	7
61	между ними	1	7
62	мы не	2	6
63	в чем	1	6
64	и как	1	6
65	и к	2	6
66	как и	4	6
67	для него	1	6
68	не имеет	3	6
69	то время	3	6
70	приводит к	1	6
71	так и	12	6
72	и что	2	6
73	его в	4	6
74	так что	5	6
75	как раз	1	6
76	в области	1	6
77	в то	6	6
78	том же	1	5
79	вопрос о	3	5
80	время как	2	5
81	из того	1	5
82	и на	7	5
83	но в	3	5
84	в этой	3	5
85	с тем	5	5
86	не могли	1	5
87	того как	3	5
88	в разных	1	5
89	с другом	2	5
90	в пределах	1	5
91	это не	2	5
92	содержится в	1	5
93	друг с	2	5
94	и все	2	5
95	речи и	1	5
96	например в	3	4
97	в первом	2	4
98	отношения между	1	4
99	той же	3	4
100	мы имеем	2	4
101	в каждой	1	4
102	во всех	3	4
103	в одной	2	4
104	в той	2	4
105	с этим	5	4
106	целый ряд	2	4
107	самом начале	2	4
108	в себе	1	4
109	в нашем	2	4
110	свою силу	1	4
111	на этом	2	4
112	не умеет	1	4
113	но если	3	4
114	не в	2	4
115	в сознании	1	4
116	что на	3	4
117	на основе	1	4
118	ясно что	8	4
119	что и	7	4
120	именно в	1	4
121	в качестве	5	4
122	мы знаем	3	4
123	которые в	2	4
124	в состоянии	1	4
125	друг друга	3	4
126	на этот	4	4
127	и следовательно	1	4
128	в частности	4	4
129	отношения к	1	3
130	за собой	2	3
131	с его	5	3
132	из этих	4	3
133	значение для	1	3
134	независимо от	5	3
135	как в	3	3
136	хотя и	4	3
137	от этого	2	3
138	представляет собой	1	3
139	удалось установить	1	3
140	остановиться на	1	3
141	на его	1	3
142	в каждом	3	3
143	а по	1	3
144	первую очередь	3	3
145	в них	4	3
146	в их	3	3
147	по себе	1	3
148	является как	1	3
