N	2gram	Bakhtin_Fr_2	ViktorSh
1	в книге	3	3
2	конце концов	1	2
3	и в	49	2
4	том что	4	2
5	в том	3	2
6	в конце	2	2
7	в устах	2	1
8	и почти	1	1
9	под влиянием	2	1
10	новой комбинации	1	1
11	в другом	2	1
12	хотя бы	1	1
13	и не	15	1
14	и его	17	1
15	потому что	1	1
16	я не	1	1
17	году о	1	1
18	и то	1	1
19	же с	2	1
20	самом деле	1	1
21	другом месте	2	1
22	и т.д	2	1
23	к созданию	1	1
24	все это	9	1
25	по поводу	2	1
26	именно в	6	1
27	главным образом	1	1
28	по своим	1	1
29	в их	2	1
30	как же	1	1
31	то чего	1	1
32	дело в	1	1
33	в частности	1	1
34	так в	3	1
35	время в	1	1
36	говоря о	1	1
37	в значительной	3	1
38	в самом	3	1
39	для них	2	1
40	только в	13	1
41	то же	7	1
42	ясно что	1	1
43	так как	6	1
44	далеко не	3	1
45	что слово	2	1
46	к чему	1	1
47	не будем	1	1
48	но это	2	1
49	в этом	15	1
50	да и	3	1
51	по существу	2	1
52	то я	1	1
53	к этому	1	1
54	значительной степени	2	1
55	без учета	1	1
56	том же	1	1
57	связанным с	1	1
