N	2gram	Medvedev_S_1	Analitik
1	может быть	2	29
2	в том	5	27
3	не может	1	22
4	и не	1	21
5	в частности	2	19
6	и в	3	18
7	но и	2	17
8	не только	3	15
9	отнюдь не	1	15
10	не в	3	14
11	как и	1	13
12	в этом	5	13
13	в его	3	13
14	том что	2	12
15	но не	1	10
16	а в	1	9
17	иначе говоря	1	9
18	то же	2	9
19	в то	1	9
20	в мире	1	8
21	же время	1	6
22	прежде всего	1	6
23	я и	1	6
24	в своей	1	6
25	это не	1	6
26	в сущности	1	6
27	только в	2	6
28	то что	2	6
29	далеко не	2	6
30	по отношению	2	6
31	отношению к	2	5
32	в этой	1	5
33	что в	2	5
34	между тем	1	5
35	и его	1	5
36	в целом	1	5
37	о том	1	5
38	как бы	2	5
39	и как	1	5
40	в конечном	1	4
41	все же	1	4
42	так и	1	4
43	с ним	1	4
44	по себе	1	4
45	истории литературы	10	4
46	более чем	3	4
47	конечном счете	1	4
48	столь же	1	4
49	именно в	1	4
50	с другой	1	4
51	в области	1	4
52	и более	1	4
53	о литературе	3	3
54	по природе	2	3
55	место в	1	3
56	одной стороны	1	3
57	таким образом	2	3
58	даже в	1	3
59	вступает в	1	3
60	хотя бы	1	3
61	объекта и	1	3
62	еще не	2	3
63	быть не	1	3
64	дело не	2	3
65	в силу	1	3
66	и есть	1	3
67	в котором	1	3
68	с одной	1	3
69	что он	1	3
70	как будто	2	3
71	а с	1	3
72	она может	2	3
73	все эти	1	2
74	или не	1	2
75	может служить	1	2
76	это как	1	2
77	вовсе не	1	2
78	науки о	1	2
79	исторической поэтики	1	2
80	между собой	1	2
81	было бы	2	2
82	том и	1	2
83	никогда не	1	2
84	на все	1	2
85	ни одно	1	2
86	собой не	1	2
87	и о	1	2
88	один из	1	2
89	в литературоведении	2	2
90	и потому	1	2
91	литературы как	1	2
92	для этого	1	2
93	только для	1	2
94	за пределы	2	2
95	в процессе	1	2
96	тем более	2	2
97	могут оказаться	1	2
98	как совокупность	1	2
99	же самое	1	2
100	и заключается	2	2
101	и по	1	2
102	в данном	1	2
103	может не	1	1
104	в них	1	1
105	в любой	1	1
106	для нас	3	1
107	и только	3	1
108	и наконец	1	1
109	характера это	1	1
110	во всяком	1	1
111	в связи	1	1
112	связи с	1	1
113	крайней мере	1	1
114	выходит за	1	1
115	не было	1	1
116	должна быть	2	1
117	данный человек	1	1
118	нашей работы	1	1
119	опирающаяся на	1	1
120	в виде	1	1
121	на тех	1	1
122	что это	1	1
123	наконец в	1	1
124	литературного развития	1	1
125	литературный факт	1	1
126	мы не	1	1
127	это происходит	1	1
128	на отдельные	1	1
129	его в	1	1
130	или даже	2	1
131	литературы и	2	1
132	же не	1	1
133	и должны	1	1
134	на что	1	1
135	произведение как	1	1
136	может она	1	1
137	а тем	1	1
138	между ними	1	1
139	не умея	1	1
140	в него	1	1
141	но как	1	1
142	остается в	1	1
143	в этих	1	1
144	они не	1	1
145	противном случае	1	1
146	отвечает требованиям	1	1
147	из себя	1	1
148	это по	1	1
149	научной мысли	1	1
150	мы должны	1	1
151	в чем	1	1
152	в противном	1	1
153	заключается что	2	1
154	ничего не	1	1
155	том как	1	1
156	всяком случае	1	1
157	автор остается	1	1
158	даже не	1	1
159	на первый	1	1
160	по крайней	1	1
161	у него	1	1
162	к субъекту	1	1
163	тому что	1	1
164	и цельного	1	1
165	только тогда	1	1
166	эти два	1	1
167	не от	1	1
168	историка литературы	2	1
169	и что	2	1
170	в результате	2	1
171	положения в	1	1
172	те же	1	1
173	специфическую природу	1	1
174	на точке	1	1
175	она должна	1	1
176	и должно	1	1
177	представляется нам	1	1
178	между собою	1	1
179	говоря иначе	1	1
180	что все	1	1
181	перед нами	1	1
182	не способен	1	1
183	ни на	1	1
184	образом в	1	1
185	связь между	1	1
