N	3gram	Propp_Russ_1	SlovoVZh
1	по отношению к	1	11
2	можно сказать что	1	5
3	в том что	15	4
4	тем не менее	3	3
5	может быть и	2	3
6	в какой степени	2	2
7	на самом деле	1	2
8	с точки зрения	3	2
9	но тем не	2	2
10	в данном случае	1	2
11	в настоящее время	3	2
12	независимо от него	1	1
13	том что в	6	1
14	но все же	2	1
15	и в этом	1	1
16	приблизимся к пониманию	1	1
17	о том кто	1	1
18	все же не	2	1
19	друг к другу	2	1
20	во всяком случае	1	1
21	в окно и	1	1
22	одна и та	1	1
23	так как в	1	1
24	самом же деле	1	1
25	же как и	1	1
26	в то время	1	1
27	деле это не	1	1
28	в своем значении	1	1
29	что мы имеем	1	1
30	в свою очередь	2	1
31	и та же	1	1
32	на самом же	1	1
33	о том что	4	1
34	ничего общего с	1	1
35	в этом отношении	1	1
36	что не только	1	1
37	можно было бы	1	1
38	подобно тому как	1	1
39	как мы уже	1	1
40	между тем это	1	1
41	в противном случае	1	1
42	или может быть	1	1
43	говорит о том	1	1
44	тем это не	1	1
45	так же как	1	1
46	и в своем	1	1
47	для нас не	1	1
48	как и в	1	1
49	мы увидим что	1	1
50	и так называемый	1	1
