N	3gram	Tiupa_Narr_1	SlovoVZh
1	по отношению к	6	11
2	не может быть	5	7
3	можно сказать что	4	5
4	дело в том	1	4
5	в том что	8	4
6	тем не менее	3	3
7	бы то ни	3	3
8	может быть и	1	3
9	этой точки зрения	2	3
10	до сих пор	1	3
11	и не в	4	3
12	то ни было	3	3
13	это не так	1	2
14	на самом деле	1	2
15	с другой стороны	4	2
16	то же самое	1	2
17	с точки зрения	2	2
18	до известной степени	1	2
19	в данном случае	4	2
20	не довлеет себе	1	2
21	с одной стороны	7	2
22	тех или иных	1	1
23	том что в	1	1
24	но все же	4	1
25	один и тот	1	1
26	отношению к которому	2	1
27	следует отметить что	1	1
28	или хотя бы	1	1
29	имеем дело с	1	1
30	точки зрения как	1	1
31	все же не	4	1
32	мы имеем дело	2	1
33	какой бы то	1	1
34	более или менее	2	1
35	какая бы то	1	1
36	в самом деле	1	1
37	в этом смысле	1	1
38	по себе не	1	1
39	же как и	1	1
40	но уже в	1	1
41	и должна быть	1	1
42	сам по себе	1	1
43	сами по себе	2	1
44	как это бывает	1	1
45	в свою очередь	3	1
46	о том что	6	1
47	только то что	1	1
48	в этом отношении	3	1
49	что не только	1	1
50	по аналогии с	1	1
51	никогда не бывает	1	1
52	в конечном счете	2	1
53	и прежде всего	1	1
54	можно было бы	2	1
55	не сливаются в	1	1
56	то же время	3	1
57	подобно тому как	2	1
58	как мы уже	1	1
59	в русской литературе	1	1
60	он еще не	1	1
61	включает в себя	1	1
62	но в своем	1	1
63	точки зрения не	1	1
64	в основе своей	4	1
65	или может быть	1	1
66	он думает и	1	1
67	может быть только	1	1
68	по крайней мере	1	1
69	в то же	3	1
70	в значительной степени	2	1
71	на передний план	1	1
72	к нему в	1	1
73	в неразрывное единство	1	1
74	так же как	2	1
75	как и в	1	1
76	далеко не всегда	1	1
77	и с героем	1	1
78	к тому же	4	1
79	в том же	1	1
80	и тот же	1	1
