N	2gram	Medvedev_I_1	Vladivir
1	и в	1	30
2	в этом	2	20
3	и не	2	18
4	и с	3	14
5	что в	2	12
6	а в	1	11
7	а также	1	10
8	для него	1	9
9	никогда не	1	7
10	жизни и	1	6
11	все эти	1	5
12	того же	1	5
13	так и	1	5
14	того что	1	5
15	все это	1	5
16	после смерти	1	4
17	с а	1	4
18	в целом	1	4
19	и о	1	4
20	это было	1	4
21	по поводу	1	4
22	он не	2	4
23	я не	1	4
24	вплоть до	1	3
25	в них	1	3
26	по существу	1	3
27	же это	1	2
28	на котором	1	2
29	нисколько не	1	2
30	и очень	1	2
31	что для	1	2
32	и сам	1	2
33	того чтобы	1	2
34	для того	1	2
35	ничего не	2	2
36	последний не	1	2
37	бы его	1	2
38	себя в	1	2
39	о жизни	1	1
40	первую очередь	1	1
41	говорить о	1	1
42	в первую	1	1
43	бы что	2	1
44	за границей	1	1
45	оба они	2	1
46	а для	1	1
47	и без	1	1
48	то и	1	1
49	со всеми	1	1
50	но когда	1	1
51	хотя его	1	1
52	было не	1	1
53	не так	1	1
54	более чем	1	1
55	пушкина и	1	1
56	тех же	1	1
57	следовательно в	1	1
58	слишком много	1	1
59	неудивительно что	1	1
60	них не	1	1
61	и еще	1	1
62	тем что	1	1
63	и и	1	1
64	если бы	1	1
65	не слишком	1	1
66	и др	1	1
67	и та	1	1
68	а по	1	1
69	нам в	1	1
70	во многом	1	1
71	его личности	1	1
72	что роман	1	1
73	от нее	1	1
74	есть только	1	1
75	то она	1	1
76	нее и	1	1
77	как о	1	1
78	и творчества	1	1
