N	2gram	Propp_Isto_4	Dialekti
1	не есть	2	40
2	и не	9	30
3	по себе	2	25
4	т е	18	25
5	и т	27	21
6	т д	24	19
7	и в	26	18
8	точки зрения	1	17
9	ничего не	5	17
10	может быть	14	17
11	и есть	2	16
12	в нем	2	16
13	ни в	2	15
14	не имеет	3	15
15	так что	2	15
16	потому что	6	14
17	а не	6	14
18	не только	15	13
19	и даже	4	13
20	то что	16	13
21	что в	14	13
22	в этом	7	12
23	было бы	2	12
24	если бы	2	12
25	и что	5	12
26	не может	6	12
27	в мифе	2	12
28	что это	2	11
29	в себе	2	11
30	что он	10	11
31	так как	9	11
32	как бы	3	11
33	все это	2	11
34	то же	8	10
35	есть нечто	1	10
36	прежде всего	1	10
37	сказать что	2	10
38	и то	6	9
39	так и	10	9
40	это не	5	9
41	том что	3	9
42	никогда не	2	9
43	в том	3	9
44	ясно что	1	8
45	но это	3	8
46	к нему	6	8
47	и как	5	7
48	что она	3	7
49	что не	1	7
50	отождествляется с	1	7
51	вовсе не	4	7
52	не просто	4	7
53	но и	12	7
54	хотя бы	2	6
55	в чем	1	6
56	но в	5	6
57	с другой	4	6
58	и вот	2	6
59	не в	5	6
60	она не	3	6
61	в то	1	6
62	с ним	1	6
63	можно сказать	1	6
64	не было	1	6
65	и ни	1	6
66	и он	3	5
67	мифа но	1	5
68	отношение к	2	5
69	общего с	1	5
70	в своем	2	5
71	все же	9	5
72	на то	3	5
73	и с	5	5
74	и мы	1	5
75	а потом	1	5
76	в этих	7	5
77	но если	1	5
78	в виду	1	5
79	есть только	3	5
80	в дальнейшем	6	5
81	как же	1	5
82	мы должны	5	5
83	он сам	1	5
84	в особенности	2	5
85	говорит о	2	5
86	и пр	11	5
87	есть и	2	5
88	или не	1	5
89	а в	8	5
90	это и	5	4
91	почти всегда	1	4
92	то это	5	4
93	как он	6	4
94	одно и	1	4
95	об этом	7	4
96	он есть	1	4
97	как таковой	1	4
98	и более	3	4
99	что эта	3	4
100	это мы	2	4
101	к ней	1	4
102	к тому	1	4
103	ничего общего	1	4
104	как мы	5	4
105	о том	4	4
106	от него	2	4
107	и об	1	4
108	быть и	1	4
109	мы видим	6	4
110	но не	5	4
111	и жизни	1	4
112	в котором	1	4
113	мы можем	6	4
114	не говорит	2	4
115	как раз	1	4
116	как это	3	4
117	хотя и	2	4
118	есть более	1	4
119	так же	18	4
120	другой стороны	4	4
121	должна быть	2	3
122	есть не	1	3
123	и тут	1	3
124	но она	1	3
125	в ней	1	3
126	а только	1	3
127	к богу	1	3
128	если в	1	3
129	или иное	1	3
130	что они	6	3
131	говорит что	2	3
132	конечно не	2	3
133	но эта	4	3
134	та же	1	3
135	он не	7	3
136	которой не	1	3
137	всех этих	1	3
138	содержит в	2	3
139	что ни	3	3
140	но все	5	3
141	в одну	2	3
142	в них	1	3
143	что я	2	3
144	друг другу	1	3
145	красный цвет	1	3
146	даже в	4	3
147	тому что	1	3
148	вплоть до	1	3
149	в основе	1	3
150	или иная	1	3
151	только с	2	3
152	могут быть	6	3
153	его с	2	3
154	указывает на	4	3
155	утверждать что	1	3
156	имеет никакого	1	3
157	стороны не	1	3
158	жизнь и	1	3
159	что и	9	3
160	один из	1	3
161	но с	1	3
162	только в	3	3
163	даже если	1	3
164	очень много	1	3
165	только на	1	3
166	даже и	2	3
167	же это	2	3
168	ничем не	1	3
169	а он	1	3
170	нет еще	1	3
171	в данном	3	3
172	что же	1	3
173	явление и	1	3
174	в его	5	3
175	и все	2	3
176	у них	1	3
177	или нет	1	3
178	бы в	1	3
179	еще более	1	3
180	и смысл	1	3
181	только что	3	3
182	жизни и	1	3
183	думать что	1	3
184	говоря о	1	2
185	же как	13	2
186	он всегда	3	2
187	что если	1	2
188	вопрос о	4	2
189	время как	1	2
190	мы и	1	2
191	говоря не	1	2
192	то мы	2	2
193	из этих	3	2
194	но как	1	2
195	себе и	1	2
196	относится к	3	2
197	что именно	1	2
198	с этим	2	2
199	что как	1	2
200	этой стороны	2	2
201	образом и	1	2
202	все эти	3	2
203	тут и	2	2
204	содержат в	1	2
205	говорят о	1	2
206	дальше и	1	2
207	связанные с	3	2
208	в виде	2	2
209	не как	1	2
210	на земле	3	2
211	на этом	2	2
212	образа и	1	2
213	и может	1	2
214	вещи и	1	2
215	форму и	1	2
216	чаще всего	1	2
217	но уже	1	2
218	мы имеем	7	2
219	с этой	2	2
220	как и	7	2
221	для чего	1	2
222	если иметь	1	2
223	до сих	5	2
224	и тогда	1	2
225	и при	3	2
226	в своей	4	2
227	то он	1	2
228	можно найти	2	2
229	живая и	4	2
230	почти не	1	2
231	во всем	3	2
232	в которых	4	2
233	свой смысл	1	2
234	того кто	1	2
235	можно указать	2	2
236	не знает	1	2
237	не менее	2	2
238	и другое	1	2
239	дело не	2	2
240	к ним	2	2
241	не лучше	1	2
242	очень мало	1	2
243	заметить что	1	2
244	и является	1	2
245	же он	4	2
246	и это	1	2
247	о которых	1	2
248	как не	1	2
249	на нем	5	2
250	другими словами	2	2
251	как с	1	2
252	в другом	5	2
253	мог бы	1	2
254	или на	2	2
255	по сравнению	3	2
256	в эпоху	1	2
257	для этого	1	2
258	по мере	1	2
259	на что	1	2
260	д но	1	2
261	и следовательно	1	2
262	в него	1	2
263	того что	2	2
264	в современной	2	2
265	что здесь	7	2
266	с ними	5	2
267	мы увидим	3	2
268	может оказаться	1	2
269	и так	1	2
270	или его	1	2
271	в качестве	7	2
272	уже не	5	2
273	и у	5	2
274	если мы	1	2
275	то и	1	2
276	только тогда	3	2
277	из них	2	2
278	но есть	2	2
279	и их	2	2
280	почему это	1	2
281	со стороны	1	2
282	как у	1	2
283	именно в	1	2
284	здесь в	1	2
285	с той	2	2
286	а с	1	2
287	только как	1	2
288	о чем	3	2
289	он и	1	2
290	в частности	2	2
291	или по	1	2
292	как в	7	2
293	сравнению с	3	2
294	это за	1	2
295	еще не	6	2
296	такой же	1	2
297	сих пор	5	2
298	но так	1	2
299	много но	1	2
300	тем более	1	2
301	не будучи	1	2
302	и стало	1	2
303	ни к	1	2
304	он находит	1	2
305	они были	1	2
306	в отдельности	2	2
307	что даже	1	2
308	точно так	5	2
309	к этому	5	2
310	без этих	1	1
311	например в	3	1
312	что образ	2	1
313	д в	1	1
314	силы и	1	1
