N	2gram	Tiupa_Anal_3	VrazhdaK
1	в году	3	18
2	не только	22	9
3	в этом	14	8
4	и в	18	8
5	но и	13	7
6	и все	2	7
7	то что	2	7
8	что в	9	7
9	все же	4	6
10	но в	2	6
11	в нем	2	6
12	как и	14	6
13	в начале	6	6
14	и даже	8	6
15	в романе	2	6
16	то же	3	5
17	об этом	2	5
18	в то	3	5
19	же время	3	5
20	между тем	5	5
21	у него	1	5
22	не было	3	5
23	и не	12	5
24	в ней	2	4
25	что он	4	4
26	в истории	1	4
27	при этом	11	4
28	это не	2	4
29	несмотря на	2	4
30	все это	3	4
31	с ним	1	4
32	о том	6	4
33	уже в	3	4
34	может быть	9	4
35	как бы	10	4
36	в своих	1	4
37	речь идет	1	3
38	я не	1	3
39	он был	1	3
40	с его	8	3
41	в своем	4	3
42	и как	4	3
43	раз в	1	3
44	на то	1	3
45	его в	3	3
46	он не	6	3
47	далеко не	4	3
48	том что	12	3
49	в русской	7	3
50	и его	13	3
51	связи с	1	3
52	по нашему	1	3
53	человека в	1	3
54	и о	1	3
55	что у	1	3
56	русской литературе	4	3
57	в его	7	3
58	в том	9	3
59	и у	1	3
60	в конце	5	3
61	тем что	2	3
62	в связи	1	3
63	о себе	2	3
64	к этому	3	3
65	отношения к	2	2
66	и он	2	2
67	он сам	1	2
68	столь же	4	2
69	из повести	2	2
70	но как	3	2
71	ответ на	3	2
72	тогда как	20	2
73	человека с	1	2
74	отнюдь не	4	2
75	в известном	1	2
76	в той	2	2
77	в этой	6	2
78	в себе	2	2
79	время и	1	2
80	о которой	2	2
81	нашего времени	3	2
82	таким образом	4	2
83	в одну	1	2
84	в мире	5	2
85	нашему убеждению	1	2
86	в глазах	2	2
87	в них	2	2
88	рядом с	1	2
89	а с	1	2
90	мы знаем	1	2
91	не мог	2	2
92	в эту	1	2
93	точки зрения	3	2
94	в своей	1	2
95	и ее	2	2
96	с точки	2	2
97	место в	1	2
98	не менее	4	2
99	за год	1	2
100	одна из	2	2
101	никогда не	5	2
102	и далее	1	2
103	в момент	2	2
104	к себе	1	2
105	так в	3	2
106	еще не	6	2
107	а также	2	2
108	тем более	1	2
109	с нею	2	2
110	уже не	5	2
111	его и	1	2
112	для него	6	2
113	отношение к	1	2
114	к ним	1	2
115	как раз	7	2
116	и т.п	5	2
117	о чем	4	2
118	не может	2	2
119	вместе с	2	2
120	и а	4	2
121	но это	1	2
122	же в	2	2
123	а в	10	2
124	личность и	1	2
125	в свою	5	2
126	а между	1	1
127	как известно	1	1
128	у гоголя	1	1
129	человека и	1	1
130	как имя	1	1
131	рассматривать в	1	1
132	того же	5	1
133	это и	2	1
134	идет о	1	1
135	и есть	1	1
136	вопросом не	1	1
137	а от	1	1
138	по преимуществу	2	1
139	едва ли	3	1
140	уже по	2	1
141	в их	6	1
142	по его	3	1
143	в повествование	1	1
144	той же	5	1
145	мой был	1	1
146	что уже	1	1
147	героя нашего	2	1
148	он как	1	1
149	начинается с	1	1
150	совпадает с	1	1
151	говорить о	3	1
152	в полной	1	1
153	в составе	2	1
154	ему в	1	1
155	был еще	1	1
156	и был	1	1
157	литературой в	1	1
158	литературе и	1	1
159	одном из	1	1
160	как ему	1	1
161	на них	1	1
162	из литературы	1	1
163	и русской	1	1
164	по своему	2	1
165	как правило	5	1
166	а отношение	1	1
167	но не	7	1
168	о смерти	3	1
169	не все	1	1
170	если в	3	1
171	и т.д	2	1
172	говорилось выше	1	1
173	что они	3	1
174	как говорит	3	1
175	независимо от	1	1
176	как в	3	1
177	с этим	3	1
178	для всех	2	1
179	как к	2	1
180	как нам	5	1
181	себе не	1	1
182	и отчасти	1	1
183	то в	2	1
184	в самом	5	1
185	в целом	3	1
186	момент его	1	1
187	встреча с	1	1
188	тому же	3	1
189	во многих	1	1
190	в записках	1	1
191	не могла	2	1
192	в свет	1	1
193	да и	2	1
194	которой не	1	1
195	в первой	8	1
196	ключ к	3	1
197	при виде	1	1
198	всех этих	1	1
199	чем у	1	1
200	в силу	1	1
201	уже говорилось	2	1
202	на дуэль	1	1
203	этой поэмы	1	1
204	однако в	5	1
205	совпадают с	1	1
206	не будет	3	1
207	никто из	1	1
208	этом он	2	1
209	в глубине	2	1
210	самим собой	1	1
211	этой традиции	1	1
212	это было	1	1
213	заключается в	1	1
214	было бы	3	1
215	в итоге	4	1
216	в жизни	2	1
217	из первых	1	1
218	человек который	1	1
219	а за	1	1
220	автору и	2	1
221	не всегда	3	1
222	во внимание	1	1
223	которой он	1	1
224	анекдот о	1	1
225	он и	3	1
226	в москве	1	1
227	года и	1	1
228	старшего брата	1	1
229	одного и	3	1
230	но я	1	1
231	в войне	1	1
232	и их	1	1
233	молодого человека	1	1
234	всяком случае	2	1
235	этому же	1	1
236	на свою	1	1
237	далее в	1	1
238	своего рода	8	1
239	чтоб я	1	1
240	с инициалами	1	1
241	не будем	1	1
242	тем не	2	1
243	доказывает что	2	1
244	по крайней	4	1
245	а вот	2	1
246	вплоть до	2	1
247	но они	2	1
248	тем самым	4	1
249	от нас	1	1
250	писал он	2	1
251	этой повести	1	1
252	как о	1	1
253	героев и	1	1
254	также что	1	1
255	только не	3	1
256	через него	1	1
257	ничего не	3	1
258	иными словами	1	1
259	более что	1	1
260	по своей	2	1
261	ему и	1	1
262	потому что	1	1
263	этом отношении	3	1
264	в бою	1	1
265	тем это	1	1
266	в мировой	1	1
267	могут быть	2	1
268	похож на	1	1
269	ли не	4	1
270	мнения о	1	1
271	не есть	4	1
272	уже на	1	1
273	правда не	1	1
274	с ее	3	1
275	свою очередь	4	1
276	в ее	3	1
277	только при	1	1
278	не могло	1	1
279	оценке его	1	1
280	идет не	1	1
281	роль в	3	1
282	и сам	4	1
283	записных книжках	1	1
284	так и	14	1
285	не с	2	1
286	живет в	1	1
287	просьбы о	1	1
288	во второй	7	1
289	жизнь и	3	1
290	с героем	2	1
291	внимание к	1	1
292	во всяком	2	1
293	мертвые души	1	1
294	анекдота о	2	1
295	или а	1	1
296	до сих	1	1
297	во всех	2	1
298	от них	1	1
299	во всей	1	1
300	в форме	2	1
301	крайней мере	4	1
302	новая форма	1	1
303	все основания	1	1
304	вслед за	1	1
305	встречается лишь	1	1
306	человека как	1	1
307	в литературе	1	1
308	к которому	1	1
309	тех пор	2	1
310	этом смысле	1	1
311	один из	2	1
312	но с	2	1
313	в предисловии	1	1
314	во всем	3	1
315	в литературу	2	1
316	того который	1	1
317	в качестве	12	1
318	себя в	4	1
319	сколько в	1	1
320	своим собственным	1	1
321	писал об	1	1
322	хотя в	2	1
323	говорит о	2	1
324	в одном	4	1
325	литературу в	1	1
326	своих собственных	1	1
327	каждый из	1	1
328	и никогда	1	1
329	лишь один	1	1
330	в особенности	3	1
331	из двух	1	1
332	о своей	2	1
333	с другой	7	1
334	именно в	3	1
335	к роману	1	1
336	любви она	1	1
337	она меня	1	1
338	прежде всего	5	1
339	в соответствии	2	1
340	только по	1	1
341	что им	1	1
342	в стиле	1	1
343	при участии	1	1
344	на этот	1	1
345	целым рядом	1	1
346	одну из	2	1
347	голос и	1	1
348	этим можно	1	1
349	и литературные	1	1
350	с помощью	1	1
351	в частности	12	1
352	время с	1	1
353	и читателю	1	1
354	знаем о	1	1
355	из которых	1	1
356	упоминание о	1	1
357	первое место	1	1
358	в ответ	2	1
359	с тех	1	1
360	того что	1	1
361	войне за	1	1
362	романе достоевского	1	1
363	хотя он	1	1
364	был в	1	1
365	я с	2	1
366	поскольку сам	1	1
367	в свое	2	1
368	известном смысле	1	1
369	сих пор	1	1
370	оба они	1	1
371	между прочим	1	1
372	и блестящей	1	1
373	не любил	1	1
374	глубине души	1	1
375	восходящая к	3	1
376	и от	2	1
377	поскольку вместо	1	1
378	хотя и	2	1
379	по тональности	1	1
380	бы в	1	1
381	уже давно	1	1
382	и последовательность	1	1
383	нам не	2	1
384	судьбы они	1	1
385	а о	1	1
386	о своем	2	1
387	только как	1	1
388	другой стороны	5	1
389	свободой и	1	1
390	они как	1	1
391	следует искать	1	1
392	автора в	1	1
393	из этого	1	1
394	героя в	1	1
395	жизни и	1	1
396	к этой	1	1
397	который не	2	1
398	во сне	3	1
399	как на	1	1
400	в таком	1	1
401	все что	1	1
402	они не	1	1
