N	2gram	Medvedev_I_1	Hudozhes
1	и в	1	14
2	так и	1	13
3	в этом	2	11
4	для него	1	10
5	по отношению	1	8
6	ничего не	2	8
7	отношению к	1	8
8	не случайно	1	7
9	а в	1	7
10	никогда не	1	6
11	что в	2	6
12	жизни и	1	5
13	и о	1	4
14	он не	2	4
15	и с	3	4
16	того что	1	4
17	себя в	1	4
18	только что	1	4
19	видит в	1	3
20	говорить о	1	3
21	все эти	1	3
22	тем что	1	3
23	что при	1	3
24	того чтобы	1	3
25	если бы	1	3
26	а также	1	3
27	то и	1	3
28	для других	1	2
29	в художественном	1	2
30	в целом	1	2
31	в первую	1	2
32	первую очередь	1	2
33	его личности	1	2
34	автора и	1	2
35	все это	1	2
36	в значительной	1	2
37	а с	1	2
38	и не	2	2
39	только для	1	2
40	личности для	1	1
41	и др	1	1
42	тех же	1	1
43	не слишком	1	1
44	я не	1	1
45	бы в	1	1
46	о жизни	1	1
47	от этого	1	1
48	и тот	1	1
49	пушкина и	1	1
50	же это	1	1
51	понятий и	1	1
52	от нее	1	1
53	этим и	1	1
54	нисколько не	1	1
55	и без	1	1
56	ничего в	1	1
57	вплоть до	1	1
58	как о	1	1
59	в основе	1	1
60	во многом	1	1
61	с другой	1	1
62	с а	1	1
63	не дает	1	1
64	могло бы	1	1
65	и та	1	1
66	произведения и	1	1
67	когда его	1	1
68	автор и	1	1
69	что для	1	1
70	это был	1	1
71	но когда	1	1
72	этого писателя	1	1
73	остается как	1	1
