N	3gram	Voloshinov_1	Morfolog
1	в этом случае	3	9
2	мы видим что	2	9
3	в связи с	2	8
4	не может быть	2	8
5	таким образом мы	1	5
6	связи с этим	2	5
7	с точки зрения	5	4
8	мы увидим ниже	1	4
9	с другой стороны	1	4
10	тем не менее	1	4
11	как мы увидим	2	3
12	независимо от того	1	3
13	на самом деле	3	3
14	но все же	2	3
15	как и в	1	3
16	более или менее	1	2
17	в тех случаях	2	2
18	для наших целей	1	2
19	в собственном смысле	1	2
20	мы приходим к	1	2
21	можно заметить что	1	2
22	на первый взгляд	1	2
23	собственном смысле слова	1	2
24	образом мы приходим	1	2
25	которое может быть	3	2
26	к чему не	2	2
27	ни к чему	2	2
28	тех случаях когда	2	2
29	в большинстве случаев	1	2
30	для того чтобы	7	2
31	в том что	1	2
32	дает нам возможность	1	1
33	и ни к	1	1
34	в форме диалога	1	1
35	бросается в глаза	1	1
36	нужно помнить что	1	1
37	но то что	1	1
38	это будет видно	1	1
39	же время и	1	1
40	что иное как	2	1
41	мы должны будем	1	1
42	как бы в	3	1
43	может как бы	1	1
44	это дает нам	1	1
45	до сих пор	1	1
46	если же он	1	1
47	можно было бы	1	1
48	как таковое не	1	1
49	не задаваясь вопросом	1	1
50	в наши дни	1	1
51	одно и то	3	1
52	на этот вопрос	1	1
53	с другими формами	1	1
54	в качестве примера	1	1
55	и то же	3	1
56	иметь в виду	1	1
57	целый ряд вопросов	1	1
58	но если бы	1	1
59	но там оно	1	1
60	мы уже видели	2	1
61	более сложный случай	1	1
62	есть не что	2	1
63	то же время	7	1
64	то для того	1	1
65	мы имеем в	1	1
66	о том что	2	1
67	но чаще всего	1	1
68	с самого начала	4	1
69	той или иной	3	1
70	двух точек зрения	1	1
71	можно сказать что	2	1
72	но и его	1	1
73	в то же	9	1
74	к тому что	2	1
75	не что иное	2	1
76	задаваясь вопросом о	1	1
