N	4gram	Vinokur_Vv_1	Psycholo
1	заключается в том что	2	4
2	одно и то же	1	3
3	не что иное как	4	2
4	состоит в том что	2	2
5	ответ на этот вопрос	1	2
6	одного и того же	2	2
7	до тех пор пока	1	2
8	одной и той же	2	2
9	в зависимости от того	1	2
10	мы имеем дело с	1	1
11	потому что в этом	1	1
12	то для того чтобы	1	1
13	нужно принять во внимание	1	1
14	это состоит в том	1	1
15	в том или ином	1	1
16	можно было бы назвать	1	1
17	заключается в том чтобы	1	1
18	для того чтобы сделать	1	1
19	вопрос о том насколько	1	1
20	и т д мы	1	1
21	с этой точки зрения	1	1
22	связь между языком и	1	1
23	всегда заключает в себе	1	1
24	в каждом данном случае	1	1
25	и для того чтобы	1	1
26	если принять во внимание	1	1
27	и в самом деле	3	1
28	в том что с	1	1
29	в том что в	1	1
30	что иное как именно	1	1
31	с одной стороны и	3	1
32	и именно в этом	1	1
33	дело в том что	2	1
34	в том факте что	1	1
35	для того чтобы он	2	1
36	но вместе с тем	1	1
37	в том виде как	1	1
38	в собственном смысле слова	1	1
