N	2gram	Bakhtin_KF_1	KulturaY
1	в том	6	30
2	и в	24	24
3	потому что	2	23
4	том что	4	21
5	что в	4	17
6	того чтобы	2	17
7	для того	3	16
8	было бы	8	15
9	и пр	3	15
10	в этом	14	14
11	точки зрения	12	14
12	может быть	45	13
13	все же	5	12
14	и не	26	12
15	в его	40	12
16	не в	12	11
17	только в	16	11
18	хотя бы	4	10
19	в самом	1	10
20	не только	5	10
21	вовсе не	7	10
22	самом деле	3	9
23	с точки	9	9
24	так как	1	9
25	если бы	8	9
26	о том	3	9
27	того что	3	9
28	отношению к	22	9
29	прежде всего	2	9
30	то что	7	9
31	а только	1	8
32	по отношению	26	8
33	уже не	7	8
34	то же	5	8
35	тем что	3	8
36	как раз	1	8
37	а не	17	8
38	не может	27	7
39	что язык	1	7
40	это не	10	7
41	не менее	3	7
42	в области	2	7
43	так и	2	7
44	в качестве	2	7
45	как бы	9	7
46	вместе с	1	7
47	мы имеем	5	6
48	зависимости от	1	6
49	в ней	3	6
50	в которой	1	6
51	все эти	10	6
52	при этом	4	6
53	тогда когда	3	6
54	что он	2	6
55	в какой	1	6
56	но и	9	6
57	именно в	5	6
58	все это	10	6
59	в зависимости	1	5
60	еще не	4	5
61	но не	12	5
62	не просто	1	5
63	что это	3	5
64	и с	1	5
65	но уже	1	5
66	рядом с	3	5
67	с тем	2	5
68	и его	17	5
69	не потому	2	5
70	к тому	1	5
71	в виду	3	5
72	с ним	5	5
73	между тем	4	5
74	всяком случае	1	5
75	содержание и	2	5
76	что не	3	5
77	в результате	1	5
78	а в	4	5
79	во всяком	1	5
80	того же	1	4
81	это и	2	4
82	что эти	1	4
83	и на	3	4
84	с его	1	4
85	как в	2	4
86	в целом	10	4
87	на то	1	4
88	в нем	28	4
89	того или	3	4
90	в данном	2	4
91	тем не	2	4
92	тем самым	4	4
93	на язык	3	4
94	следует что	1	4
95	к себе	2	4
96	что и	7	4
97	языка это	1	4
98	с ними	3	4
99	должен быть	7	4
100	не есть	20	4
101	со стороны	7	4
102	там где	5	4
103	и потому	2	4
104	с этим	1	4
105	слова и	1	4
106	один из	2	4
107	же в	1	4
108	в этих	1	4
109	и то	2	3
110	в первом	1	3
111	в котором	24	3
112	той же	1	3
113	так называемые	1	3
114	и он	1	3
115	только тогда	1	3
116	в истории	1	3
117	в своем	16	3
118	хотя и	1	3
119	когда он	1	3
120	его к	2	3
121	в этой	2	3
122	в себе	21	3
123	на его	1	3
124	не имеют	1	3
125	должна быть	4	3
126	на том	1	3
127	что она	1	3
128	и может	3	3
129	он есть	1	3
130	а это	2	3
131	соответствии с	2	3
