N	2gram	Berdyaev_V_1	Vladivir
1	и в	16	40
2	то что	9	28
3	не только	2	25
4	и не	20	25
5	у него	1	24
6	то есть	1	24
7	том что	2	18
8	в том	3	18
9	но и	5	18
10	еще и	1	18
11	что в	3	17
12	в этом	4	16
13	в его	4	14
14	в виде	1	13
15	вовсе не	1	13
16	только в	2	13
17	в конце	3	12
18	никогда не	3	11
19	потому что	4	11
20	не просто	1	10
21	ни в	3	10
22	то это	3	10
23	не есть	6	10
24	прежде всего	2	10
25	и потому	7	10
26	и то	2	9
27	уже не	2	9
28	что это	1	9
29	и с	1	9
30	в своей	3	9
31	как мы	1	8
32	в своем	1	8
33	в этой	1	8
34	не был	1	8
35	и что	3	8
36	раз и	1	8
37	для него	2	8
38	может быть	1	8
39	а не	7	8
40	так же	1	8
41	хотя и	5	7
42	и если	1	7
43	что все	4	7
44	с тем	2	7
45	как и	4	7
46	что и	3	7
47	того что	5	7
48	так как	9	7
49	вместе с	1	7
50	к тому	3	7
51	а в	2	7
52	в своих	1	7
53	и на	1	6
54	не будет	2	6
55	во всем	1	6
56	и это	2	6
57	и от	1	6
58	так и	4	6
59	если не	3	6
60	в боге	5	6
61	да и	2	6
62	это значит	1	6
63	но это	3	6
64	хотя бы	3	6
65	в ней	4	5
66	в истории	8	5
67	все эти	3	5
68	тоже не	1	5
69	можно было	2	5
70	должно быть	3	5
71	тем что	2	5
72	для нас	2	5
73	ничего не	1	5
74	у нас	1	5
75	для себя	1	5
76	с другой	1	5
77	конце концов	1	5
78	что он	4	5
79	в одном	1	5
80	не было	3	5
81	в самом	1	4
82	то же	1	4
83	вопрос о	1	4
84	еще не	8	4
85	но не	2	4
86	все же	1	4
87	но в	3	4
88	бы и	3	4
89	в котором	4	4
90	тому что	3	4
91	не имеет	3	4
92	не с	2	4
93	и можно	1	4
94	а с	2	4
95	говорит о	1	4
96	и все	4	4
97	него в	1	4
98	как это	1	4
99	если оно	1	4
100	поскольку он	1	4
101	указать на	1	4
102	в результате	1	4
103	есть и	1	4
104	и тут	1	3
105	я не	1	3
106	бы то	1	3
107	в чем	3	3
108	уже в	1	3
109	в нем	4	3
110	раз навсегда	2	3
111	но все	1	3
112	то ни	1	3
113	это не	2	3
114	в я	1	3
115	не в	3	3
116	если нет	1	3
117	этих трех	3	3
118	что есть	5	3
119	и против	3	3
120	и слишком	1	3
121	того чтобы	2	3
122	в духе	2	3
123	оно не	3	3
124	в абсолютном	3	3
125	в виду	1	3
126	и вообще	1	3
127	находится в	1	3
128	к нему	1	3
129	что бы	1	3
130	и тем	1	3
131	по этому	3	3
132	вот что	1	3
133	не так	2	3
134	церкви и	1	3
135	человека и	6	3
136	истина и	1	3
137	вопросе о	2	3
138	как бы	5	3
139	и для	3	3
140	но вот	1	3
141	ее в	2	3
142	и эта	1	3
143	во всяком	2	3
144	не имел	2	2
145	не имеют	1	2
146	должна быть	3	2
147	и за	2	2
148	есть не	1	2
149	мы не	2	2
150	на себя	5	2
151	мы и	2	2
152	он был	1	2
153	истории в	1	2
154	но как	1	2
155	к богу	8	2
156	себе и	1	2
157	которые не	2	2
158	во что	1	2
159	от этого	3	2
160	в которой	1	2
161	в целом	1	2
162	он всегда	1	2
163	если они	1	2
164	не к	2	2
165	и по	1	2
166	в жизни	3	2
167	были в	1	2
168	с такой	1	2
169	в этих	3	2
170	что истина	2	2
171	в вопросе	3	2
172	в их	1	2
173	не понимает	1	2
174	можно ли	1	2
175	как можно	1	2
176	она не	1	2
177	есть прежде	1	2
178	на него	1	2
179	но что	1	2
180	найти в	1	2
181	и всегда	1	2
182	в разных	1	2
183	что на	1	2
184	и третье	1	2
185	вот в	1	2
186	не могут	2	2
187	бы это	1	2
188	бы сделать	1	2
189	не существует	1	2
190	ни стало	1	2
191	роль в	1	2
192	в мире	5	2
193	об абсолютном	2	2
194	является в	2	2
195	которая в	1	2
196	но мы	2	2
197	бы в	1	2
198	я вижу	1	2
199	но с	1	2
200	и так	1	2
201	мы будем	1	2
202	духа святого	1	2
203	то и	1	2
204	бытия и	1	2
205	и вместе	1	2
206	для того	1	2
207	никогда и	1	2
208	который был	1	2
209	выше всех	1	2
210	выше всякого	2	2
211	что мы	4	2
212	как не	3	2
213	нет ничего	3	2
214	а есть	2	2
215	в изображении	1	2
216	самого себя	2	2
217	выше всего	2	2
218	с этой	1	2
219	с бытием	1	2
220	насилия и	1	2
221	о свободе	2	2
222	в одно	1	2
223	другой стороны	1	2
224	с его	3	2
225	же и	1	2
226	бог есть	1	2
227	к этому	1	2
228	а между	2	1
229	могут и	1	1
230	речь идет	1	1
231	мирового всеединства	1	1
232	жизни об	1	1
233	и переживаний	1	1
234	и есть	4	1
235	и позитивизм	1	1
236	человеческой души	1	1
237	наконец это	1	1
238	он выразил	1	1
239	с достоинством	1	1
240	только это	1	1
241	но она	1	1
242	освобождения от	2	1
243	достоинство и	1	1
244	в последних	1	1
245	вечной жизни	1	1
246	конечно это	1	1
247	во всех	3	1
248	если в	1	1
249	в новом	1	1
250	и будет	3	1
251	нет и	2	1
252	и чем	1	1
253	что они	7	1
254	и свободное	1	1
255	как в	1	1
256	и думать	1	1
257	духа и	2	1
258	и свою	1	1
259	и последний	2	1
260	не быть	1	1
261	к чему	3	1
262	да будет	1	1
263	влечение к	1	1
264	в известном	1	1
265	чего хочет	1	1
266	им в	1	1
267	он делает	1	1
268	человеческую личность	1	1
269	чтобы идти	1	1
270	о которой	1	1
271	перестает быть	1	1
272	одно целое	1	1
273	и вот	1	1
274	это дело	2	1
275	их в	3	1
276	на земле	7	1
277	конечно в	1	1
278	его не	2	1
279	и навсегда	1	1
280	лишь в	3	1
281	свободного и	1	1
282	говорит что	1	1
283	истории и	2	1
284	мира с	1	1
285	и находить	1	1
286	от абсолютного	1	1
287	в них	3	1
288	все равно	2	1
289	не всегда	1	1
290	во христе	3	1
291	жизни но	1	1
292	бога и	5	1
293	но я	1	1
294	еще предстоит	1	1
295	ужаса в	1	1
296	всего только	1	1
297	еще с	1	1
298	ли так	1	1
299	в которых	1	1
300	эта не	1	1
301	мир и	2	1
302	личность хотя	1	1
303	свобода и	1	1
304	человечество не	2	1
305	конечно ни	1	1
306	основание в	1	1
307	любви и	1	1
308	в атмосфере	1	1
309	какие бы	1	1
310	от высшего	2	1
311	и другое	1	1
312	одна из	2	1
313	что их	2	1
314	это еще	4	1
315	это мы	2	1
316	того как	1	1
317	под этим	2	1
318	это слово	1	1
