N	3gram	Berdyaev_N_1	Tvorches
1	до сих пор	1	3
2	не может быть	4	3
3	никогда не было	2	2
4	и не может	1	2
5	в отличие от	1	2
6	в наше время	3	2
7	так же как	2	2
8	во всяком случае	1	2
9	с другой стороны	2	2
10	не в силах	1	2
11	о том что	1	2
12	в том что	1	2
13	это связано с	1	1
14	и потому что	1	1
15	в том числе	1	1
16	играют большую роль	1	1
17	же как и	1	1
18	к самой жизни	2	1
19	но и потому	1	1
20	сами по себе	1	1
21	что в нем	2	1
22	можно было бы	1	1
23	большую роль в	2	1
24	и в истории	1	1
25	со всех сторон	3	1
26	только потому что	1	1
27	в том смысле	1	1
28	как будто бы	1	1
29	в известном смысле	1	1
30	и должно быть	2	1
31	не могут быть	1	1
32	это не значит	2	1
33	не только потому	1	1
34	и мы не	1	1
35	в то время	1	1
36	ни в чем	1	1
37	себя на место	1	1
38	в нем нет	2	1
39	он не имел	1	1
40	это и есть	1	1
41	это тем что	1	1
42	том числе и	1	1
43	не значит что	3	1
44	о том чтобы	1	1
45	в высшей степени	6	1
46	как и в	1	1
47	мы говорим о	1	1
