N	2gram	Tiupa_Disk_2	NovoeSre
1	а не	14	17
2	и в	16	16
3	не может	9	16
4	нового времени	5	12
5	и не	15	11
6	и есть	1	10
7	в эпоху	1	9
8	что в	5	9
9	в том	8	8
10	жизни и	3	8
11	он не	3	8
12	в этом	16	7
13	может быть	16	7
14	как и	16	7
15	с его	6	6
16	не в	3	6
17	ни в	7	6
18	никогда не	2	6
19	лишь в	1	6
20	но это	3	6
21	не знает	3	6
22	должен быть	1	5
23	с ее	2	5
24	мы живем	1	5
25	в ней	2	5
26	истории в	1	5
27	не только	10	5
28	в жизни	1	5
29	xix века	1	5
30	все это	2	5
31	в нем	7	5
32	о том	4	4
33	наше время	2	4
34	в них	3	4
35	то что	5	4
36	это не	3	4
37	прежде всего	7	4
38	не было	3	4
39	должно быть	2	4
40	по своему	1	4
41	не менее	7	4
42	и для	2	4
43	и все	3	4
44	потому что	4	4
45	с другой	5	3
46	в ее	1	3
47	должна быть	2	3
48	вопрос о	1	3
49	еще не	6	3
50	во всех	1	3
51	за пределы	1	3
52	лицом к	1	3
53	в истории	1	3
54	как в	8	3
55	подобно тому	2	3
56	в мире	11	3
57	но и	11	3
58	не есть	1	3
59	стремится к	2	3
60	к лицу	1	3
61	в своей	6	3
62	к жизни	3	3
63	тому как	2	3
64	к реальному	1	3
65	она не	1	3
66	в наше	2	3
67	жизни не	2	3
68	в основе	4	3
69	жизни в	3	3
70	к тому	1	3
71	сказать что	1	3
72	которых не	2	2
73	и это	2	2
74	же как	2	2
75	более не	1	2
76	это и	1	2
77	переходе от	2	2
78	роль в	4	2
79	не имеют	1	2
80	к созданию	1	2
81	так и	9	2
82	времени и	2	2
83	мы не	1	2
84	мира и	4	2
85	и с	2	2
86	для этого	1	2
87	но она	3	2
88	к вечности	1	2
89	я не	1	2
90	жизни как	2	2
91	и должно	1	2
92	и что	1	2
93	и на	5	2
94	времени в	4	2
95	должно было	1	2
96	но не	7	2
97	к богу	1	2
98	в новом	1	2
99	века и	1	2
100	самый процесс	1	2
101	ни к	5	2
102	хотя и	1	2
103	но в	11	2
104	все эти	3	2
105	с одной	4	2
106	себя в	6	2
107	с их	2	2
108	есть в	2	2
109	в себе	19	2
110	уже не	3	2
111	не к	2	2
112	нашего времени	1	2
113	и даже	1	2
114	и т.п	12	2
115	бытия в	1	2
116	духовной жизни	1	2
117	и было	1	2
118	том что	10	2
119	вместе с	2	2
120	место в	2	2
121	одной стороны	4	2
122	такого рода	9	2
123	другой стороны	2	2
124	обращение к	2	2
125	ни одна	1	2
126	как будто	3	2
127	как это	1	2
128	такой же	2	2
129	но для	1	2
130	равно как	1	2
131	в то	5	2
132	одна из	1	2
133	мысли в	1	2
134	формы и	1	2
135	и от	1	2
136	а в	2	2
137	могут быть	3	2
138	можно назвать	4	2
139	из ее	1	2
140	мужчине и	1	1
141	людей в	1	1
142	ни одно	2	1
143	бытия а	1	1
144	для себя	2	1
145	переход от	1	1
146	характер и	1	1
147	перед лицом	2	1
148	не сознается	1	1
149	по преимуществу	2	1
150	приводит к	3	1
151	и до	1	1
152	слова а	1	1
153	природе своей	2	1
154	в образе	1	1
155	не с	2	1
156	по природе	2	1
157	вопрос этот	1	1
158	еще в	3	1
159	христианской культуры	1	1
160	героя но	1	1
161	человека это	1	1
162	с ним	1	1
163	можно сказать	3	1
164	это всегда	1	1
165	говорить о	2	1
166	движения и	1	1
167	жизни мир	1	1
168	не был	1	1
169	жизни это	1	1
170	это время	1	1
171	же мере	1	1
172	чего оно	1	1
173	на их	1	1
174	в чем	1	1
175	и во	1	1
176	не могут	1	1
177	своего рода	10	1
178	в его	3	1
179	есть по	1	1
180	отличие от	12	1
181	и только	1	1
182	мне представляется	1	1
183	есть нарушение	1	1
184	но тут	1	1
185	дня а	1	1
186	в значительной	1	1
187	раскрытие тайны	1	1
188	в своем	5	1
189	в формах	2	1
190	человека в	4	1
191	что он	2	1
192	только в	3	1
193	во всем	1	1
194	по своей	6	1
195	в этот	1	1
196	в самом	1	1
197	к чему	1	1
198	жизненной энергии	1	1
199	своей основе	1	1
200	из этих	3	1
201	же и	1	1
202	для всех	1	1
203	человеке и	1	1
204	мира то	1	1
205	в большинстве	2	1
206	человек не	1	1
207	большинстве случаев	1	1
208	из них	3	1
209	к своим	2	1
210	одному из	1	1
211	мир в	1	1
212	и их	1	1
213	всяком случае	1	1
214	к одному	1	1
215	жизнью и	2	1
216	не для	1	1
217	друг друга	1	1
218	бытия и	2	1
219	не случайно	1	1
220	человек как	1	1
221	тем что	1	1
222	заключает в	2	1
223	к той	1	1
224	но все	1	1
225	значительной степени	1	1
226	о русском	1	1
227	не были	1	1
228	ней и	1	1
229	лишь на	1	1
230	и быть	1	1
231	себя и	1	1
232	в отличие	12	1
233	что будет	2	1
234	этого она	1	1
235	превращается в	1	1
236	античной культуры	1	1
237	в этой	4	1
238	имеют никакого	1	1
239	не на	2	1
240	этого не	1	1
241	не быть	1	1
242	человеческой жизни	2	1
243	и разложения	1	1
244	историческое время	1	1
245	и того	3	1
246	ближе к	1	1
247	одного и	3	1
248	и еще	1	1
249	в этих	3	1
250	может иметь	2	1
251	но если	1	1
252	она сама	1	1
253	в такой	1	1
254	к себе	1	1
255	в котором	3	1
256	на иной	1	1
257	мы в	1	1
258	не столько	3	1
259	двойственно и	1	1
260	и мир	1	1
261	не должно	1	1
262	дальнейшее развитие	1	1
263	жизни с	1	1
264	в обнаружении	1	1
265	как другие	1	1
266	в силу	1	1
267	с миром	1	1
268	в мир	1	1
269	и более	1	1
270	их в	2	1
271	что этот	1	1
272	в состоянии	1	1
273	он видел	1	1
274	жизни во	1	1
