N	3gram	Tiupa_Lite_2	RusskieA
1	в том что	5	18
2	состоит в том	4	13
3	в этот день	1	10
4	для того чтобы	1	6
5	в этом случае	2	6
6	в данном случае	3	6
7	о том что	2	4
8	вместе с тем	1	4
9	подобно тому как	2	3
10	в отличие от	1	3
11	не может быть	7	3
12	мы не можем	1	2
13	с одной стороны	6	2
14	после того как	1	2
15	тем не менее	2	2
16	в том чтобы	3	2
17	от земли и	1	1
18	том что в	1	1
19	состоит не в	1	1
20	во многих отношениях	1	1
21	из того что	1	1
22	имея в виду	1	1
23	есть рассказ о	1	1
24	об умирающем и	1	1
25	можно было бы	1	1
26	все то что	1	1
27	а так как	1	1
28	в этом отношении	3	1
29	как мы видели	1	1
30	в такой же	1	1
31	во всех этих	1	1
32	в свою очередь	1	1
33	с другой стороны	4	1
34	не только как	1	1
