N	3gram	Medvedev_U_1	slovoVRo
1	то же время	3	12
2	в то же	3	12
3	и в то	1	5
4	с одной стороны	1	4
5	с другой стороны	3	4
6	большей или меньшей	1	4
7	но в то	1	4
8	хотя бы и	2	3
9	в данном случае	1	3
10	в большей или	1	3
11	или меньшей степени	1	3
12	более или менее	1	3
13	а между тем	2	2
14	в широком смысле	1	2
15	в этом случае	1	2
16	до сих пор	2	2
17	но по существу	1	2
18	не только в	1	2
19	не могут быть	2	2
20	друг с другом	1	2
21	в которой все	1	1
22	это было бы	1	1
23	имеем в виду	1	1
24	но это не	1	1
25	он может быть	1	1
26	он в той	1	1
27	не входит в	1	1
28	бы то ни	3	1
29	в этом отношении	2	1
30	в противном случае	2	1
31	по крайней мере	2	1
32	сводится именно к	1	1
33	и в частности	2	1
34	входит в эстетический	1	1
35	то ни было	3	1
36	на своем месте	1	1
37	мы имеем в	1	1
38	так или иначе	1	1
39	все они в	1	1
40	в точном смысле	1	1
41	не может быть	4	1
42	в эстетический объект	1	1
43	равно как и	1	1
44	таким образом на	1	1
45	никогда не может	1	1
46	и прежде всего	1	1
47	можно сказать что	1	1
48	у нас в	1	1
49	тех или иных	2	1
50	это не только	1	1
51	в том что	2	1
52	и с другой	1	1
