N	3gram	Medvedev_S_1	Psycholo
1	в том что	2	14
2	с одной стороны	1	12
3	а с другой	1	4
4	то же самое	1	3
5	в лучшем случае	1	3
6	на первый план	1	2
7	то что в	1	2
8	в конце концов	2	2
9	том и заключается	1	2
10	в том и	1	2
11	именно в том	1	2
12	друг от друга	1	2
13	их друг от	1	1
14	чуть ли не	1	1
15	по отношению к	2	1
16	а в том	1	1
17	и в этом	1	1
18	только то что	1	1
19	по крайней мере	1	1
20	по самому существу	1	1
21	и никак не	1	1
22	именно и заключается	1	1
23	благодаря тому что	1	1
24	в частности так	1	1
25	в том именно	1	1
26	и заключается что	2	1
27	в конечном счете	1	1
28	том именно и	1	1
29	но стоит только	1	1
