N	3gram	Bakhtin_Fr_5	Sovremen
1	мы не можем	1	3
2	друг с другом	2	2
3	мы видим что	2	1
4	и той же	1	1
5	из этих двух	1	1
6	с помощью которой	1	1
7	в отличие от	2	1
8	что дело идет	1	1
9	так же как	4	1
10	на другой день	1	1
11	видели что это	1	1
12	дело в том	2	1
13	одной и той	1	1
14	в то же	9	1
15	в течение нескольких	1	1
16	не подлежит сомнению	1	1
17	в предыдущей главе	1	1
18	в одном случае	1	1
19	совершенно так же	2	1
20	в том что	6	1
21	в свою очередь	1	1
22	течение нескольких дней	1	1
23	то же самое	2	1
24	то же время	9	1
25	и в то	1	1
26	мы видели что	1	1
27	не может быть	2	1
