N	3gram	Potebnia_M_4	Literetu
1	то же время	3	7
2	в то же	3	7
3	в этом отношении	1	5
4	по отношению к	8	4
5	в данном случае	2	4
6	с одной стороны	1	4
7	о том что	5	4
8	в том что	7	4
9	в том числе	1	3
10	с точки зрения	3	3
11	тогда как в	1	3
12	не может быть	5	3
13	то что я	7	2
14	подобно тому как	2	2
15	то же самое	4	2
16	потому что не	1	2
17	но и в	1	2
18	том числе и	1	2
19	в том чтобы	1	2
20	так или иначе	2	2
21	а не как	1	2
22	с другой стороны	1	2
23	это последнее имеет	1	2
24	и вместе с	1	2
25	в одном из	1	2
26	и в самом	1	2
27	но и не	1	2
28	на то что	4	2
29	но уже и	1	1
30	что иное как	2	1
31	хотя и не	1	1
32	он сам не	1	1
33	не об отсутствии	1	1
34	на самом деле	3	1
35	о том как	1	1
36	и к тому	1	1
37	друг от друга	1	1
38	и не только	1	1
39	только в том	2	1
40	хотя бы и	2	1
41	вместе с тем	3	1
42	так как мы	1	1
43	при этом в	2	1
44	во второй половине	1	1
45	то что в	2	1
46	и т п	4	1
47	встречаются и в	1	1
48	могли бы быть	1	1
49	может быть только	1	1
50	и то что	4	1
51	не что иное	2	1
52	может быть не	1	1
53	в нас самих	1	1
54	на первый взгляд	1	1
55	на том пути	1	1
56	она коренится в	1	1
57	но при этом	1	1
58	и потому не	1	1
59	в связи с	1	1
60	со второй половины	1	1
61	лишь тогда когда	3	1
62	в его руках	1	1
63	вопрос о том	2	1
64	то есть от	2	1
65	для того чтобы	4	1
66	и в том	2	1
67	сказать и о	1	1
68	между тем как	2	1
69	на вопрос что	1	1
70	в ряду других	3	1
71	того что у	1	1
72	в свою очередь	1	1
73	одним из первых	1	1
74	ничего общего с	1	1
75	что у меня	1	1
76	не только не	3	1
77	поэзия и проза	3	1
78	тогда когда оно	2	1
79	если бы они	1	1
80	мы уже не	1	1
81	и поэзии и	1	1
82	других но при	1	1
83	к тому что	1	1
84	тем не менее	4	1
85	быть не может	1	1
86	что он в	1	1
