N	3gram	Propp_Russ_2	Tvorches
1	и т д	5	11
2	не может быть	3	3
3	о том что	4	2
4	в том же	1	2
5	с другой стороны	1	2
6	в том что	18	2
7	в отличие от	3	2
8	так же как	4	2
9	во всяком случае	1	2
10	мы не можем	2	1
11	это означало что	1	1
12	том что в	1	1
13	не все по	1	1
14	в этой связи	1	1
15	о том как	1	1
16	новую жизнь и	1	1
17	это и есть	1	1
18	в этот день	10	1
19	это еще не	1	1
20	является так сказать	1	1
21	пришел к выводу	1	1
22	в другом месте	1	1
23	и в этом	1	1
24	в первую очередь	1	1
25	и в том	1	1
26	но это не	1	1
27	потому что в	1	1
28	а может быть	1	1
29	как и в	1	1
30	представление о воскресении	1	1
31	об этом не	1	1
32	о том где	1	1
33	может быть назван	1	1
34	в применении к	1	1
35	в виду что	1	1
36	же как и	2	1
37	еще не все	1	1
38	или во всяком	1	1
39	на другой день	2	1
40	и это не	1	1
41	дело в том	1	1
42	в свою очередь	1	1
43	в то время	2	1
44	можно было бы	1	1
