N	3gram	Medvedev_F_3	DiskursI
1	в отличие от	2	12
2	в данном случае	4	6
3	в том что	3	6
4	то же время	7	5
5	как и в	1	5
6	по отношению к	3	4
7	в этом отношении	3	4
8	в то же	7	4
9	с одной стороны	1	4
10	так и в	2	3
11	не может быть	14	3
12	и все же	1	3
13	о том что	1	3
14	той или иной	1	3
15	и того же	1	2
16	как и всякое	2	2
17	подобно тому как	4	2
18	в этом случае	1	2
19	что же касается	1	2
20	с точки зрения	14	2
21	между жизнью и	1	2
22	и не может	4	2
23	но в данном	1	2
24	не сводится к	1	2
25	но при этом	1	2
26	дело в том	2	2
27	одного и того	1	2
28	себя в нем	1	1
29	другой стороны в	1	1
30	и столь же	1	1
31	в самом деле	4	1
32	чего бы то	1	1
33	того или иного	1	1
34	так и его	1	1
35	можно утверждать что	1	1
36	с другой стороны	5	1
37	одних и тех	1	1
38	и в то	2	1
39	до известной степени	2	1
40	можно говорить о	1	1
41	друг на друга	1	1
42	бы то ни	4	1
43	только то что	2	1
44	тому как в	1	1
45	но для этого	1	1
46	при этом не	1	1
47	но и здесь	1	1
48	в той мере	1	1
49	одна из них	1	1
50	именно в этом	1	1
51	в предыдущей главе	1	1
52	и тех же	1	1
53	художественного произведения как	1	1
54	для данного высказывания	2	1
55	в это время	1	1
56	в своем творчестве	1	1
57	в значительной степени	1	1
58	в такой же	1	1
59	не совпадает с	1	1
60	внешнее и внутреннее	1	1
61	события но и	1	1
62	из виду что	1	1
63	говорит об этом	1	1
64	то ни было	4	1
65	того что является	1	1
66	так и с	1	1
67	а не как	1	1
68	в том чего	1	1
69	не в том	1	1
70	во всяком случае	6	1
71	мере в какой	1	1
72	и той же	1	1
73	с той или	1	1
74	между тем как	1	1
75	равно как и	2	1
76	с самого начала	1	1
77	в пределах одной	2	1
78	автора с читателем	1	1
79	в этом заключается	1	1
80	героя в этом	1	1
81	друг друга и	1	1
82	и в пределе	1	1
83	можно сказать что	1	1
84	ориентации человека в	1	1
85	но не менее	1	1
86	в большинстве случаев	4	1
87	никак не могут	1	1
88	а часто и	1	1
89	в том числе	1	1
90	одной и той	1	1
91	той мере в	1	1
92	тем не менее	2	1
93	место в творчестве	1	1
94	так сказать от	1	1
95	все то что	1	1
96	том числе и	1	1
97	в пределах одного	2	1
