N	2gram	Nazirov_Tr_1	SlovoVZh
1	не может	5	16
2	может быть	7	14
3	как бы	7	13
4	и его	6	13
5	таким образом	1	12
6	и в	18	12
7	и не	7	10
8	прежде всего	4	8
9	творца и	1	7
10	для нас	1	7
11	в ней	1	6
12	в том	2	6
13	только в	1	6
14	при этом	3	6
15	с помощью	1	6
16	в нем	4	6
17	все время	1	6
18	должна быть	1	5
19	то же	5	5
20	в виду	1	5
21	отнюдь не	3	5
22	как в	3	5
23	но в	6	5
24	и др	1	5
25	героя и	1	5
26	а не	1	5
27	как и	5	5
28	том что	4	5
29	никогда не	2	5
30	хотя бы	1	5
31	то что	4	5
32	литературы и	1	4
33	к нему	3	4
34	за пределы	1	4
35	в литературе	1	4
36	в этом	9	4
37	все же	5	4
38	в самом	2	4
39	уже не	2	4
40	не только	8	4
41	отношение к	2	4
42	так и	5	4
43	что не	1	4
44	не в	2	4
45	его в	2	4
46	и на	7	4
47	самом деле	1	3
48	в котором	1	3
49	еще не	4	3
50	о том	2	3
51	но и	4	3
52	между тем	1	3
53	нуждается в	1	3
54	того что	1	3
55	и наконец	1	3
56	имеет в	2	3
57	и ее	2	3
58	все эти	3	3
59	только на	1	3
60	в себе	4	3
61	для него	3	3
62	не к	1	3
63	и по	1	3
64	и с	7	3
65	ни в	2	3
66	в них	1	3
67	в своей	1	3
68	так же	4	3
69	в такой	1	3
70	тем не	1	3
71	по себе	1	3
72	не менее	1	3
73	все это	4	3
74	это как	1	3
75	с ним	3	3
76	и то	2	2
77	как это	3	2
78	и совершенно	1	2
79	ко всем	1	2
80	по природе	1	2
81	и здесь	2	2
82	не способен	1	2
83	с его	2	2
84	но мы	1	2
85	и что	4	2
86	между собой	1	2
87	в чем	1	2
88	данном случае	2	2
89	в данном	2	2
90	в его	3	2
91	что и	2	2
92	подчеркнуть что	1	2
93	в форме	1	2
94	в своем	3	2
95	дело с	1	2
96	и потому	1	2
97	сливается с	1	2
98	в самое	1	2
99	бы не	1	2
100	с одной	1	2
101	уже в	3	2
102	жизнью и	2	2
103	в душе	2	2
104	он не	2	2
105	перестает быть	1	2
106	не так	2	2
107	к ним	1	2
108	но все	2	2
109	любит и	1	2
110	в особенности	1	2
111	конечно в	1	2
112	на все	1	2
113	это не	5	2
114	как же	2	2
115	социальной жизни	1	2
116	до конца	2	2
117	его как	1	2
118	в момент	1	2
119	вместе с	1	2
120	но не	1	2
121	речи в	1	2
122	вместе со	2	2
123	с этой	1	2
124	она не	1	2
125	еще раз	2	2
126	в условиях	1	2
127	в основном	3	2
128	в то	5	2
129	и притом	1	2
130	известной степени	1	2
131	ничего не	2	2
132	а к	1	2
133	и все	4	2
134	но это	4	2
135	но этот	1	2
136	могут быть	1	2
137	что в	4	2
138	не есть	1	2
139	а между	1	1
140	и это	2	1
141	ту же	1	1
142	на нечто	1	1
143	например в	1	1
144	как мы	1	1
145	вещами и	1	1
146	и о	1	1
147	чтобы не	1	1
148	с жизнью	1	1
149	с ее	3	1
150	сам по	1	1
151	позицию по	1	1
152	а из	1	1
153	это и	1	1
154	из трех	1	1
155	с первого	2	1
156	с самого	1	1
157	проникает в	1	1
158	высшей степени	1	1
159	давно пора	1	1
160	умирает в	1	1
161	можно было	1	1
162	было в	2	1
163	исповеди ставрогина	1	1
164	жизнь и	3	1
165	я знаю	1	1
166	что уже	1	1
167	не вполне	1	1
168	на себя	1	1
169	и он	3	1
170	но при	2	1
171	не утратить	1	1
172	нем по	1	1
173	на них	1	1
174	и который	1	1
175	столь же	2	1
176	мы понимаем	1	1
177	во всех	1	1
178	все в	1	1
179	то в	1	1
180	у которой	1	1
181	в общем	1	1
182	является ее	1	1
183	отметить что	1	1
184	именно в	1	1
185	и она	1	1
186	опирается на	1	1
187	что именно	1	1
188	она как	2	1
189	перед нами	2	1
190	в новой	1	1
191	в двух	1	1
192	но несмотря	1	1
193	стиля и	1	1
194	как нечто	1	1
195	именно эта	1	1
196	чего же	1	1
197	первого же	2	1
198	по мнению	2	1
199	в обществе	1	1
200	отказывается от	2	1
201	что это	5	1
202	в целом	4	1
203	не получил	1	1
204	это же	1	1
205	есть в	1	1
206	сводится только	1	1
207	так можно	1	1
208	героя с	1	1
209	значение и	1	1
210	в виде	2	1
211	исходит из	1	1
212	что она	2	1
213	не из	1	1
214	форму то	1	1
215	в переводе	1	1
216	одно из	1	1
217	и их	1	1
218	всяком случае	1	1
219	не как	1	1
220	в одном	2	1
221	и вот	1	1
222	друг друга	2	1
223	как его	1	1
224	у него	6	1
225	этими словами	1	1
226	на этом	1	1
227	это по	1	1
228	характерны для	1	1
229	комнате в	1	1
230	здесь мы	1	1
231	что все	2	1
232	в другом	1	1
233	она находит	1	1
234	должно быть	3	1
235	только к	2	1
236	говорит о	2	1
237	от нее	1	1
238	но уже	1	1
239	не было	1	1
240	рядом с	1	1
241	выражают его	1	1
242	из подполья	1	1
243	в ее	2	1
244	которой он	1	1
245	и вне	1	1
246	несмотря на	5	1
247	о чем	3	1
248	же не	1	1
249	в истории	1	1
250	обратимся к	1	1
251	себя на	1	1
252	и психологически	1	1
253	но если	1	1
254	в частности	2	1
255	но особенно	2	1
256	он вдруг	5	1
257	то есть	3	1
258	к одному	1	1
259	не могут	2	1
260	что я	4	1
261	ненависть к	2	1
262	наряду с	1	1
263	но эта	2	1
264	оно начинает	1	1
265	и должна	1	1
266	того кто	1	1
267	от всего	2	1
268	в высшей	1	1
269	в обоих	1	1
270	самого начала	1	1
271	она должна	2	1
272	не является	1	1
273	он еще	1	1
274	при таком	1	1
