N	3gram	Losev_Vlad_1	Psycholo
1	в самом деле	1	18
2	на то что	4	12
3	в том что	7	11
4	для того чтобы	2	8
5	заключается в том	1	6
6	с одной стороны	1	5
7	с другой стороны	3	5
8	и т д	2	4
9	и в этом	1	3
10	и то что	4	3
11	указывает на то	1	3
12	о том что	7	3
13	как мы увидим	2	2
14	только то что	1	2
15	вместе с тем	1	2
16	одно и то	1	2
17	то время как	1	2
18	смысле этого слова	1	2
19	и то же	1	2
20	во всяком случае	2	2
21	что у него	2	2
22	то что он	5	2
23	мы увидим ниже	3	2
24	в то время	2	2
25	и вместе с	1	2
26	в свою очередь	1	2
27	о человеке и	1	2
28	к тому что	1	2
29	обычном смысле этого	1	1
30	в том виде	1	1
31	а не к	1	1
32	того что в	1	1
33	в окончательном виде	1	1
34	потому что в	1	1
35	более или менее	3	1
36	и заключать в	1	1
37	нам кажется что	1	1
38	однако он был	1	1
39	что он не	3	1
40	в этом отношении	1	1
41	что не только	1	1
42	с тем что	1	1
43	несмотря на свою	1	1
44	вызывает в нас	1	1
45	мы читаем о	1	1
46	и что в	1	1
47	мы сейчас увидим	2	1
48	и в своих	1	1
49	здесь мы имеем	1	1
50	не потому что	1	1
51	в обычном смысле	1	1
52	и потому его	1	1
53	и к его	1	1
54	а с другой	1	1
55	и ничего не	1	1
56	дело не в	1	1
57	мы уже видели	1	1
58	ясно и просто	1	1
59	заключать в себе	1	1
60	и той же	1	1
61	не только у	1	1
62	о которых он	1	1
63	один и тот	2	1
64	кто из них	1	1
65	указать на то	1	1
66	с теми же	1	1
67	а в том	1	1
68	и тут же	1	1
69	в том чтобы	2	1
70	и что она	1	1
71	другой стороны мы	1	1
72	если бы мы	1	1
73	как это мы	2	1
74	не только не	1	1
75	мы знаем что	2	1
76	можно сказать что	2	1
77	с которой мы	1	1
78	по этому поводу	1	1
79	одной и той	1	1
80	так что в	2	1
81	потому что она	1	1
82	может быть этот	1	1
83	не может быть	3	1
84	прямо говорит что	1	1
85	к тому же	2	1
86	и можно сказать	1	1
87	не в этом	1	1
88	и тот же	2	1
89	как раз в	1	1
