N	3gram	Medvedev_F_1	KFilosof
1	по отношению к	4	21
2	в соотнесении с	1	11
3	не может быть	5	11
4	с точки зрения	13	10
5	в его целом	8	9
6	в отвлечении от	1	5
7	в нем как	1	4
8	в этом смысле	1	3
9	и в этом	2	3
10	между тем как	1	3
11	в нем и	2	3
12	того или иного	2	3
13	на самом деле	6	3
14	но все эти	1	3
15	в ее целом	3	3
16	должно быть соотнесено	1	2
17	в то же	8	2
18	бы то ни	3	2
19	быть соотнесено с	1	2
20	мира в его	1	2
21	в целом и	1	2
22	раз и навсегда	1	2
23	а не из	1	2
24	вовсе не есть	1	2
25	во всех своих	1	2
26	в этом его	1	2
27	в том что	1	2
28	то же время	8	2
29	лишь как момент	1	2
30	тем не менее	1	2
31	на первом плане	1	2
32	то ни было	1	2
33	не значит еще	1	1
34	не теряя своей	1	1
35	мы не можем	2	1
36	в своем содержании	4	1
37	содержания а в	1	1
38	и тем самым	1	1
39	между прочим и	1	1
40	он не дает	1	1
41	мир в его	1	1
42	в большинстве случаев	2	1
43	со всеми своими	1	1
44	всего этого не	1	1
45	отделение ее от	1	1
46	оно было единственным	2	1
47	и во всех	1	1
48	и не в	2	1
49	смысле этого слова	3	1
50	является вовсе не	1	1
51	бы оно было	2	1
52	и в то	1	1
53	но в то	2	1
54	и не должно	1	1
55	и пр все	2	1
56	критике со стороны	1	1
57	мира и его	1	1
58	может быть и	3	1
59	конечно не может	1	1
60	в противном случае	1	1
61	в своем смысловом	1	1
62	если бы оно	2	1
63	а с точки	1	1
64	что и в	1	1
65	к тому что	1	1
66	это и не	1	1
67	во всей полноте	1	1
68	перевести его на	1	1
69	и входит в	1	1
70	всех своих моментах	1	1
71	и пр и	2	1
72	глубоко различны в	1	1
73	отношение к миру	2	1
74	и как бы	1	1
75	переживаемого мира как	1	1
76	все в этом	1	1
77	смысле можно говорить	1	1
78	как если бы	2	1
79	этом смысле можно	1	1
80	не в этом	1	1
81	хотя бы и	1	1
82	но отнюдь не	1	1
83	до конца и	1	1
84	в настоящее время	10	1
85	вместо того чтобы	1	1
86	во всяком случае	4	1
87	и может быть	1	1
88	и должен быть	1	1
89	его на язык	1	1
90	было дано в	1	1
91	пр все это	1	1
92	не менее в	1	1
93	и смысл в	1	1
94	согласиться с тем	1	1
95	и все остальные	1	1
96	мог бы быть	1	1
97	он должен быть	1	1
98	в лучшем случае	3	1
99	какого бы то	1	1
100	со всех сторон	1	1
101	в зависимости от	2	1
102	нет и не	2	1
103	все это в	1	1
104	в его конкретной	1	1
105	при таком положении	2	1
106	как бы ни	3	1
107	оно должно быть	1	1
108	вместе с тем	1	1
109	как и всякое	1	1
110	не может не	1	1
111	а не как	1	1
112	и ее в	1	1
113	в свою очередь	6	1
114	лишь в процессе	1	1
115	смысле слова в	1	1
116	его действительности и	1	1
