N	3gram	Nazirov_Tr_1	Dialekti
1	в том что	2	7
2	сам по себе	1	6
3	то же время	5	4
4	несмотря на всю	1	4
5	в то же	5	4
6	в конце концов	1	3
7	и в этом	1	3
8	не может быть	1	3
9	что он не	1	2
10	и т п	1	2
11	точно так же	2	2
12	и в частности	2	2
13	по сравнению с	1	2
14	прежде всего необходимо	1	2
15	во всяком случае	1	2
16	на деле же	1	2
17	это и есть	1	2
18	о том что	2	2
19	к тому что	1	2
20	а между тем	1	1
21	в чем же	1	1
22	что это значит?	1	1
23	в самом деле	1	1
24	что нужно для	1	1
25	все это мы	1	1
26	что все это	1	1
27	отношение к нему	1	1
28	отнюдь не является	1	1
29	а стало быть	1	1
30	все это происходит	1	1
31	бы и не	1	1
32	никогда не был	1	1
33	но в то	2	1
34	в своем известном	1	1
35	и должно быть	1	1
36	чем он сам	1	1
37	еще ничего не	1	1
38	в связи с	1	1
39	тому что оно	1	1
40	то что он	1	1
41	и цветов и	1	1
42	это мы видим	1	1
43	но в конце	1	1
44	с самого начала	1	1
45	ничего подобного нет	1	1
46	но все же	2	1
47	сам говорит что	1	1
48	тем не менее	1	1
49	на всю ее	1	1
50	подобного нет в	1	1
