N	2gram	Ircho_Kome_3	TeoriaLi
1	в мире	2	24
2	не только	5	18
3	в качестве	2	17
4	и не	21	16
5	а в	7	14
6	состоит в	2	13
7	и в	22	13
8	в частности	3	13
9	так и	4	12
10	может быть	6	12
11	в этом	8	11
12	представляет собой	3	11
13	при этом	7	11
14	в том	12	11
15	но не	1	10
16	и его	6	10
17	а не	4	10
18	то же	7	9
19	в его	8	9
20	по отношению	5	8
21	такого рода	1	8
22	сводится к	1	8
23	в душе	1	8
24	но и	4	8
25	отношению к	3	8
26	что в	5	8
27	отличие от	2	7
28	в себе	4	7
29	том что	13	7
30	точки зрения	4	7
31	в отличие	1	7
32	в то	6	7
33	по своей	1	7
34	только в	1	7
35	как это	5	7
36	еще не	6	6
37	с его	3	6
38	но в	5	6
39	в первой	1	6
40	место в	1	6
41	же время	5	6
42	как бы	3	6
43	мы имеем	1	5
44	в своем	8	5
45	в самом	9	5
46	он не	5	5
47	как и	3	5
48	не в	4	5
49	однако в	4	5
50	в нем	3	5
51	в ее	3	5
52	в пределах	2	5
53	а также	2	5
54	между тем	2	5
55	не сводится	1	5
56	не случайно	1	5
57	с другой	4	5
58	как в	2	5
59	между ними	2	5
60	говорить о	3	4
61	конечном счете	2	4
62	отношение к	5	4
63	хотя и	5	4
64	всего лишь	2	4
65	то что	4	4
66	ни в	10	4
67	в слове	1	4
68	в своей	5	4
69	в их	2	4
70	или менее	1	4
71	не столько	1	4
72	не менее	5	4
73	приводит к	3	4
74	можно сказать	1	4
75	в конечном	2	4
76	и ее	2	4
77	за пределами	2	4
78	но он	1	4
79	в свою	7	4
80	на смену	1	4
81	не знает	3	4
82	сказать что	1	4
83	не может	3	4
84	более или	1	4
85	например в	1	3
86	я на	1	3
87	в сторону	1	3
88	перед нами	1	3
89	и к	3	3
90	все эти	1	3
91	в нашем	1	3
92	в этой	3	3
93	он должен	1	3
94	и по	1	3
95	его в	8	3
96	мог бы	1	3
97	и сам	5	3
98	в этих	1	3
99	тем не	3	3
100	в отношении	4	3
101	картины мира	1	3
102	никогда не	3	3
103	как раз	6	3
104	потому что	10	3
105	свою очередь	6	3
106	другой стороны	2	3
107	в другом	2	3
108	и что	6	3
109	а с	1	3
110	во времени	1	3
111	человека с	1	3
112	в финале	1	3
113	нового времени	2	3
114	прежде всего	5	3
115	в соответствии	1	3
116	и потому	1	3
117	по своему	3	3
118	таким образом	12	3
119	на волоске	1	3
120	или в	1	3
121	в основе	2	3
122	ни к	1	3
123	отношении к	1	3
124	я и	1	2
125	была бы	1	2
126	отношения к	2	2
127	того же	6	2
128	и это	2	2
129	перед лицом	2	2
130	в присутствии	2	2
131	принадлежит к	1	2
132	на себя	4	2
133	я не	1	2
134	в целом	3	2
135	между собой	4	2
136	в чем	1	2
137	могло быть	2	2
138	но как	1	2
139	у него	4	2
140	свою жизнь	1	2
141	за пределы	2	2
142	что они	2	2
143	как к	1	2
144	и как	1	2
145	самом начале	1	2
146	в которой	3	2
147	образом и	1	2
148	так или	2	2
149	право на	1	2
150	к одному	1	2
151	здесь мы	1	2
152	об этом	7	2
153	дома и	3	2
154	это не	2	2
155	и тем	1	2
156	соответствии с	1	2
157	вовсе не	4	2
158	с точки	3	2
159	их в	3	2
160	и притом	1	2
161	дело не	2	2
162	не могло	1	2
163	своей природе	1	2
164	и для	4	2
165	следует признать	1	2
166	и о	2	2
167	здесь не	2	2
168	в себя	1	2
169	роль в	2	2
170	не с	2	2
171	к его	1	2
172	мы в	1	2
173	если бы	8	2
174	в виду	2	2
175	и здесь	4	2
176	о том	8	2
177	в глаза	3	2
178	е о	1	2
179	это было	1	2
180	восходит к	1	2
181	к нему	5	2
182	во всех	2	2
183	или иначе	2	2
184	аналогичным образом	1	2
185	во втором	1	2
186	вслед за	1	2
187	к числу	1	2
188	с одной	3	2
189	в большинстве	1	2
190	а напротив	1	2
191	в конце	7	2
192	внутреннего мира	1	2
193	и даже	3	2
194	со стороны	11	2
195	в области	2	2
196	а именно	1	2
197	перед ним	3	2
198	себя и	2	2
199	одной стороны	3	2
200	а на	2	2
201	не на	1	2
202	о чем	7	2
203	на фоне	1	2
204	вместе с	9	2
205	так же	4	2
206	и особенно	2	2
207	из которых	2	2
208	к жизни	1	2
209	могут быть	1	2
210	к тому	6	2
211	жизни в	1	2
212	одной из	3	2
213	что он	8	2
214	либо в	4	2
215	на сердце	1	1
216	те же	1	1
217	с жизнью	1	1
218	человека и	2	1
219	начинается с	1	1
220	не такое	1	1
221	сын и	1	1
222	идет о	3	1
223	же по	1	1
224	тем же	3	1
225	от своей	2	1
226	к другому	1	1
227	отношения между	1	1
228	и до	1	1
229	из его	2	1
230	свое место	1	1
231	едва ли	7	1
232	и должен	1	1
233	одним из	2	1
234	той же	1	1
235	и себя	1	1
236	так я	2	1
237	вопрос о	1	1
238	акта в	1	1
239	чтобы не	1	1
240	из дальнейшего	1	1
241	завершает их	1	1
242	и со	2	1
243	пребывания в	2	1
244	не от	1	1
245	собой в	1	1
246	и на	2	1
247	на них	3	1
248	столь же	3	1
249	бы то	2	1
250	тем как	1	1
251	он оказывается	1	1
252	здесь также	1	1
253	не входит	1	1
254	для обозначения	2	1
255	если в	1	1
256	в комедии	10	1
257	или к	1	1
258	любовь и	1	1
259	в е	1	1
260	на то	3	1
261	еще один	1	1
262	отнюдь не	4	1
263	в истории	1	1
264	более чем	5	1
265	себя за	1	1
266	независимо от	1	1
267	что касается	2	1
268	переживания и	1	1
269	могли бы	1	1
270	целый ряд	2	1
271	как уже	1	1
272	что по	1	1
273	лишь ее	1	1
274	здесь и	2	1
275	в герое	2	1
