N	2gram	Losev_Prob_2	NovoeSre
1	а не	10	17
2	и в	35	16
3	не может	13	16
4	совсем не	7	12
5	нового времени	1	12
6	и не	37	11
7	и есть	4	10
8	что в	11	9
9	как не	1	8
10	в том	12	8
11	он не	2	8
12	в этом	17	7
13	может быть	18	7
14	не будет	11	7
15	как и	5	7
16	это есть	1	7
17	с его	1	6
18	не в	2	6
19	ни в	6	6
20	никогда не	1	6
21	лишь в	3	6
22	но это	6	6
23	не знает	3	6
24	с ее	1	5
25	в ней	2	5
26	и к	3	5
27	не только	24	5
28	все это	4	5
29	в нем	1	5
30	не во	3	4
31	большую роль	2	4
32	о том	18	4
33	и мы	2	4
34	и xx	1	4
35	xix и	1	4
36	перестает быть	3	4
37	в них	2	4
38	то что	38	4
39	это не	1	4
40	прежде всего	11	4
41	не было	3	4
42	должно быть	2	4
43	и потому	1	4
44	по своему	5	4
45	значит что	4	4
46	не менее	13	4
47	и для	6	4
48	не имеет	7	4
49	и все	5	4
50	потому что	13	4
51	с другой	6	3
52	смысле слова	7	3
53	должна быть	1	3
54	вопрос о	3	3
55	еще не	10	3
56	во всех	2	3
57	в истории	3	3
58	как в	1	3
59	xx веков	1	3
60	конечно не	2	3
61	не значит	2	3
62	к ним	1	3
63	подобно тому	2	3
64	но и	16	3
65	это было	2	3
66	не есть	33	3
67	не означает	1	3
68	с тем	3	3
69	тому как	3	3
70	она не	3	3
71	что такое	18	3
72	не существует	6	3
73	жизни не	1	3
74	в основе	3	3
75	к тому	3	3
76	сказать что	24	3
77	которых не	1	2
78	и это	5	2
79	же как	1	2
80	более не	2	2
81	это и	3	2
82	время как	1	2
83	роль в	2	2
84	не имеют	1	2
85	ведь и	2	2
86	переход к	1	2
87	можно было	5	2
88	так и	7	2
89	времени и	1	2
90	мы не	7	2
91	мира и	1	2
92	и с	10	2
93	для этого	3	2
94	будет уже	1	2
95	я не	1	2
96	вот почему	1	2
97	и что	13	2
98	и на	5	2
99	времени в	1	2
100	но не	4	2
101	все время	1	2
102	с этим	5	2
103	хотя и	3	2
104	но в	6	2
105	все эти	7	2
106	с одной	5	2
107	думать что	1	2
108	с их	1	2
109	есть в	4	2
110	в себе	5	2
111	уже не	8	2
112	в употреблении	1	2
113	не могла	1	2
114	не будут	1	2
115	что она	4	2
116	что все	6	2
117	нет и	3	2
118	и даже	11	2
119	этом смысле	5	2
120	для чего	1	2
121	но я	1	2
122	том что	19	2
123	вместе с	2	2
124	так же	5	2
125	мы говорим	4	2
126	место в	1	2
127	мысли и	2	2
128	одной стороны	5	2
129	такого рода	15	2
130	другой стороны	5	2
131	не могли	1	2
132	если нет	1	2
133	ни одна	1	2
134	как будто	6	2
135	этот мир	1	2
136	и формы	1	2
137	как это	1	2
138	будет и	1	2
139	такой же	1	2
140	но для	1	2
141	в смысле	1	2
142	в то	6	2
143	одна из	3	2
144	того чтобы	2	2
145	и от	3	2
146	не ставит	1	2
147	хотя бы	12	2
148	все они	1	2
149	а в	4	2
150	от всякого	2	2
151	ли это	2	2
152	споры о	1	2
153	когда мы	6	2
154	можно назвать	1	2
155	же так	1	1
156	не имел	2	1
157	ни одно	1	1
158	для себя	9	1
159	национальные и	1	1
160	он может	1	1
161	тут нет	1	1
162	только потому	1	1
163	будет сказать	4	1
164	характер и	1	1
165	в средневековой	1	1
166	что само	1	1
167	по преимуществу	2	1
168	как результат	1	1
169	и до	1	1
170	то нужно	1	1
171	может идти	1	1
172	и этот	3	1
173	с собой	1	1
174	на нее	1	1
175	мы уже	3	1
176	очень долго	1	1
177	и которые	2	1
178	во многом	1	1
179	еще в	2	1
180	мир не	1	1
181	дурной бесконечности	1	1
182	и совсем	2	1
183	совершенно невозможно	1	1
184	человека это	1	1
185	с ним	1	1
186	сказать ни	1	1
187	можно сказать	6	1
188	это всегда	1	1
189	смысле и	1	1
190	говорить о	10	1
191	о самом	1	1
192	который есть	1	1
193	оно есть	1	1
194	на себя	1	1
195	и другая	1	1
196	это должно	1	1
197	то это	3	1
198	и небытия	1	1
199	под этим	5	1
200	не был	4	1
201	природе к	1	1
202	в виду	8	1
203	зависимости от	2	1
204	с большим	1	1
205	устарели и	1	1
206	нужно будет	1	1
207	на нем	2	1
208	на них	1	1
209	что его	1	1
210	и во	1	1
211	по многим	1	1
212	не могут	4	1
213	к нему	2	1
214	что никаких	1	1
215	то он	1	1
216	также еще	1	1
217	переходит в	1	1
218	значение и	8	1
219	в его	7	1
220	есть по	2	1
221	себе и	2	1
222	ставит никаких	1	1
223	и только	4	1
224	которые они	1	1
225	уже во	1	1
226	и она	1	1
227	в значительной	3	1
228	в своем	4	1
229	и нет	1	1
230	известном смысле	1	1
231	что нет	1	1
232	привела бы	1	1
233	что он	4	1
234	всего как	1	1
235	в каком-то	3	1
236	только в	14	1
237	по своей	1	1
238	но такого	1	1
239	от этого	1	1
240	которым оно	1	1
241	то нет	1	1
242	в самом	5	1
243	мыслить как	1	1
244	путей для	1	1
