N	3gram	Vinokur_Ku_3	OGranits
1	с точки зрения	16	5
2	не может быть	3	4
3	до тех пор	4	4
4	тех пор пока	4	3
5	по отношению к	2	3
6	есть прежде всего	1	3
7	в пределах данной	1	2
8	в самом деле	11	2
9	в зависимости от	7	2
10	в данном случае	4	2
11	с одной стороны	4	2
12	говорить об особой	1	2
13	с другой стороны	3	2
14	то же слово	1	2
15	того или иного	3	2
16	вопросы связанные с	1	2
17	в том что	8	2
18	в лингвистической поэтике	1	1
19	в другом месте	1	1
20	один и тот	2	1
21	само собой разумеется	1	1
22	в чем же	1	1
23	этой точки зрения	1	1
24	чем же объясняется	1	1
25	а вовсе не	1	1
26	более или менее	2	1
27	лишь в процессе	1	1
28	на самом деле	3	1
29	вопрос в чем	1	1
30	все же остальные	1	1
31	то же самое	1	1
32	которые не только	1	1
33	и не может	1	1
34	можно говорить о	3	1
35	в отличие от	2	1
36	только то что	2	1
37	в собственном смысле	1	1
38	можно было бы	10	1
39	и пр на	1	1
40	может быть и	1	1
41	если только они	1	1
42	с этой точки	1	1
43	и в области	3	1
44	то или иное	2	1
45	и должно составить	1	1
46	ту или иную	1	1
47	в своей статье	2	1
48	постановка вопроса о	1	1
49	для того чтобы	11	1
50	так же как	1	1
51	может быть не	1	1
52	и тот же	2	1
53	тем не менее	9	1
54	и вместе с	1	1
55	и к тому	1	1
56	он все равно	1	1
57	в одном случае	1	1
58	в связи с	4	1
59	а не как	1	1
60	чуть ли не	1	1
61	само по себе	1	1
62	прежде всего в	1	1
63	собственном смысле слова	1	1
64	лишь с точки	2	1
65	должно составить предмет	1	1
66	не должно быть	1	1
67	в тех случаях	1	1
68	смысле слова и	1	1
69	в связи со	1	1
70	то же время	1	1
71	мы не можем	1	1
72	что в ней	1	1
73	те или иные	1	1
74	в конечном счете	1	1
75	выходит за пределы	1	1
76	никоим образом не	1	1
77	тех случаях когда	1	1
78	в то же	1	1
79	к тому что	1	1
80	тех или иных	1	1
81	речи во всем	1	1
82	само собою разумеется	1	1
